Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target* (estimated AFR),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Injector #1 Latency (Direct)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (Direct)* (ms),Fuel Injector #1 Pulse Width Pre_Low-PW Compensation (ms),Fuel Pump Duty (%),Fueling Final Base* (estimated AFR),Gear (Calculated)* (position),IAM* (raw ecu value),Injector Duty Cycle (%),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.20
111,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
224,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
336,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
448,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
560,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
672,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.19,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
784,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
896,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
1008,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
1120,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
1232,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
1344,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
1456,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
1568,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
1681,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.19,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
1792,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.19,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
1904,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
2016,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
2129,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
2240,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
2352,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.19,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
2464,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
2577,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
2689,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
2801,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
2913,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.19,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
3025,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.90
3138,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.90
3249,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
3362,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
3474,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
3586,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
3698,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
3811,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
3922,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
4034,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.90
4147,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
4259,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
4370,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.90
4483,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
4595,0.00,11.72,14.70,12.32,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
4706,0.00,11.72,14.70,12.24,7,14.70,0.43,0,0.00,0.00,1.100,0.00,0.000,0.000,0.00,0.00,6,16,0.00,14.51,-0.19,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.00
4818,0.00,0.00,14.70,10.48,7,14.70,0.43,0,0.00,0.00,1.536,1.54,0.300,0.000,74.90,0.00,6,16,0.00,14.51,-0.19,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.80
4930,0.00,0.00,14.70,10.80,7,14.70,0.43,114,0.00,0.00,1.340,1.54,0.300,1.212,74.90,14.25,6,16,0.15,14.51,-0.21,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.20
5042,0.00,0.00,14.70,10.56,7,14.70,0.43,178,0.00,0.00,1.356,9.22,8.068,8.140,74.90,8.72,6,16,1.36,14.36,-0.27,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.10
5154,0.00,0.00,14.70,10.72,7,14.70,0.43,178,0.00,0.00,1.332,9.22,8.076,8.068,74.90,8.72,6,16,1.36,14.36,-0.31,0.00,-1.70,0.68,0,0.0,0.00,0.00,32.50
5266,0.00,0.00,14.70,11.60,7,14.70,0.43,214,0.00,0.00,1.168,9.22,8.076,8.068,74.90,8.72,6,16,1.64,14.36,-0.31,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.80
5378,0.00,0.00,14.70,11.68,7,14.70,0.43,174,0.00,0.00,1.168,9.22,8.076,8.076,74.90,8.72,6,16,1.34,14.36,-0.27,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.90
5489,0.00,0.00,14.70,11.68,7,14.70,0.43,174,0.00,0.00,1.160,9.22,8.076,8.076,74.90,8.72,6,16,1.34,14.36,-0.27,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.40
5602,0.00,0.00,14.70,11.76,7,14.70,0.43,174,0.00,0.00,1.160,9.22,8.076,8.076,74.90,8.72,6,16,1.34,14.36,-0.27,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.40
5714,0.00,0.00,14.70,11.76,7,14.70,0.43,174,0.00,0.00,1.156,9.22,8.076,8.076,74.90,8.72,6,16,1.34,14.36,-0.27,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.20
5826,0.00,0.00,14.70,11.76,7,14.70,0.43,174,0.00,0.00,1.156,9.22,8.076,8.076,74.90,8.72,6,16,1.34,14.36,-0.27,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.30
5938,0.00,11.72,14.70,11.76,7,14.70,0.43,0,0.00,0.00,1.156,0.00,8.076,8.076,74.90,8.72,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.20
6050,0.00,11.72,14.70,11.76,7,14.70,0.43,0,0.00,0.00,1.156,0.00,8.076,8.076,74.90,8.72,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.10
6162,0.00,11.72,14.70,11.76,7,14.70,0.43,0,0.00,0.00,1.156,0.00,8.076,8.076,74.90,8.72,6,16,0.00,14.51,-0.23,0.00,-1.70,0.68,0,0.0,0.00,0.00,31.20
