Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
0,0.00,14.81,0.37,0.00,11.78,0.00,11.03,30.58,32.94,-3.87,13.33,194
187,0.00,14.59,0.37,0.00,11.79,0.00,11.17,32.83,32.94,-4.18,13.33,194
375,-0.78,14.59,0.38,0.00,12.08,0.00,11.32,34.30,32.55,-4.18,13.73,194
547,-1.56,14.47,0.40,0.00,12.37,0.00,11.61,35.64,32.55,-3.56,14.12,194
734,-0.78,14.59,0.42,0.00,13.32,0.00,12.04,38.35,32.55,-3.56,15.29,194
906,-3.91,14.24,0.45,0.00,14.35,0.00,12.48,41.76,31.76,-2.01,16.47,194
1094,-3.12,14.70,0.48,0.00,15.69,0.00,13.20,45.98,31.37,-0.46,17.65,194
1266,-3.91,14.36,0.51,0.00,16.90,0.00,14.07,51.28,30.20,-0.15,19.61,194
1454,0.00,14.70,0.59,0.00,21.92,0.00,15.38,54.97,37.25,3.56,22.75,194
1641,0.00,12.75,0.63,0.00,24.58,0.00,16.40,63.78,31.76,6.03,25.88,194
1813,0.00,12.06,0.71,0.00,27.47,0.00,18.43,74.63,25.10,8.51,31.37,194
2001,0.00,11.48,0.74,0.00,34.38,0.00,20.31,85.22,23.92,9.13,39.22,194
2173,0.00,11.02,0.77,0.00,39.41,0.00,22.05,92.68,22.75,10.36,49.02,194
2360,0.00,11.14,0.79,0.00,42.73,0.00,22.64,97.38,20.78,11.60,54.12,194
2532,0.00,11.14,0.78,0.00,43.97,0.00,22.78,100.35,19.61,11.60,58.04,194
2719,0.00,11.25,0.78,0.00,44.07,0.00,22.64,101.94,18.43,11.60,61.57,194
2907,0.00,11.14,0.77,0.00,46.25,0.00,22.35,108.81,17.25,12.53,67.84,194
3083,0.00,11.14,0.80,0.00,49.97,0.00,22.20,110.98,16.47,13.15,68.63,194
3255,0.00,11.14,0.80,0.00,53.52,0.00,22.35,120.10,15.29,13.15,69.41,196
3443,0.00,11.25,0.80,0.00,55.00,0.00,22.49,122.91,15.29,13.15,69.80,196
3630,0.00,11.14,0.80,0.00,56.49,0.00,22.35,126.16,15.29,12.84,69.80,196
3802,0.00,11.14,0.81,0.00,60.65,0.00,22.35,133.51,15.29,11.91,69.80,196
3990,0.00,11.14,0.83,0.00,64.17,0.00,22.35,140.05,15.29,11.29,69.41,196
4177,0.00,11.25,0.84,0.00,64.58,0.00,22.35,142.97,15.29,10.98,68.24,196
4349,0.00,11.25,0.82,0.00,67.38,0.00,22.35,149.40,15.29,10.06,66.67,196
4536,0.00,11.25,0.81,0.00,68.18,0.00,22.05,148.82,15.29,9.44,60.39,196
4708,0.00,11.25,0.37,0.00,40.73,0.00,12.04,65.90,12.94,-1.08,0.00,196
4896,0.00,16.54,0.32,0.00,0.00,0.00,5.08,56.94,32.55,-8.20,0.00,194
5068,0.00,22.16,0.31,0.00,18.81,0.00,5.08,44.93,32.55,-7.58,7.45,194
5255,0.00,11.25,0.35,0.00,15.74,0.00,7.98,42.03,32.55,-7.27,16.08,194
5432,0.00,12.52,0.63,0.00,30.05,0.00,15.09,79.61,20.39,8.51,34.51,194
5619,0.00,11.60,0.71,0.00,35.27,0.00,18.86,93.16,18.82,10.06,41.96,194
5807,0.00,11.14,0.77,0.00,42.33,0.00,21.47,98.19,18.04,10.36,43.92,194
5979,0.00,11.25,0.76,0.00,41.64,0.00,22.05,99.88,16.86,10.67,45.10,194
6166,0.00,11.25,0.76,0.00,45.64,0.00,21.62,102.65,16.47,10.98,48.63,194
6338,0.00,11.25,0.74,0.00,44.94,0.00,21.76,102.89,16.47,11.29,50.20,192
6525,0.00,11.25,0.77,0.00,48.31,0.00,21.91,110.25,16.08,11.29,50.59,192
6697,0.00,11.25,0.79,0.00,50.85,0.00,21.91,109.05,15.69,11.29,51.37,192
6885,0.00,11.25,0.78,0.00,50.50,0.00,22.05,115.79,15.29,11.60,51.76,192
7073,0.00,11.37,0.79,0.00,49.79,0.00,21.91,115.03,15.29,11.60,51.76,192
7244,0.00,11.37,0.77,0.00,51.77,0.00,21.91,117.57,15.29,11.60,51.76,192
7436,0.00,11.37,0.77,0.00,51.61,0.00,21.91,117.82,15.29,11.60,51.37,190
7608,0.00,11.37,0.78,0.00,55.48,0.00,21.76,122.91,15.29,11.60,50.98,190
7796,0.00,11.37,0.79,0.00,52.99,0.00,21.76,121.62,15.29,10.98,50.20,190
7968,0.00,11.37,0.77,0.00,55.03,0.00,21.62,124.26,15.29,10.67,48.63,190
8155,0.00,11.37,0.79,0.00,56.62,0.00,21.47,126.70,15.29,10.36,47.45,190
8343,0.00,11.37,0.78,0.00,57.06,0.00,21.33,128.33,15.29,9.44,46.67,190
8515,0.00,11.48,0.76,0.00,57.41,0.00,21.18,128.88,15.29,9.13,45.10,190
8702,0.00,11.37,0.44,0.00,32.87,0.00,10.74,125.61,15.29,7.58,0.00,189
8874,0.00,11.71,0.34,0.00,0.00,0.00,5.08,57.10,32.55,-7.89,0.00,189
9061,0.00,20.90,0.27,0.00,0.00,0.00,4.79,41.76,32.55,-7.58,1.18,189
9249,0.00,19.52,0.23,0.00,12.20,0.00,5.22,33.19,32.55,-7.27,6.67,189
9421,-12.50,11.14,0.37,0.00,15.02,0.00,7.40,30.80,30.20,-4.18,19.22,189
9608,0.00,13.32,0.53,0.00,20.41,0.00,13.35,58.58,29.02,3.25,25.88,189
9780,0.00,12.63,0.59,0.00,25.19,0.00,15.82,70.63,21.96,6.96,29.41,189
9968,0.00,11.83,0.66,0.00,29.76,0.00,17.99,79.94,20.78,7.58,30.20,189
10155,0.00,11.60,0.68,0.00,34.27,0.00,19.44,84.72,20.78,7.58,30.20,189
10327,0.00,11.37,0.61,0.00,32.12,0.00,19.30,82.24,20.39,1.08,19.61,189
10514,0.00,11.71,0.44,0.00,19.65,0.00,15.09,58.09,26.67,-2.63,15.29,189
10686,0.00,12.40,0.25,0.00,11.91,0.00,9.43,28.72,32.55,-6.34,8.63,189
10874,0.00,12.06,0.25,0.00,11.87,0.00,6.82,32.25,32.55,-6.34,6.67,189
11061,-11.72,11.25,0.24,0.00,11.02,0.00,5.66,29.69,32.55,-6.34,4.71,189
11238,-25.00,11.25,0.21,0.00,8.70,0.00,4.79,26.82,32.55,-6.34,3.92,189
11425,-25.00,11.25,0.19,0.00,7.89,0.00,4.21,24.42,32.55,-6.34,3.14,187
11602,-25.00,11.37,0.17,0.00,6.25,0.00,4.06,22.06,32.55,-6.34,3.14,187
11789,-25.00,11.37,0.15,0.00,6.26,0.00,4.06,19.65,32.55,-6.34,3.14,187
11961,-25.00,11.48,0.15,0.00,6.23,0.00,3.92,17.22,32.55,-6.34,3.14,187
12148,-25.00,11.60,0.14,0.00,5.43,0.00,3.92,15.91,32.55,-6.34,3.14,187
12320,-25.00,11.83,0.13,0.00,5.41,0.00,3.92,16.31,32.55,-6.34,3.14,187
12508,-25.00,11.94,0.13,0.00,5.41,0.00,3.92,15.08,32.55,-6.34,3.14,187
12680,-25.00,12.75,0.12,0.00,5.35,0.00,3.92,14.42,32.55,-6.03,3.14,187
12867,-25.00,13.32,0.12,0.00,5.34,0.00,3.92,15.01,32.55,-6.03,3.14,187
13055,-25.00,13.21,0.12,0.00,5.34,0.00,3.92,14.54,32.55,-6.03,3.14,187
13227,-25.00,13.32,0.12,0.00,5.33,0.00,3.92,14.42,32.55,-6.03,3.53,187
13414,-25.00,13.32,0.12,0.00,5.31,0.00,3.92,14.01,32.55,-6.03,3.53,187
