Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),A/F Sensor #1 (AFR),Manifold Absolute Pressure (psi)
0,0.13,1043,0.00,0.00,16,14.10,14.50,4.32,-1.08,0.64,14.59,4.64
188,0.12,1048,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.70,4.64
360,0.13,1052,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.59,4.64
532,0.12,1067,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.59,4.64
703,0.12,1067,0.00,0.00,16,14.10,12.00,4.32,-1.08,0.64,14.59,4.64
875,0.12,1037,0.00,0.00,16,14.10,15.50,4.35,-1.08,0.64,14.47,4.64
1047,0.12,1054,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.64
1219,0.12,1043,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.36,4.64
1391,0.12,1054,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.64
1563,0.12,1050,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.64
1750,0.12,1047,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.64
1922,0.12,1056,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.59,4.64
2094,0.13,1047,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.64
2266,0.12,1041,0.00,0.00,16,14.10,14.50,4.26,-1.08,0.64,14.47,4.64
2438,0.12,1044,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.47,4.64
2610,0.12,1042,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.64
2781,0.12,1044,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.64
2953,0.11,1054,0.00,0.00,16,14.10,13.50,4.29,-1.08,0.64,14.70,4.64
3125,0.12,1039,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.70,4.64
3312,0.12,1046,0.00,0.00,16,14.10,13.50,4.32,-1.08,0.64,14.59,4.64
3484,0.12,1048,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.59,4.64
3656,0.12,1043,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.64
3828,0.12,1048,0.00,0.00,16,14.10,13.50,4.29,-1.08,0.64,14.59,4.64
4000,0.12,1038,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.64
4172,0.12,1044,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.64
4344,0.13,1048,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.59,4.64
4531,0.12,1044,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.47,4.64
4703,0.12,1054,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.47,4.64
4875,0.12,1032,0.00,0.00,16,14.10,12.50,4.29,-1.08,0.64,14.36,4.64
5047,0.12,1039,0.00,0.00,16,14.10,15.00,4.29,-1.08,0.64,14.47,4.64
5219,0.12,1043,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.64
5391,0.12,1045,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.47,4.64
5562,0.14,1042,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.64
5734,0.12,1053,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.59,4.64
5906,0.12,1042,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.70,4.64
6094,0.12,1058,0.00,0.00,16,14.10,12.00,4.32,-1.08,0.64,14.70,4.64
6265,0.12,1038,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.64
6437,0.12,1042,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.64
6609,0.12,1040,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.70,4.64
6781,0.12,1046,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.70,4.64
6953,0.12,1065,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.70,4.64
7125,0.12,1062,0.00,0.00,16,14.10,12.00,4.29,-1.08,0.64,14.59,4.64
7312,0.12,1046,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.47,4.64
7484,0.12,1049,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.47,4.64
7656,0.12,1043,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.36,4.64
7828,0.12,1055,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.47,4.64
8000,0.12,1054,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.64
8172,0.12,1044,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.64
8344,0.12,1060,0.00,0.00,16,14.10,12.50,4.29,-1.08,0.64,14.47,4.64
8515,0.12,1035,0.00,0.00,16,14.10,13.50,4.26,-1.08,0.64,14.36,4.64
8703,0.12,1039,0.00,0.00,16,14.10,14.50,4.26,-1.08,0.64,14.36,4.64
8874,0.12,1030,0.00,0.00,16,14.10,15.00,4.26,-1.08,0.64,14.59,4.64
9046,0.12,1029,0.00,0.00,16,14.10,14.00,4.26,-1.08,0.64,14.70,4.64
9218,0.12,1036,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.64
9390,0.12,1048,0.00,0.00,16,14.10,13.00,4.26,-1.08,0.64,14.59,4.64
9562,0.13,1028,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.64
9749,0.13,1028,0.00,0.00,16,14.10,15.00,4.29,-1.08,0.64,14.47,4.64
9905,0.12,1038,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.70,4.64
10093,0.12,1044,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.70,4.64
10265,0.12,1043,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.70,4.64
10437,0.12,1052,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.64
10608,0.12,1048,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.70,4.64
10780,0.12,1058,0.00,0.00,16,14.10,12.00,4.32,-1.08,0.64,14.47,4.64
10952,0.12,1038,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.47,4.64
11124,0.12,1039,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.24,4.64
11312,0.12,1047,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.47,4.64
11483,0.12,1047,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.64
11671,0.12,1048,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.47,4.64
11843,0.12,1051,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.36,4.64
12015,0.12,1044,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.36,4.64
12186,0.12,1041,0.00,0.00,16,14.10,13.50,4.32,-1.08,0.64,14.47,4.64
12358,0.12,1042,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.47,4.64
12530,0.12,1020,0.00,0.00,16,14.10,15.50,4.29,-1.08,0.64,14.59,4.79
12701,0.12,1029,0.00,0.00,16,14.10,15.00,4.32,-1.08,0.64,14.59,4.93
12873,0.13,1013,0.00,0.00,16,14.10,15.00,4.35,-1.08,0.64,14.81,4.93
13045,0.13,1018,0.00,0.00,16,14.10,16.00,4.37,-1.08,0.64,14.81,4.93
13232,0.13,1036,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,15.04,4.93
13404,0.13,1027,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,15.27,4.79
13576,0.12,1038,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,15.39,4.79
13748,0.12,1044,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,15.27,4.79
13920,0.12,1049,0.00,0.00,16,14.10,12.50,4.32,-1.08,0.64,14.81,4.79
14092,0.12,1055,0.00,0.00,16,14.10,12.50,4.35,-1.08,0.64,14.70,4.79
14279,0.12,1049,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
14451,0.12,1039,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.24,4.79
14623,0.12,1046,0.00,0.00,16,14.10,12.50,4.32,-1.08,0.64,14.36,4.79
14795,0.12,1037,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.47,4.79
14966,0.13,1028,0.00,0.00,16,14.10,15.00,4.35,-1.08,0.64,14.36,4.79
15138,0.12,1046,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.36,4.79
15310,0.13,1037,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.36,4.79
15482,0.12,1038,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.24,4.79
15654,0.13,1024,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.36,4.79
15841,0.12,1029,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.36,4.79
16013,0.13,1025,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
16185,0.12,1048,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.47,4.79
16357,0.13,1030,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.79
16529,0.12,1029,0.00,0.00,16,14.10,15.00,4.32,-1.08,0.64,14.36,4.79
16701,0.13,1037,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.36,4.79
16873,0.13,1031,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.36,4.79
17044,0.12,1031,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.79
17232,0.13,1024,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.47,4.79
17404,0.13,1029,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
17576,0.13,1029,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
17748,0.13,1036,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.24,4.79
17919,0.13,1024,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.24,4.79
18091,0.13,1034,0.00,0.00,16,14.10,14.50,4.37,-1.08,0.64,14.24,4.79
18263,0.12,1033,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.47,4.79
18435,0.13,1027,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.79
18607,0.13,1017,0.00,0.00,16,14.10,15.00,4.35,-1.08,0.64,14.59,4.79
18779,0.13,1034,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
18966,0.13,1022,0.00,0.00,16,14.10,11.50,4.35,-1.08,0.64,14.36,4.79
19138,0.13,1022,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.79
19310,0.12,1038,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.59,4.79
19482,0.13,1020,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.70,4.79
19654,0.13,1022,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.70,4.79
19825,0.13,1028,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.70,4.79
19997,0.13,1024,0.00,0.00,16,14.10,12.50,4.37,-1.08,0.64,14.59,4.79
20169,0.13,1034,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.59,4.79
20341,0.13,1025,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.59,4.79
20513,0.13,1034,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.47,4.79
20685,0.13,1034,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.47,4.79
20857,0.13,1043,0.00,0.00,16,14.10,12.50,4.37,-1.08,0.64,14.47,4.79
21044,0.13,1035,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.59,4.79
21216,0.13,1029,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.47,4.79
21388,0.13,1039,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
21560,0.13,1027,0.00,0.00,16,14.10,14.50,4.32,-1.08,0.64,14.36,4.79
21732,0.13,1022,0.00,0.00,16,14.10,15.00,4.37,-1.08,0.64,14.59,4.79
21903,0.13,1039,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.59,4.79
22075,0.13,1025,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.79
22247,0.13,1028,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.79
22435,0.13,1028,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.59,4.79
22607,0.13,1034,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.47,4.79
22778,0.13,1023,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.70,4.79
22950,0.13,1022,0.00,0.00,16,14.10,14.50,4.37,-1.08,0.64,14.70,4.79
23122,0.13,1033,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.70,4.79
23294,0.13,1023,0.00,0.00,16,14.10,14.50,4.37,-1.08,0.64,14.70,4.79
23466,0.13,1038,0.00,0.00,16,14.10,13.00,4.43,-1.08,0.64,14.70,4.79
23653,0.13,1040,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
23825,0.13,1031,0.00,0.00,16,14.10,14.50,4.37,-1.08,0.64,14.36,4.79
23997,0.13,1043,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.36,4.79
24169,0.13,1030,0.00,0.00,16,14.10,14.00,4.43,-1.08,0.64,14.36,4.79
24341,0.13,1042,0.00,0.00,16,14.10,13.00,4.37,-1.08,0.64,14.36,4.79
24513,0.13,1041,0.00,0.00,16,14.10,12.50,4.37,-1.08,0.64,14.47,4.79
24685,0.13,1017,0.00,0.00,16,14.10,15.50,4.37,-1.08,0.64,14.36,4.79
24856,0.13,1034,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
25044,0.13,1030,0.00,0.00,16,14.10,14.50,4.37,-1.08,0.64,14.59,4.79
25216,0.13,1032,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.59,4.79
25388,0.13,1042,0.00,0.00,16,14.10,12.50,4.40,-1.08,0.64,14.59,4.79
25559,0.13,1031,0.00,0.00,16,14.10,13.00,4.37,-1.08,0.64,14.59,4.79
25731,0.13,1029,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.47,4.79
25903,0.13,1034,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.47,4.79
26075,0.13,1032,0.00,0.00,16,14.10,13.00,4.37,-1.08,0.64,14.59,4.79
26247,0.13,1035,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.59,4.79
26419,0.13,1038,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.59,4.79
26606,0.13,1030,0.00,0.00,16,14.10,13.00,4.37,-1.08,0.64,14.59,4.79
26778,0.13,1028,0.00,0.00,16,14.10,14.50,4.40,-1.08,0.64,14.47,4.79
26950,0.13,1039,0.00,0.00,16,14.10,12.50,4.35,-1.08,0.64,14.47,4.79
27137,0.13,1030,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.47,4.79
27294,0.13,1032,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.79
27481,0.13,1034,0.00,0.00,16,14.10,14.50,4.43,-1.08,0.64,14.36,4.79
27653,0.13,1025,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
27825,0.13,1015,0.00,0.00,16,14.10,15.50,4.35,-1.08,0.64,14.59,4.79
27997,0.13,1028,0.00,0.00,16,14.10,13.00,4.37,-1.08,0.64,14.70,4.79
28169,0.13,1019,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.70,4.79
28341,0.13,1031,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.70,4.79
28512,0.13,1037,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.47,4.79
28700,0.13,1048,0.00,0.00,16,14.10,11.50,4.40,-1.08,0.64,14.47,4.79
28872,0.13,1030,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.47,4.79
29043,0.13,1026,0.00,0.00,16,14.10,13.00,4.40,-1.08,0.64,14.47,4.79
29215,0.13,1028,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.59,4.79
29387,0.13,1028,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.70,4.79
29559,0.13,1043,0.00,0.00,16,14.10,13.00,4.40,-1.08,0.64,14.70,4.79
29731,0.13,1039,0.00,0.00,16,14.10,12.00,4.40,-1.08,0.64,14.70,4.79
29902,0.13,1032,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.36,4.79
30090,0.13,1030,0.00,0.00,16,14.10,13.00,4.43,-1.08,0.64,14.47,4.79
30262,0.13,1032,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.36,4.79
30434,0.13,1028,0.00,0.00,16,14.10,14.00,4.43,-1.08,0.64,14.59,4.79
30605,0.13,1035,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.59,4.79
30777,0.13,1031,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.59,4.79
30949,0.13,1029,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.47,4.79
31121,0.13,1022,0.00,0.00,16,14.10,13.00,4.37,-1.08,0.64,14.47,4.79
31293,0.13,1025,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.47,4.79
31465,0.13,1030,0.00,0.00,16,14.10,14.00,4.43,-1.08,0.64,14.59,4.79
31637,0.13,1041,0.00,0.00,16,14.10,13.00,4.40,-1.08,0.64,14.59,4.79
31824,0.13,1027,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.59,4.79
31996,0.13,1023,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.47,4.79
32168,0.13,1039,0.00,0.00,16,14.10,13.00,4.40,-1.08,0.64,14.59,4.79
32340,0.13,1025,0.00,0.00,16,14.10,14.00,4.43,-1.08,0.64,14.47,4.79
32512,0.13,1026,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.47,4.79
32683,0.13,1035,0.00,0.00,16,14.10,13.00,4.40,-1.08,0.64,14.59,4.79
32855,0.13,1030,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.59,4.79
33027,0.13,1043,0.00,0.00,16,14.10,14.00,4.43,-1.08,0.64,14.70,4.79
33199,0.13,1045,0.00,0.00,16,14.10,12.50,4.40,-1.08,0.64,14.47,4.79
33371,0.13,1027,0.00,0.00,16,14.10,14.50,4.37,-1.08,0.64,14.47,4.79
33543,0.13,1037,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.36,4.79
33730,0.13,1027,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.59,4.79
33902,0.13,1026,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
34074,0.13,1041,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.59,4.79
34246,0.13,1036,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.59,4.79
37049,0.11,1043,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.59,4.79
37237,0.13,1040,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.59,4.79
37409,0.13,1034,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.59,4.79
37580,0.11,1040,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
37752,0.13,1038,0.00,0.00,16,14.10,11.50,4.37,-1.08,0.64,14.47,4.79
37924,0.12,1035,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.79
38096,0.13,1049,0.00,0.00,16,14.10,13.00,4.37,-1.08,0.64,14.59,4.79
38268,0.13,1032,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.47,4.79
38440,0.13,1024,0.00,0.00,16,14.10,15.50,4.40,-1.08,0.64,14.59,4.79
38627,0.13,1051,0.00,0.00,16,14.10,12.50,4.37,-1.08,0.64,14.70,4.79
38799,0.13,1029,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.70,4.79
38971,0.12,1036,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.79
39143,0.13,1038,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.70,4.79
39315,0.13,1028,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.47,4.79
39487,0.13,1028,0.00,0.00,16,14.10,14.50,4.40,-1.08,0.64,14.59,4.79
39659,0.13,1040,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.47,4.79
39830,0.13,1034,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.59,4.79
40002,0.13,1028,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.47,4.79
40174,0.13,1041,0.00,0.00,16,14.10,12.50,4.37,-1.08,0.64,14.59,4.79
40361,0.13,1035,0.00,0.00,16,14.10,14.00,4.40,-1.08,0.64,14.47,4.79
40533,0.13,1040,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
40705,0.13,1044,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.36,4.79
40877,0.12,1038,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.47,4.79
41049,0.13,1051,0.00,0.00,16,14.10,12.50,4.37,-1.08,0.64,14.47,4.79
41221,0.13,1034,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.59,4.79
41393,0.13,1029,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.59,4.79
41565,0.13,1037,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.70,4.79
41736,0.13,1029,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.70,4.79
41924,0.13,1036,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
42096,0.13,1038,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.59,4.79
42268,0.13,1029,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.59,4.79
42440,0.13,1033,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
42611,0.13,1035,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.70,4.79
42783,0.13,1033,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.70,4.79
42955,0.13,1029,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.70,4.79
43127,0.13,1041,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.59,4.79
43314,0.13,1026,0.00,0.00,16,14.10,14.00,4.35,-1.08,0.64,14.59,4.79
43486,0.13,1022,0.00,0.00,16,14.10,15.00,4.29,-1.08,0.64,14.47,4.79
43658,0.12,1039,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.59,4.79
43830,0.13,1032,0.00,0.00,16,14.10,14.50,4.32,-1.08,0.64,14.47,4.79
44002,0.13,1033,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.70,4.79
44174,0.13,1043,0.00,0.00,16,14.10,13.50,4.29,-1.08,0.64,14.47,4.79
44361,0.13,1036,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
44533,0.12,1042,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.47,4.79
44705,0.13,1033,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.59,4.79
44877,0.13,1024,0.00,0.00,16,14.10,15.00,4.32,-1.08,0.64,14.47,4.79
45049,0.13,1035,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.79
45221,0.13,1040,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.79
45392,0.13,1032,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.79
45564,0.12,1048,0.00,0.00,16,14.10,12.50,4.29,-1.08,0.64,14.59,4.79
45736,0.12,1037,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.59,4.79
45908,0.13,1027,0.00,0.00,16,14.10,14.50,4.32,-1.08,0.64,14.47,4.79
46095,0.13,1036,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.79
46267,0.13,1040,0.00,0.00,16,14.10,13.50,4.35,-1.08,0.64,14.70,4.64
46439,0.13,1033,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.64
46611,0.13,1044,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
46783,0.13,1030,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.59,4.64
46955,0.12,1034,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.47,4.64
47127,0.13,1031,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.59,4.79
47299,0.12,1041,0.00,0.00,16,14.10,13.50,4.32,-1.08,0.64,14.47,4.79
47471,0.13,1022,0.00,0.00,16,14.10,15.50,4.32,-1.08,0.64,14.59,4.64
47658,0.13,1039,0.00,0.00,16,14.10,14.50,4.29,-1.08,0.64,14.36,4.79
47830,0.12,1035,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.47,4.79
48002,0.13,1036,0.00,0.00,16,14.10,14.50,4.32,-1.08,0.64,14.47,4.79
48174,0.13,1030,0.00,0.00,16,14.10,13.00,4.35,-1.08,0.64,14.70,4.79
48345,0.12,1030,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.59,4.79
48517,0.13,1032,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.64
48689,0.13,1041,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.70,4.79
48877,0.12,1031,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.79
49048,0.13,1028,0.00,0.00,16,14.10,14.00,4.37,-1.08,0.64,14.59,4.79
49220,0.13,1036,0.00,0.00,16,14.10,13.50,4.37,-1.08,0.64,14.59,4.79
49392,0.12,1040,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.47,4.79
49564,0.13,1026,0.00,0.00,16,14.10,14.50,4.32,-1.08,0.64,14.47,4.79
49736,0.13,1042,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.47,4.79
49908,0.12,1039,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.59,4.79
50079,0.13,1042,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.47,4.79
50251,0.13,1027,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.59,4.79
50423,0.12,1040,0.00,0.00,16,14.10,13.00,4.26,-1.08,0.64,14.47,4.79
50595,0.13,1036,0.00,0.00,16,14.10,13.00,4.32,-1.08,0.64,14.70,4.64
50767,0.12,1035,0.00,0.00,16,14.10,14.00,4.32,-1.08,0.64,14.70,4.64
50939,0.13,1027,0.00,0.00,16,14.10,14.50,4.35,-1.08,0.64,14.70,4.64
51111,0.12,1048,0.00,0.00,16,14.10,13.00,4.26,-1.08,0.64,14.47,4.79
51283,0.13,1040,0.00,0.00,16,14.10,13.00,4.29,-1.08,0.64,14.47,4.64
51470,0.12,1029,0.00,0.00,16,14.10,14.00,4.29,-1.08,0.64,14.36,4.79
