Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
0,2.34,14.01,0.17,0.00,3.40,0.00,5.66,8.19,0.00,-1.80,0.00,72
188,2.34,13.90,0.16,0.00,3.11,0.00,5.66,8.23,0.00,-1.80,0.00,72
375,2.34,13.90,0.17,0.00,3.41,0.00,5.66,8.19,0.00,-1.80,0.00,72
547,3.12,14.24,0.17,0.00,3.43,0.00,5.66,7.94,0.00,-1.80,0.00,72
734,1.56,13.78,0.17,0.00,3.43,0.00,5.66,8.19,0.00,-1.80,0.00,72
906,2.34,13.90,0.18,0.00,3.40,0.00,5.66,8.36,0.00,-1.80,0.00,72
1094,1.56,13.55,0.17,0.00,3.40,0.00,5.66,8.03,0.00,-1.80,0.00,72
1281,1.56,13.90,0.16,0.00,3.43,0.00,5.66,8.14,0.00,-1.80,0.00,72
1453,1.56,13.90,0.17,0.00,3.07,0.00,5.66,7.94,0.00,-1.80,0.00,72
1641,1.56,13.90,0.17,0.00,3.12,0.00,5.66,7.90,0.00,-1.80,0.00,72
1812,0.78,13.90,0.16,0.00,3.09,0.00,5.66,8.23,0.00,-1.80,0.00,72
2000,2.34,13.90,0.17,0.00,3.12,0.00,5.66,8.06,0.00,-1.80,0.00,72
2172,2.34,14.24,0.17,0.00,3.39,0.00,5.66,8.39,0.00,-1.80,0.00,72
2359,2.34,14.13,0.17,0.00,3.43,0.00,5.66,8.31,0.00,-1.80,0.00,72
2547,2.34,14.01,0.17,0.00,3.74,0.00,5.66,7.82,0.00,-1.80,0.00,72
2719,2.34,14.01,0.17,0.00,3.41,0.00,5.66,8.27,0.00,-1.80,0.00,72
2906,2.34,14.01,0.17,0.00,3.41,0.00,5.66,8.19,0.00,-1.80,0.00,72
3078,1.56,14.13,0.17,0.00,3.41,0.00,5.66,8.27,0.00,-1.80,0.00,72
3265,1.56,13.78,0.17,0.00,3.46,0.00,5.66,8.11,0.00,-1.80,0.00,72
3453,2.34,13.90,0.17,0.00,3.42,0.00,5.66,7.98,0.00,-1.80,0.00,72
3625,2.34,14.01,0.17,0.00,3.43,0.00,5.66,8.27,0.00,-1.80,0.00,72
3812,2.34,14.01,0.17,0.00,3.44,0.00,5.66,8.36,0.00,-1.80,0.00,72
3984,1.56,13.78,0.17,0.00,3.43,0.00,5.66,8.19,0.00,-1.80,0.00,72
4172,1.56,13.90,0.16,0.00,3.13,0.00,5.66,8.03,0.00,-1.80,0.00,72
4359,1.56,13.90,0.17,0.00,3.10,0.00,5.66,7.94,0.00,-1.80,0.00,72
4531,3.12,14.24,0.17,0.00,3.43,0.00,5.66,8.19,0.00,-1.80,0.00,72
4719,2.34,14.13,0.17,0.00,3.43,0.00,5.66,8.14,0.00,-1.80,0.00,72
4890,1.56,13.78,0.16,0.00,3.13,0.00,5.66,8.11,0.00,-1.80,0.00,72
