Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.59,0.16,1167,0.00,0.00,16,10.23,9.50,5.66,-8.99,6.11,-1.08,0.64
47,14.36,0.16,1155,0.00,0.00,16,10.23,10.50,5.66,-9.01,6.18,-1.08,0.64
2094,14.36,0.16,1155,0.00,0.00,16,10.23,10.50,5.66,-9.01,6.18,-1.08,0.64
2725,14.36,0.16,1172,0.00,0.00,16,10.23,9.50,5.66,-9.07,6.11,-1.08,0.64
2772,14.47,0.16,1164,0.00,0.00,16,10.23,10.00,5.66,-9.09,6.11,-1.08,0.64
2834,14.47,0.16,1177,0.00,0.00,16,10.23,9.00,5.66,-9.09,6.11,-1.08,0.64
2897,14.24,0.16,1177,0.00,0.00,16,10.23,10.50,5.66,-9.09,6.11,-1.08,0.64
2944,14.36,0.16,1162,0.00,0.00,16,10.23,10.50,5.66,-9.09,6.07,-1.08,0.64
3006,14.47,0.16,1155,0.00,0.00,16,10.23,11.00,5.66,-9.05,6.11,-1.08,0.64
3069,14.24,0.16,1141,0.00,0.00,16,10.23,12.50,5.66,-9.05,6.11,-1.08,0.64
3116,14.47,0.16,1139,0.00,0.00,16,10.23,12.50,5.66,-9.01,6.11,-1.08,0.64
3178,14.47,0.16,1140,0.00,0.00,16,10.23,12.00,5.66,-8.99,6.15,-1.08,0.64
3240,14.47,0.16,1126,0.00,0.00,16,10.23,13.50,5.66,-8.97,6.15,-1.08,0.64
3288,14.36,0.16,1132,0.00,0.00,16,10.23,12.50,5.66,-8.97,6.11,-1.08,0.64
3350,14.59,0.16,1132,0.00,0.00,16,10.23,13.00,5.66,-8.93,6.11,-1.08,0.64
3412,14.47,0.16,1132,0.00,0.00,16,10.23,13.00,5.80,-8.93,6.11,-1.08,0.64
3459,14.47,0.16,1138,0.00,0.00,16,10.23,11.50,5.80,-8.91,6.11,-1.08,0.64
3521,14.59,0.16,1144,0.00,0.00,16,10.23,10.00,5.80,-8.93,6.15,-1.08,0.64
3583,14.36,0.16,1136,0.00,0.00,16,10.23,11.50,5.80,-8.86,6.07,-1.08,0.64
3630,14.47,0.16,1143,0.00,0.00,16,10.23,11.50,5.80,-8.76,6.11,-1.08,0.64
3693,14.47,0.16,1151,0.00,0.00,16,10.23,9.50,5.95,-8.72,6.11,-1.08,0.64
3755,14.47,0.16,1135,0.00,0.00,16,10.23,11.50,5.95,-8.68,6.11,-1.08,0.64
3802,14.36,0.16,1135,0.00,0.00,16,10.23,12.50,5.95,-8.68,6.07,-1.08,0.64
3865,14.59,0.16,1126,0.00,0.00,16,10.23,12.50,5.95,-8.70,6.11,-1.08,0.64
3912,14.47,0.16,1132,0.00,0.00,16,10.23,11.50,5.95,-8.70,6.11,-1.08,0.64
3974,14.59,0.17,1121,0.00,0.00,16,10.23,12.50,5.95,-8.70,6.15,-1.08,0.64
4037,14.70,0.17,1116,0.00,0.00,16,10.23,13.00,5.95,-8.72,6.18,-1.08,0.64
4083,14.81,0.16,1126,0.00,0.00,16,10.23,11.50,5.95,-8.72,6.18,-1.08,0.64
4146,14.81,0.16,1128,0.00,0.00,16,10.23,11.00,5.95,-8.74,6.18,-1.08,0.64
4208,14.93,0.16,1128,0.00,0.00,16,10.23,10.50,5.95,-8.76,6.15,-1.08,0.64
4255,15.04,0.16,1136,0.00,0.00,16,10.23,10.50,5.95,-8.80,6.18,-1.08,0.64
4318,15.16,0.16,1137,0.00,0.00,16,10.23,10.00,5.95,-8.82,6.18,-1.08,0.64
4381,15.16,0.16,1138,0.00,0.00,16,10.23,10.00,5.95,-8.82,6.18,-1.08,0.64
4428,15.16,0.16,1138,0.00,0.00,16,10.23,10.00,5.95,-8.86,6.11,-1.08,0.64
4491,15.16,0.16,1142,0.00,0.00,16,10.23,9.50,5.80,-8.84,6.11,-1.08,0.64
4553,15.04,0.16,1139,0.00,0.00,16,10.23,10.00,5.80,-8.88,6.15,-1.08,0.64
4600,15.04,0.16,1134,0.00,0.00,16,10.23,10.50,5.80,-8.82,6.15,-1.08,0.64
4663,14.81,0.16,1134,0.00,0.00,16,10.23,10.50,5.95,-8.88,6.15,-1.08,0.64
