Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,1.56,14.70,0.30,0.00,11.70,0.00,10.01,32.57,38.43,-4.87,13.73
172,0.78,14.47,0.29,0.00,12.26,0.00,9.87,32.45,38.43,-5.18,13.73
344,0.78,14.70,0.28,0.00,11.93,0.00,9.72,33.29,38.43,-5.80,13.73
516,0.78,14.59,0.28,0.00,11.98,0.00,9.58,32.93,38.43,-6.09,13.73
692,0.00,14.70,0.28,0.00,12.37,0.00,9.29,33.29,38.43,-6.09,13.73
864,0.00,14.24,0.27,0.00,12.68,0.00,9.14,33.42,38.82,-6.40,13.73
1036,0.00,14.24,0.26,0.00,12.89,0.00,8.85,33.65,38.82,-6.40,13.33
1208,0.00,14.13,0.25,0.00,12.53,0.00,8.42,34.27,38.82,-6.71,9.41
1380,0.00,11.71,0.14,0.00,0.00,0.00,4.50,17.30,38.82,-6.40,0.00
1552,0.00,18.38,0.16,0.00,0.00,0.00,3.63,19.18,38.82,-6.09,0.00
1724,0.00,23.66,0.15,0.00,0.00,0.00,3.63,15.91,38.82,-5.18,0.00
1911,0.00,23.66,0.17,0.00,0.00,0.00,3.77,15.30,38.82,-4.25,1.96
2083,0.00,23.77,0.18,0.00,6.30,0.00,4.35,15.70,38.82,-4.25,5.49
2255,-12.50,11.25,0.19,0.00,5.61,0.00,5.37,15.23,38.82,-3.94,6.27
2427,-10.94,13.09,0.18,0.00,4.71,0.00,5.95,13.71,38.82,-3.35,7.45
2598,-7.03,14.59,0.24,0.00,6.78,0.00,6.82,17.52,38.82,-3.35,9.41
2770,-8.59,14.81,0.30,0.00,8.35,0.00,8.56,23.27,38.82,-3.35,12.55
2942,-7.03,15.04,0.40,0.00,10.03,0.00,10.59,28.81,38.82,-1.18,16.86
3114,-4.69,15.04,0.39,0.00,10.24,0.00,12.04,30.88,38.82,-0.58,17.65
3286,-0.78,15.62,0.40,0.00,11.48,0.00,12.33,32.69,38.82,-0.27,17.65
3473,0.00,15.27,0.42,0.00,11.69,0.00,12.62,33.90,38.82,0.04,18.04
3645,-0.78,14.93,0.42,0.00,11.93,0.00,12.62,34.51,38.82,-0.58,17.25
3819,0.00,14.81,0.41,0.00,12.90,0.00,12.62,35.96,38.82,-0.58,16.86
3991,-3.12,14.59,0.35,0.00,11.36,0.00,11.32,30.44,38.82,-4.25,12.16
4163,-0.78,14.47,0.31,0.00,9.75,0.00,10.01,27.44,38.82,-4.25,10.98
4335,-2.34,14.70,0.23,0.00,8.68,0.00,8.56,18.59,38.82,-4.25,7.06
4507,-5.47,13.67,0.19,0.00,6.39,0.00,6.82,17.44,38.82,-4.25,6.67
4679,-2.34,14.93,0.19,0.00,6.46,0.00,6.38,17.37,38.43,-4.25,6.67
4851,-3.91,14.59,0.19,0.00,6.47,0.00,6.24,17.22,38.43,-4.25,6.67
5023,-3.12,14.70,0.18,0.00,6.48,0.00,6.09,17.22,38.43,-4.25,6.67
5195,-3.12,14.70,0.18,0.00,6.51,0.00,6.09,16.87,38.43,-4.25,6.67
5367,-3.12,14.70,0.18,0.00,6.56,0.00,5.95,17.08,38.43,-4.25,6.67
5543,-1.56,14.93,0.18,0.00,6.59,0.00,5.95,16.60,38.43,-4.25,6.67
5715,-2.34,14.70,0.14,0.00,5.40,0.00,5.08,11.93,38.43,-4.25,3.14
5902,-9.38,13.32,0.13,0.00,4.77,0.00,4.50,12.20,38.43,-4.56,3.14
6074,-7.03,14.36,0.13,0.00,4.75,0.00,4.21,12.48,38.43,-4.25,3.14
6246,-11.72,13.67,0.13,0.00,4.80,0.00,4.21,12.48,38.43,-4.56,3.14
6423,-14.06,13.78,0.13,0.00,4.68,0.00,4.21,11.99,38.43,-4.25,3.14
6595,-13.28,14.59,0.13,0.00,4.80,0.00,4.21,11.93,38.43,-4.25,3.14
6767,-13.28,14.47,0.13,0.00,4.69,0.00,4.21,11.82,38.43,-4.25,3.14
6938,-14.84,14.36,0.12,0.00,4.16,0.00,4.06,11.09,38.04,-4.25,2.75
7110,-14.06,14.47,0.12,0.00,4.70,0.00,3.92,11.35,38.04,-4.25,2.35
7282,-16.41,14.24,0.12,0.00,4.09,0.00,3.92,10.74,38.04,-4.25,2.35
7470,-16.41,14.36,0.12,0.00,4.65,0.00,3.92,10.78,38.04,-4.25,2.35
7641,-17.97,14.24,0.12,0.00,4.64,0.00,3.92,11.09,38.04,-4.25,2.35
7813,-17.97,14.47,0.12,0.00,4.02,0.00,3.92,10.47,38.04,-4.25,2.35
7985,-17.19,14.59,0.12,0.00,3.99,0.00,3.92,10.69,38.04,-4.25,2.35
8157,-17.19,14.59,0.12,0.00,3.97,0.00,3.77,10.58,38.04,-4.25,2.35
