Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.36,0.15,1234,0.00,0.00,16,14.10,15.50,4.93,6.04,-1.39,0.64
172,14.36,0.15,1232,0.00,0.00,16,14.10,14.50,4.93,6.00,-1.39,0.64
344,14.24,0.15,1227,0.00,0.00,16,14.10,15.50,4.93,6.04,-1.39,0.64
531,14.13,0.14,1247,0.00,0.00,16,14.10,13.50,4.93,5.98,-1.39,0.64
703,14.24,0.15,1239,0.00,0.00,16,14.10,14.00,4.93,6.00,-1.39,0.64
874,14.24,0.14,1243,0.00,0.00,16,14.10,14.00,4.93,5.91,-1.39,0.64
1051,14.24,0.14,1227,0.00,0.00,16,14.10,14.00,4.93,5.94,-1.39,0.64
1225,14.47,0.14,1234,0.00,0.00,16,14.10,15.50,4.93,5.91,-1.39,0.64
1398,14.36,0.14,1230,0.00,0.00,16,14.10,15.50,4.93,5.91,-1.39,0.64
1576,14.47,0.15,1215,0.00,0.00,16,14.10,17.00,4.93,5.98,-1.39,0.64
1744,14.13,0.15,1209,0.00,0.00,16,14.10,16.50,5.08,5.94,-1.39,0.64
1918,14.13,0.15,1222,0.00,0.00,16,14.10,15.50,5.08,5.98,-1.39,0.64
2095,14.01,0.15,1230,0.00,0.00,16,14.10,16.50,4.93,5.98,-1.39,0.64
2263,14.13,0.15,1226,0.00,0.00,16,14.10,14.50,5.08,6.00,-1.39,0.64
2435,14.36,0.15,1216,0.00,0.00,16,14.10,15.50,5.08,6.00,-1.39,0.64
2607,14.59,0.15,1218,0.00,0.00,16,14.10,14.00,5.08,6.00,-1.39,0.64
2779,14.59,0.15,1213,0.00,0.00,16,14.10,15.50,4.93,5.98,-1.39,0.64
2962,14.47,0.15,1207,0.00,0.00,16,14.10,15.50,5.08,6.04,-1.39,0.64
3139,14.47,0.15,1192,0.00,0.00,16,14.10,16.50,5.08,6.04,-1.39,0.64
3315,14.24,0.15,1202,0.00,0.00,16,14.10,15.50,5.08,6.07,-1.39,0.64
3489,14.59,0.15,1202,0.00,0.00,16,14.10,15.50,5.08,6.00,-1.39,0.64
3659,14.70,0.15,1213,0.00,0.00,16,14.10,15.00,5.08,6.00,-1.39,0.64
3833,14.70,0.15,1213,0.00,0.00,16,14.10,15.50,5.08,6.00,-1.39,0.64
