Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
0,-1.56,14.01,0.23,0.00,6.07,0.00,7.55,16.32,33.33,-2.94,8.24,190
172,-1.56,14.81,0.22,0.00,6.23,0.00,7.40,16.46,33.33,-3.25,8.63,190
360,-1.56,14.59,0.28,0.00,8.43,0.00,7.55,19.51,33.33,-3.25,11.37,190
531,-3.12,14.13,0.36,0.00,9.81,0.00,9.58,27.45,33.33,-3.56,14.12,190
719,-4.69,14.24,0.41,0.00,11.49,0.00,11.17,34.53,33.33,-1.70,17.25,190
891,-3.91,14.59,0.45,0.00,14.14,0.00,12.48,41.49,33.33,0.15,20.00,190
1078,-4.69,14.59,0.51,0.00,16.42,0.00,13.20,46.74,43.92,4.80,23.14,190
1266,-5.47,14.47,0.55,0.00,19.29,0.00,14.51,56.94,34.90,6.65,25.49,190
1438,0.00,13.55,0.63,0.00,24.61,0.00,16.25,69.75,27.45,7.58,32.55,190
1628,0.00,12.06,0.69,0.00,31.59,0.00,18.28,83.89,21.57,8.82,35.69,190
1810,0.00,11.71,0.71,0.00,40.02,0.00,19.59,94.13,19.22,9.13,36.47,190
1991,0.00,11.14,0.71,0.00,43.67,0.00,20.17,101.46,15.69,8.20,35.69,190
2171,0.00,11.25,0.68,0.00,45.39,0.00,19.30,108.11,15.69,6.65,30.98,190
2343,0.00,10.80,0.35,0.00,0.00,0.00,6.53,55.80,32.55,-7.89,0.00,190
2534,0.00,20.21,0.31,0.00,0.00,0.00,4.50,50.82,33.33,-7.27,0.00,190
2706,0.00,23.77,0.29,0.00,0.00,0.00,4.21,37.35,33.33,-6.65,5.88,190
2893,-10.16,16.54,0.26,0.00,10.11,0.00,6.53,27.24,33.33,-4.80,10.98,190
3065,-7.03,12.52,0.56,0.00,15.77,0.00,12.77,51.15,47.45,4.80,31.37,190
3253,0.00,13.90,0.62,0.00,21.03,0.00,16.11,60.41,38.04,9.44,35.69,190
3440,0.00,12.52,0.71,0.00,25.94,0.00,17.41,69.45,35.69,10.36,41.96,190
3612,0.00,11.83,0.74,0.00,29.54,0.00,19.59,77.64,29.41,10.67,46.67,190
3801,0.00,11.14,0.77,0.00,35.09,0.00,21.47,85.06,25.49,10.98,48.63,190
3976,0.00,11.14,0.77,0.00,39.96,0.00,22.49,92.19,23.92,11.29,49.41,190
4163,0.00,11.14,0.78,0.00,40.79,0.00,22.64,94.62,22.35,11.29,50.20,190
4335,0.00,11.14,0.78,0.00,42.57,0.00,22.49,97.71,20.39,11.29,50.59,190
4523,0.00,11.25,0.76,0.00,42.79,0.00,22.35,99.88,19.22,11.60,55.29,190
4695,0.00,11.14,0.77,0.00,46.26,0.00,22.35,105.73,18.43,11.60,71.76,192
4882,0.00,11.14,0.78,0.00,49.01,0.00,22.49,108.83,49.02,18.72,87.84,192
5069,0.00,11.14,0.95,0.00,57.67,0.00,23.51,128.88,50.98,19.65,91.37,192
5241,0.00,11.14,1.08,0.00,72.99,-2.50,28.00,158.11,57.65,19.65,92.94,192
5429,0.00,11.14,1.14,0.00,84.15,-2.50,31.05,182.15,54.12,19.65,94.12,192
5605,0.00,11.14,1.10,0.00,82.92,-2.50,31.34,186.43,51.37,19.65,94.90,192
5793,0.00,11.25,1.06,0.00,85.65,-2.50,30.18,185.00,53.33,19.65,95.29,192
5965,0.00,11.25,1.07,0.00,86.36,-2.50,29.16,191.44,57.65,19.34,95.69,192
6152,0.00,11.14,1.06,0.00,86.36,-2.50,29.16,193.59,57.25,19.03,95.69,192
6324,0.00,11.14,1.02,0.00,92.61,0.00,29.02,199.77,55.29,18.41,96.08,192
6512,0.00,11.25,1.00,0.00,91.53,0.00,28.29,196.46,52.55,17.17,95.29,192
6699,0.00,11.25,0.68,0.00,87.69,-1.00,21.62,193.95,49.80,15.93,0.00,192
6871,0.00,11.25,0.40,0.00,0.00,0.00,6.24,81.25,32.94,-8.51,0.00,192
7047,0.00,18.15,0.33,0.00,22.36,0.00,5.51,57.93,32.94,-8.20,4.71,192
7235,0.00,11.02,0.45,0.00,23.43,0.00,8.71,58.75,30.20,-6.96,21.18,190
7411,0.00,11.25,0.68,0.00,37.85,0.00,17.70,85.05,16.47,4.18,47.06,190
7599,0.00,11.25,0.83,0.00,46.81,0.00,20.89,109.05,15.69,11.60,54.51,190
