Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,1.56,14.81,0.28,0.00,8.73,0.00,9.00,24.22,37.25,-3.94,11.37
172,1.56,14.81,0.28,0.00,8.80,0.00,9.00,24.04,37.25,-3.94,11.37
344,2.34,14.81,0.34,0.00,10.18,0.00,9.14,26.41,37.25,-3.94,14.12
515,-0.78,14.01,0.40,0.00,12.01,0.00,10.74,35.35,37.25,-2.42,17.65
687,0.00,14.59,0.46,0.00,14.76,0.00,12.91,41.71,37.25,4.64,22.75
875,1.56,14.81,0.51,0.00,15.84,0.00,14.22,47.58,52.55,8.02,25.88
1046,0.00,14.47,0.58,0.00,18.06,0.00,15.09,56.98,49.41,9.24,31.37
1218,0.00,13.09,0.62,0.00,21.35,0.00,16.54,60.46,43.92,9.24,34.90
1390,0.00,12.75,0.65,0.00,24.88,0.00,17.99,68.75,34.90,9.55,37.65
1562,0.00,12.17,0.67,0.00,26.25,0.00,18.86,73.46,30.20,9.86,39.61
1734,0.00,11.83,0.68,0.00,31.10,0.00,20.02,77.36,28.63,9.86,43.14
1906,0.00,11.25,0.71,0.00,35.37,0.00,20.89,84.05,25.88,10.79,50.20
2078,0.00,11.14,0.73,0.00,37.24,0.00,21.47,87.19,24.31,11.39,66.27
2250,0.00,11.14,0.74,0.00,40.63,0.00,21.91,94.19,23.14,13.56,80.39
2422,0.00,11.14,0.75,0.00,44.96,0.00,22.05,102.31,54.51,18.76,91.37
2593,0.00,11.14,0.86,0.00,51.55,-2.50,23.80,114.12,62.35,19.38,100.00
2765,0.00,11.14,0.95,0.00,61.08,-2.50,26.84,131.65,61.96,19.38,100.00
2953,0.00,11.14,1.02,0.00,69.03,-2.50,28.44,149.76,63.14,19.38,100.00
3124,0.00,11.14,1.02,0.00,72.54,-2.50,30.33,157.49,57.65,19.38,100.00
3296,0.00,11.14,1.00,0.00,75.55,-2.50,30.18,163.43,55.69,19.38,100.00
3468,0.00,11.14,0.98,0.00,75.26,-2.50,29.16,163.41,58.04,19.38,100.00
3640,0.00,11.14,0.99,0.00,81.16,-2.50,28.87,174.99,60.78,19.07,100.00
3812,0.00,11.25,0.99,0.00,80.97,-2.50,29.02,178.65,59.22,18.76,100.00
3984,0.00,11.14,1.00,0.00,84.71,-2.50,28.58,183.54,58.43,18.47,100.00
4156,0.00,11.14,0.94,0.00,85.95,-1.00,28.00,185.68,58.04,17.85,100.00
4328,0.00,11.14,0.93,0.00,83.87,-1.00,27.42,184.27,56.08,16.61,100.00
4499,0.00,11.25,0.89,0.00,84.76,-1.00,26.55,185.32,53.73,15.39,100.00
4687,0.00,11.25,0.69,0.00,80.27,-1.00,17.85,166.75,54.51,14.77,0.00
4859,0.00,11.71,0.39,0.00,0.00,0.00,8.13,73.31,36.47,-8.86,0.00
5031,0.00,18.49,0.30,0.00,26.29,0.00,5.95,66.42,36.08,-8.55,14.90
5203,0.00,11.60,0.60,0.00,43.67,0.00,14.36,105.13,12.16,0.97,59.61
