Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
172,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
344,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
516,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
703,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
875,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
1047,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
1234,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
1406,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
1593,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
1765,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
1937,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
2109,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
2281,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
2453,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
2640,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.68
2812,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
2984,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
3156,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
3359,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
3531,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
3702,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.66
3874,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,0.70
4046,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,-1.08,1.00
4219,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,2.01,1.34
4406,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,2.63,1.82
4578,14.70,0.23,0,0.00,0.00,16,-20.00,9.50,3.80,2.63,2.38
