Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
201109,13.86,0.13,1966,0.00,0.00,16,33.09,33.00,7.82,-1.39,0.74,154
201297,12.82,0.11,1974,0.00,0.00,16,32.38,32.00,7.46,-1.39,0.70,154
201469,13.11,0.09,1925,0.00,0.00,16,23.24,29.50,5.46,-1.39,0.64,154
201659,14.04,0.09,1980,0.00,0.00,16,7.42,11.50,5.74,-1.39,0.64,154
201831,16.68,0.10,1805,0.00,0.00,16,5.31,13.00,5.91,-1.39,0.64,154
202019,20.42,0.10,1801,0.00,0.00,16,5.66,13.00,5.91,-1.39,0.64,154
202195,24.91,0.10,1703,0.00,0.00,16,6.37,14.00,5.81,-1.39,0.64,154
202383,25.54,0.11,1634,0.00,0.00,16,6.72,14.50,5.78,-1.39,0.64,154
202570,23.77,0.12,1553,0.00,0.00,16,7.07,15.00,5.87,-1.39,0.64,154
202742,23.87,0.11,1460,0.00,0.00,16,7.42,15.50,5.72,-1.39,0.64,154
202929,23.88,0.11,1404,0.00,0.00,16,7.77,15.50,5.23,-1.39,0.64,154
203117,23.77,0.12,1346,0.00,0.00,16,7.77,-6.50,5.33,-1.39,0.64,154
203289,23.67,0.13,1287,0.00,0.00,16,7.77,15.50,5.33,-1.39,0.64,154
203476,23.61,0.13,1260,0.00,0.00,16,7.77,15.50,5.30,-1.39,0.64,154
203664,21.30,0.13,1209,0.00,0.00,16,7.77,15.50,5.27,-1.39,0.64,154
203851,14.81,0.13,1204,0.00,0.00,16,7.77,15.50,5.27,-1.39,0.64,154
204023,12.76,0.13,1196,0.00,0.00,16,8.12,15.50,5.17,-1.39,0.64,154
204211,12.41,0.14,1178,0.00,0.00,16,8.12,16.00,5.17,-1.08,0.64,154
204398,12.58,0.15,1135,0.00,0.00,16,8.12,16.00,5.49,-1.08,0.64,154
204570,12.93,0.15,1135,0.00,0.00,16,8.12,16.00,5.72,-1.08,0.64,154
204757,13.46,0.15,1142,0.00,0.00,16,8.12,14.50,5.74,-1.08,0.64,154
204945,14.15,0.15,1102,0.00,0.00,16,8.12,16.00,5.81,-1.08,0.64,154
205117,14.60,0.16,1115,0.00,0.00,16,8.12,14.00,5.85,-1.08,0.64,154
205304,14.87,0.18,1132,0.00,0.00,16,8.12,10.50,6.62,-1.08,0.66,154
205492,15.16,0.19,1121,0.00,0.00,16,8.12,11.50,6.99,-1.08,0.66,154
205664,15.19,0.18,1150,0.00,0.00,16,8.12,8.00,7.06,-1.08,0.68,154
205851,14.79,0.19,1164,0.00,0.00,16,8.48,6.50,7.21,-1.08,0.68,154
206038,14.79,0.16,1205,0.00,0.00,16,11.29,10.00,6.04,-1.08,0.68,154
206210,14.80,0.15,1223,0.00,0.00,16,14.10,13.50,6.26,-1.39,0.70,154
206398,14.82,0.16,1197,0.00,0.00,16,16.91,16.50,6.40,-1.39,0.70,154
206575,14.84,0.16,1242,0.00,0.00,16,21.84,19.50,6.88,-1.39,0.70,154
206762,14.74,0.17,1230,0.00,0.00,16,22.19,22.00,6.92,-1.39,0.72,154
206939,14.63,0.17,1268,0.00,0.00,16,22.54,22.50,7.14,-1.39,0.72,154
207126,14.48,0.19,1289,0.00,0.00,16,23.24,23.00,8.14,-1.39,0.74,154
207302,14.44,0.20,1302,0.00,0.00,16,23.59,23.50,8.74,-1.39,0.76,154
207492,14.49,0.21,1340,0.00,0.00,16,25.70,25.00,9.61,-1.39,0.78,154
207679,14.60,0.22,1355,0.00,0.00,16,26.41,26.00,9.93,-1.39,0.78,154
207856,14.35,0.21,1452,0.00,0.00,16,26.76,26.50,10.03,-1.39,0.78,154
208043,14.70,0.20,1486,0.00,0.00,16,27.46,27.00,10.08,-1.39,0.78,154
208215,14.85,0.20,1551,0.00,0.00,16,28.52,28.50,10.17,-1.39,0.78,154
208403,14.85,0.19,1581,0.00,0.00,16,29.92,29.00,10.17,-1.39,0.78,154
208579,14.74,0.18,1645,0.00,0.00,16,30.27,29.50,10.13,-1.39,0.78,154
208767,14.72,0.17,1735,0.00,0.00,16,31.68,31.00,10.17,-1.39,0.78,154
208970,14.56,0.17,1746,0.00,0.00,16,31.33,31.00,10.08,-1.39,0.78,154
209142,14.37,0.17,1802,0.00,0.00,16,32.38,32.00,10.07,-1.39,0.78,154
209329,14.28,0.16,1822,0.00,0.00,16,32.73,32.00,12.64,-1.39,0.78,154
209517,14.18,0.16,1833,0.00,0.00,16,32.73,32.50,10.08,-1.39,0.78,154
209704,14.19,0.16,1877,0.00,0.00,16,33.09,32.50,9.53,-1.39,0.78,154
209876,14.27,0.16,1896,0.00,0.00,16,33.44,33.50,10.13,-1.39,0.78,156
210064,14.37,0.16,1881,0.00,0.00,16,33.09,33.00,9.97,-1.39,0.78,156
210236,14.01,0.15,1907,0.00,0.00,16,33.44,33.50,9.88,-1.39,0.78,156
210423,13.97,0.15,1898,0.00,0.00,16,33.44,33.00,9.61,-1.39,0.76,156
210611,14.21,0.15,1933,0.00,0.00,16,33.79,33.00,9.35,-1.39,0.76,156
210782,14.69,0.14,1912,0.00,0.00,16,33.09,33.00,9.26,-1.39,0.76,156
210970,14.45,0.14,1912,0.00,0.00,16,32.73,33.00,8.91,-1.39,0.74,156
211157,14.23,0.12,1918,0.00,0.00,16,32.03,32.00,8.31,-1.39,0.72,156
211345,14.23,0.11,1916,0.00,0.00,16,30.98,31.50,7.06,-1.39,0.70,156
211517,14.14,0.10,1883,0.00,0.00,16,30.98,30.50,6.33,-1.39,0.70,156
211704,14.05,0.10,1906,0.00,0.00,16,31.33,31.00,6.51,-1.39,0.70,156
211878,14.17,0.11,1858,0.00,0.00,16,30.62,30.50,6.51,-1.39,0.70,156
212066,14.22,0.10,1872,0.00,0.00,16,30.62,30.50,6.51,-1.39,0.70,156
212253,14.37,0.11,1815,0.00,0.00,16,29.92,29.50,6.40,-1.39,0.68,156
212425,14.34,0.10,1806,0.00,0.00,16,29.92,29.50,6.11,-1.39,0.68,156
212613,14.28,0.11,1772,0.00,0.00,16,28.87,29.00,6.22,-1.39,0.68,156
212800,14.48,0.11,1726,0.00,0.00,16,28.87,28.50,6.37,-1.39,0.68,156
212972,14.69,0.11,1697,0.00,0.00,16,28.16,28.00,6.26,-1.39,0.68,156
213159,14.70,0.11,1668,0.00,0.00,16,27.81,27.50,6.01,-1.39,0.68,156
213336,14.74,0.12,1617,0.00,0.00,16,27.11,27.00,6.37,-1.39,0.68,156
213523,14.79,0.12,1590,0.00,0.00,16,26.76,26.50,6.29,-1.39,0.68,156
213711,14.68,0.12,1571,0.00,0.00,16,26.41,26.50,6.37,-1.39,0.68,156
213883,14.37,0.13,1507,0.00,0.00,16,25.70,26.00,6.40,-1.39,0.68,156
214070,14.26,0.13,1470,0.00,0.00,16,25.35,25.00,6.40,-1.39,0.68,156
214258,14.34,0.13,1459,0.00,0.00,16,25.00,25.00,6.26,-1.39,0.70,156
214429,14.65,0.14,1393,0.00,0.00,16,24.65,24.00,6.48,-1.39,0.70,156
214617,15.13,0.14,1412,0.00,0.00,16,24.65,24.50,6.51,-1.39,0.70,156
214804,15.72,0.14,1414,0.00,0.00,16,25.00,25.00,6.81,-1.39,0.70,156
214976,15.96,0.15,1412,0.00,0.00,16,25.00,25.00,6.99,-1.39,0.72,156
215164,15.82,0.15,1462,0.00,0.00,16,25.70,25.50,7.21,-1.39,0.72,156
215351,15.56,0.14,1484,0.00,0.00,16,26.41,26.00,7.24,-1.39,0.72,156
215539,15.44,0.14,1531,0.00,0.00,16,26.76,26.50,7.14,-1.39,0.72,156
215711,15.13,0.14,1574,0.00,0.00,16,27.46,27.00,7.33,-1.39,0.72,156
215898,15.05,0.14,1616,0.00,0.00,16,27.81,27.50,7.46,-1.39,0.72,156
216085,14.77,0.13,1622,0.00,0.00,16,28.16,27.50,7.37,-1.39,0.72,156
216262,14.74,0.13,1670,0.00,0.00,16,28.52,28.50,7.24,-1.39,0.72,156
216449,14.67,0.13,1696,0.00,0.00,16,28.87,28.50,7.37,-1.39,0.72,156
216637,14.58,0.13,1731,0.00,0.00,16,29.57,29.50,7.50,-1.39,0.72,156
216809,14.40,0.13,1737,0.00,0.00,16,29.92,29.50,7.54,-1.39,0.72,156
216985,14.02,0.12,1769,0.00,0.00,16,30.27,29.50,7.50,-1.39,0.72,156
217173,14.12,0.13,1780,0.00,0.00,16,30.27,30.00,7.66,-1.39,0.72,156
217360,14.17,0.12,1806,0.00,0.00,16,30.62,30.50,7.49,-1.39,0.72,156
217532,14.25,0.12,1819,0.00,0.00,16,30.62,30.50,7.33,-1.39,0.72,156
217720,14.51,0.12,1798,0.00,0.00,16,30.27,30.00,7.50,-1.39,0.72,158
217907,14.79,0.12,1821,0.00,0.00,16,30.62,30.50,7.50,-1.39,0.72,158
218079,14.79,0.13,1815,0.00,0.00,16,30.62,30.50,7.82,-1.39,0.74,158
218267,14.69,0.15,1809,0.00,0.00,16,31.33,31.00,8.52,-1.39,0.76,158
218454,14.72,0.16,1803,0.00,0.00,16,32.03,31.50,9.52,-1.39,0.78,158
218626,14.72,0.17,1816,0.00,0.00,16,32.38,32.00,10.17,-1.39,0.78,158
218813,14.77,0.17,1831,0.00,0.00,16,32.73,32.50,10.33,-1.39,0.80,158
218990,14.90,0.18,1840,0.00,0.00,16,33.44,33.00,10.85,-1.39,0.80,158
219177,14.87,0.18,1861,0.00,0.00,16,34.14,33.50,11.15,-1.39,0.80,158
219365,14.70,0.17,1914,0.00,0.00,16,34.84,34.50,11.15,-1.39,0.80,158
219539,14.77,0.16,1959,0.00,0.00,16,35.20,35.00,11.05,-1.39,0.80,158
219726,14.77,0.16,2052,0.00,0.00,16,35.90,35.50,10.59,-1.70,0.80,158
219914,14.97,0.15,2123,0.00,0.00,16,36.25,36.00,10.49,-2.01,0.80,158
220086,14.90,0.15,2171,0.00,0.00,16,36.25,36.00,10.64,-2.01,0.80,158
220273,14.68,0.15,2183,0.00,0.00,16,37.30,36.50,11.40,-2.01,0.80,158
220445,13.95,0.16,2274,0.00,0.00,16,38.01,37.50,11.56,-2.63,0.80,158
220632,14.15,0.16,2290,0.00,0.00,16,38.71,38.00,12.04,-2.63,0.80,158
220820,14.34,0.16,2356,0.00,0.00,16,39.06,39.00,12.58,-2.63,0.80,158
220992,14.46,0.17,2378,0.00,0.00,16,40.12,39.00,13.20,-2.94,0.80,158
221179,14.25,0.16,2442,0.00,0.00,16,39.77,40.00,13.39,-2.94,0.80,158
221367,13.72,0.15,2519,0.00,0.00,16,39.41,40.00,13.65,-3.25,0.78,158
221539,14.00,0.15,2551,0.00,0.00,16,39.41,39.00,12.85,-3.56,0.78,158
221726,13.91,0.15,2618,0.00,0.00,16,39.06,39.00,12.90,-3.56,0.76,158
221914,14.09,0.14,2633,0.00,0.00,16,38.71,39.00,14.97,-3.87,0.76,158
222086,13.49,0.12,2691,0.00,0.00,16,37.30,37.50,11.50,-3.87,0.72,158
222273,13.70,0.12,2705,0.00,0.00,16,36.95,36.50,10.79,-4.18,0.68,158
222460,13.37,0.10,2713,0.00,0.00,16,30.98,32.00,9.48,-4.18,0.66,158
222632,13.97,0.11,2724,0.00,0.00,16,17.27,23.50,9.98,-4.18,0.64,158
222820,17.42,0.10,2642,0.00,0.00,16,6.02,7.00,9.18,-3.87,0.64,158
223007,25.08,0.10,2614,0.00,0.00,16,5.66,5.50,8.77,-3.87,0.64,158
223179,25.62,0.10,2543,0.00,0.00,16,5.31,5.50,8.65,-3.56,0.64,158
223367,23.60,0.10,2488,0.00,0.00,16,5.31,5.00,8.77,-3.25,0.64,158
223554,23.69,0.11,2485,0.00,0.00,16,4.96,5.00,8.64,-3.25,0.64,158
223726,24.08,0.10,2449,0.00,0.00,16,4.96,4.50,8.56,-3.25,0.64,158
223918,23.84,0.11,2349,0.00,0.00,16,4.96,4.50,8.44,-2.94,0.64,158
224090,23.82,0.09,2333,0.00,0.00,16,4.96,4.50,7.41,-2.63,0.64,158
224278,23.85,0.10,2252,0.00,0.00,16,4.61,4.50,7.14,-2.32,0.64,158
224465,23.58,0.09,2236,0.00,0.00,16,4.61,4.50,6.62,-2.32,0.64,158
224637,23.66,0.09,2146,0.00,0.00,16,4.61,4.50,6.59,-2.01,0.64,158
224824,24.12,0.09,2134,0.00,0.00,16,4.26,4.50,6.55,-2.01,0.64,158
225012,23.82,0.09,2074,0.00,0.00,16,4.26,4.00,6.44,-1.70,0.64,158
225184,23.72,0.09,2048,0.00,0.00,16,4.26,4.00,6.29,-1.70,0.64,158
225387,24.12,0.10,2011,0.00,0.00,16,4.26,4.00,6.37,-1.70,0.64,158
225559,23.94,0.10,1931,0.00,0.00,16,4.61,4.50,6.29,-1.39,0.64,158
225746,23.88,0.10,1901,0.00,0.00,16,4.96,4.50,6.33,-1.39,0.64,160
225918,23.88,0.10,1831,0.00,0.00,16,5.31,5.00,6.29,-1.39,0.64,160
226106,24.03,0.10,1792,0.00,0.00,16,5.66,13.50,6.18,-1.39,0.64,160
226293,23.64,0.11,1746,0.00,0.00,16,6.02,13.50,6.26,-1.39,0.64,160
226465,23.88,0.11,1697,0.00,0.00,16,6.37,14.00,6.40,-1.39,0.64,160
226655,23.87,0.12,1661,0.00,0.00,16,6.37,14.00,6.40,-1.39,0.64,160
226827,24.24,0.12,1633,0.00,0.00,16,6.72,14.50,6.40,-1.39,0.64,160
227015,23.67,0.12,1584,0.00,0.00,16,7.07,14.50,6.48,-1.39,0.64,160
227202,23.97,0.12,1521,0.00,0.00,16,7.42,15.50,6.01,-1.39,0.64,160
227374,23.88,0.12,1480,0.00,0.00,16,7.42,15.50,6.11,-1.39,0.64,160
227562,24.12,0.11,1445,0.00,0.00,16,7.42,15.50,5.40,-1.39,0.64,160
227738,24.21,0.12,1411,0.00,0.00,16,7.77,15.50,5.43,-1.39,0.64,160
227926,23.77,0.12,1384,0.00,0.00,16,7.77,-5.00,5.52,-1.39,0.64,160
228102,23.79,0.12,1327,0.00,0.00,16,7.77,1.00,5.36,-1.39,0.64,160
228290,23.64,0.12,1381,0.00,0.00,16,7.77,4.50,5.46,-1.39,0.64,160
228477,20.38,0.12,1343,0.00,0.00,16,7.77,11.50,5.40,-1.39,0.64,160
228649,15.66,0.12,1358,0.00,0.00,16,7.77,11.50,5.30,-1.39,0.64,160
228837,14.18,0.12,1350,0.00,0.00,16,7.77,10.50,5.36,-1.39,0.64,160
229024,13.37,0.12,1335,0.00,0.00,16,7.77,11.50,5.33,-1.39,0.64,160
229212,13.34,0.12,1332,0.00,0.00,16,7.77,10.50,5.46,-1.39,0.64,160
229389,13.46,0.13,1333,0.00,0.00,16,7.77,9.50,5.40,-1.39,0.66,160
229576,13.58,0.13,1322,0.00,0.00,16,7.77,10.50,5.65,-1.39,0.66,160
229763,13.68,0.13,1313,0.00,0.00,16,7.77,10.50,5.65,-1.39,0.66,160
229935,13.97,0.13,1301,0.00,0.00,16,7.77,11.00,5.78,-1.39,0.68,160
230123,14.20,0.14,1289,0.00,0.00,16,8.83,8.00,5.78,-1.39,0.68,160
230310,14.46,0.14,1288,0.00,0.00,16,12.34,10.50,6.18,-1.39,0.70,160
230482,14.79,0.16,1255,0.00,0.00,16,15.51,14.00,6.55,-1.39,0.70,160
230674,15.00,0.16,1281,0.00,0.00,16,20.08,18.50,6.95,-1.39,0.72,160
230846,15.09,0.17,1268,0.00,0.00,16,22.54,22.50,7.17,-1.39,0.72,160
231037,15.24,0.17,1322,0.00,0.00,16,23.59,23.50,7.37,-1.39,0.72,160
231209,15.26,0.17,1317,0.00,0.00,16,23.59,23.50,7.37,-1.39,0.72,160
231396,15.20,0.16,1349,0.00,0.00,16,24.30,23.50,7.50,-1.39,0.70,160
231583,15.22,0.13,1352,0.00,0.00,16,17.62,16.50,4.75,-1.39,0.64,160
231755,14.87,0.11,1328,0.00,0.00,16,8.12,8.50,4.44,-1.39,0.64,160
231943,14.00,0.12,1262,0.00,0.00,16,7.77,13.50,4.79,-1.39,0.64,160
232130,13.80,0.13,1210,0.00,0.00,16,7.77,15.50,5.04,-1.08,0.64,160
232302,13.89,0.13,1182,0.00,0.00,16,8.12,16.00,5.08,-1.08,0.64,160
232490,13.97,0.14,1170,0.00,0.00,16,8.12,16.00,5.17,-1.08,0.64,160
232662,13.82,0.14,1160,0.00,0.00,16,8.12,15.50,5.36,-1.08,0.64,160
232849,13.91,0.15,1169,0.00,0.00,16,8.12,13.50,5.52,-1.08,0.64,160
233037,14.18,0.15,1164,0.00,0.00,16,8.12,13.50,5.78,-1.08,0.64,160
233213,14.42,0.15,1172,0.00,0.00,16,8.12,10.50,5.91,-1.08,0.64,160
233401,14.60,0.16,1166,0.00,0.00,16,8.12,10.50,6.07,-1.08,0.64,160
233588,14.82,0.17,1155,0.00,0.00,16,8.12,11.50,6.33,-1.08,0.64,160
233777,15.03,0.17,1177,0.00,0.00,16,8.12,8.00,6.62,-1.08,0.64,160
233953,15.13,0.17,1188,0.00,0.00,16,8.12,7.00,6.77,-1.08,0.64,160
234130,15.13,0.17,1194,0.00,0.00,16,7.77,6.00,6.92,-1.08,0.64,160
234317,15.16,0.17,1204,0.00,0.00,16,7.77,5.50,6.99,-1.39,0.64,160
234489,15.06,0.17,1213,0.00,0.00,16,7.77,5.00,6.95,-1.39,0.64,160
234677,14.92,0.17,1235,0.00,0.00,16,7.77,3.50,7.10,-1.39,0.64,160
234864,14.89,0.17,1232,0.00,0.00,16,7.77,4.50,6.99,-1.39,0.64,160
235036,14.82,0.18,1230,0.00,0.00,16,7.77,5.50,7.06,-1.39,0.64,162
235224,14.79,0.17,1231,0.00,0.00,16,7.77,5.50,7.06,-1.39,0.64,160
235411,14.63,0.17,1239,0.00,0.00,16,7.77,5.00,7.06,-1.39,0.64,162
235583,14.62,0.17,1234,0.00,0.00,16,7.77,6.00,7.06,-1.39,0.64,162
235770,14.49,0.17,1242,0.00,0.00,16,7.77,6.00,7.06,-1.39,0.64,162
235958,14.37,0.16,1263,0.00,0.00,16,7.77,4.50,6.99,-1.39,0.64,162
236130,14.37,0.17,1257,0.00,0.00,16,7.77,5.50,6.95,-1.39,0.64,162
236317,14.63,0.17,1263,0.00,0.00,16,7.77,5.00,6.95,-1.39,0.64,162
236505,14.74,0.17,1244,0.00,0.00,16,7.77,7.50,6.92,-1.39,0.64,162
236681,14.77,0.16,1261,0.00,0.00,16,7.77,6.00,6.84,-1.39,0.64,162
236869,14.72,0.17,1226,0.00,0.00,16,7.77,8.00,6.92,-1.39,0.64,162
237041,14.67,0.17,1238,0.00,0.00,16,7.77,8.00,6.95,-1.39,0.64,162
237228,14.67,0.17,1238,0.00,0.00,16,7.77,8.00,6.84,-1.39,0.64,162
237416,14.60,0.16,1252,0.00,0.00,16,7.77,6.50,6.88,-1.39,0.64,162
237588,14.53,0.16,1264,0.00,0.00,16,7.77,5.50,6.77,-1.39,0.64,162
237775,14.44,0.16,1265,0.00,0.00,16,10.94,6.00,6.81,-1.39,0.64,162
237962,14.53,0.16,1284,0.00,0.00,16,10.94,7.00,6.73,-1.39,0.64,162
238134,14.56,0.15,1298,0.00,0.00,16,10.94,7.00,6.70,-1.39,0.64,162
238322,14.51,0.16,1276,0.00,0.00,16,10.94,9.50,6.66,-1.39,0.64,162
238509,14.59,0.15,1293,0.00,0.00,16,10.94,8.50,6.62,-1.39,0.64,162
238697,14.58,0.15,1298,0.00,0.00,16,10.94,8.00,6.48,-1.39,0.64,162
238869,14.38,0.15,1305,0.00,0.00,16,10.59,8.00,6.37,-1.39,0.64,162
239056,14.42,0.15,1295,0.00,0.00,16,10.94,9.50,6.40,-1.39,0.64,162
239228,14.49,0.15,1292,0.00,0.00,16,10.59,10.00,6.44,-1.39,0.64,162
239416,14.40,0.14,1287,0.00,0.00,16,10.94,11.00,6.11,-1.39,0.64,162
239603,14.30,0.14,1276,0.00,0.00,16,10.94,12.00,6.18,-1.39,0.64,162
239775,14.51,0.14,1282,0.00,0.00,16,10.94,11.50,6.11,-1.39,0.64,162
239962,14.54,0.14,1284,0.00,0.00,16,10.94,10.50,6.04,-1.39,0.64,162
240150,14.54,0.14,1275,0.00,0.00,16,10.94,11.50,6.07,-1.39,0.64,162
240322,14.55,0.14,1274,0.00,0.00,16,10.94,11.00,6.11,-1.39,0.64,162
240509,14.39,0.15,1259,0.00,0.00,16,10.94,12.50,6.04,-1.39,0.64,162
240697,14.43,0.14,1265,0.00,0.00,16,10.94,11.00,6.04,-1.39,0.64,162
240869,14.30,0.14,1269,0.00,0.00,16,10.94,10.50,5.91,-1.39,0.64,162
241056,14.30,0.14,1246,0.00,0.00,16,10.94,13.00,5.91,-1.39,0.64,162
241243,14.32,0.14,1254,0.00,0.00,16,10.94,11.50,6.00,-1.39,0.64,162
241415,14.52,0.14,1260,0.00,0.00,16,10.94,10.50,5.91,-1.39,0.64,162
241603,14.43,0.14,1248,0.00,0.00,16,10.94,11.50,5.87,-1.39,0.64,162
241775,14.45,0.14,1240,0.00,0.00,16,10.94,11.50,5.85,-1.39,0.64,162
241963,14.51,0.14,1242,0.00,0.00,16,10.94,11.50,5.85,-1.39,0.64,162
242150,14.54,0.14,1227,0.00,0.00,16,10.94,13.00,5.87,-1.39,0.64,162
242338,14.60,0.14,1226,0.00,0.00,16,10.94,12.00,5.78,-1.39,0.64,162
242510,14.67,0.14,1221,0.00,0.00,16,10.94,12.00,5.78,-1.39,0.64,162
242697,14.51,0.14,1218,0.00,0.00,16,10.94,12.00,5.72,-1.39,0.64,162
242885,14.65,0.14,1206,0.00,0.00,16,10.94,13.00,5.78,-1.39,0.64,162
243057,14.66,0.15,1201,0.00,0.00,16,10.94,13.00,5.91,-1.39,0.64,162
243244,14.70,0.15,1208,0.00,0.00,16,10.94,11.50,5.91,-1.39,0.64,162
243432,14.60,0.15,1201,0.00,0.00,16,10.94,12.00,5.91,-1.39,0.64,162
243603,14.67,0.15,1207,0.00,0.00,16,10.94,11.50,5.91,-1.39,0.64,162
243791,14.72,0.15,1220,0.00,0.00,16,10.94,10.00,5.98,-1.39,0.64,162
243978,14.81,0.15,1213,0.00,0.00,16,10.94,10.50,6.04,-1.39,0.64,162
244150,14.82,0.15,1216,0.00,0.00,16,10.94,10.50,6.11,-1.39,0.64,162
244338,14.77,0.15,1218,0.00,0.00,16,10.94,10.00,6.11,-1.39,0.64,162
244525,14.61,0.15,1219,0.00,0.00,16,10.94,10.00,6.04,-1.39,0.64,162
244697,14.49,0.15,1221,0.00,0.00,16,10.94,10.00,5.98,-1.39,0.64,162
244885,14.58,0.15,1212,0.00,0.00,16,10.94,11.50,6.04,-1.39,0.64,162
245072,14.72,0.15,1204,0.00,0.00,16,10.94,11.50,6.04,-1.39,0.64,163
245244,14.75,0.15,1206,0.00,0.00,16,10.94,11.00,6.04,-1.39,0.64,163
245431,14.65,0.15,1204,0.00,0.00,16,10.94,11.50,6.11,-1.39,0.64,163
245619,14.69,0.15,1206,0.00,0.00,16,10.94,11.00,6.15,-1.39,0.64,163
245806,14.65,0.16,1205,0.00,0.00,16,10.94,10.00,6.26,-1.39,0.64,163
245978,14.65,0.16,1212,0.00,0.00,16,10.94,10.50,6.29,-1.39,0.64,163
246170,14.68,0.15,1220,0.00,0.00,16,10.94,9.50,6.22,-1.39,0.64,163
246342,14.77,0.16,1225,0.00,0.00,16,10.94,9.50,6.29,-1.39,0.64,163
246534,14.86,0.16,1226,0.00,0.00,16,10.94,9.50,6.33,-1.39,0.64,163
246706,14.94,0.16,1228,0.00,0.00,16,10.94,9.50,6.33,-1.39,0.64,163
246894,14.92,0.16,1228,0.00,0.00,16,10.94,9.50,6.37,-1.39,0.64,163
247081,14.92,0.15,1222,0.00,0.00,16,10.94,10.50,6.37,-1.39,0.64,163
247253,14.90,0.16,1234,0.00,0.00,16,10.94,9.50,6.48,-1.39,0.64,163
247441,14.89,0.15,1247,0.00,0.00,16,10.94,8.50,6.33,-1.39,0.64,163
247628,14.84,0.15,1258,0.00,0.00,16,10.94,9.00,6.40,-1.39,0.64,163
247800,14.93,0.15,1254,0.00,0.00,16,10.94,9.00,6.29,-1.39,0.64,163
247987,14.87,0.15,1255,0.00,0.00,16,10.94,9.50,6.26,-1.39,0.64,163
248175,14.79,0.15,1260,0.00,0.00,16,10.94,10.50,6.33,-1.39,0.64,163
248347,14.77,0.15,1268,0.00,0.00,16,10.94,8.50,6.15,-1.39,0.64,163
248534,14.72,0.15,1272,0.00,0.00,16,10.94,8.50,6.26,-1.39,0.64,163
248722,14.54,0.15,1273,0.00,0.00,16,10.94,9.00,6.22,-1.39,0.64,163
248898,14.30,0.14,1267,0.00,0.00,16,10.94,9.50,6.15,-1.39,0.64,163
249086,14.23,0.15,1267,0.00,0.00,16,10.94,10.00,6.26,-1.39,0.64,163
249258,14.43,0.16,1273,0.00,0.00,16,10.94,8.50,6.55,-1.39,0.66,163
249445,14.42,0.16,1270,0.00,0.00,16,10.94,10.50,6.95,-1.39,0.68,163
249632,14.25,0.15,1278,0.00,0.00,16,13.40,11.50,6.18,-1.39,0.70,163
249809,14.21,0.17,1226,0.00,0.00,16,15.51,14.50,6.44,-1.39,0.70,163
249996,14.40,0.18,1204,0.00,0.00,16,18.67,17.50,6.99,-1.39,0.72,163
250168,14.60,0.20,1233,0.00,0.00,16,22.54,22.00,8.03,-1.39,0.76,163
250356,14.58,0.22,1349,0.00,0.00,16,26.76,26.00,10.13,-1.39,0.80,163
250543,14.16,0.22,1486,0.00,0.00,16,29.22,28.00,11.56,-1.39,0.82,163
250715,14.65,0.21,1732,0.00,0.00,16,33.79,32.00,12.31,-1.39,0.82,163
250903,15.21,0.21,1890,0.00,0.00,16,35.90,35.50,13.51,-1.39,0.84,163
251090,15.36,0.22,1952,0.00,0.00,16,37.30,36.50,13.96,-1.39,0.86,163
251262,15.05,0.22,1984,0.00,0.00,16,37.66,37.50,14.60,-1.39,0.86,163
251450,14.82,0.23,1978,0.00,0.00,16,38.01,38.00,14.79,-1.39,0.86,163
251626,14.70,0.23,1988,0.00,0.00,16,38.01,38.00,14.98,-1.39,0.88,163
251814,14.58,0.24,1962,0.00,0.00,16,38.01,38.00,15.33,-1.39,0.88,163
252001,14.30,0.24,1930,0.00,0.00,16,37.30,37.00,15.63,-1.39,0.88,163
252178,14.16,0.25,1902,0.00,0.00,16,36.25,36.50,15.55,-1.39,0.88,163
252365,14.09,0.25,1852,0.00,0.00,16,35.55,35.50,15.63,-1.39,0.88,163
252537,14.38,0.27,1820,0.00,0.00,16,34.84,35.00,16.00,-1.39,0.88,163
252724,14.30,0.26,1802,0.00,0.00,16,34.49,34.00,15.63,-1.39,0.84,163
252916,14.11,0.15,1929,0.00,0.00,16,26.05,27.50,5.21,-1.39,0.64,163
253093,12.70,0.10,1886,0.00,0.00,16,10.23,14.00,2.65,-1.39,0.64,163
253280,12.42,0.13,1608,0.00,0.00,16,7.07,14.50,6.29,-1.39,0.64,163
253452,14.42,0.15,1264,0.00,0.00,16,7.77,15.50,6.01,-1.39,0.64,163
253643,16.88,0.13,1241,0.00,0.00,16,7.77,12.50,5.40,-1.39,0.64,163
253815,22.37,0.12,1265,0.00,0.00,16,7.77,9.50,5.08,-1.39,0.64,163
254007,15.54,0.13,1250,0.00,0.00,16,7.77,10.50,5.21,-1.39,0.64,163
254179,13.37,0.13,1224,0.00,0.00,16,7.77,11.50,5.27,-1.39,0.64,163
254366,13.05,0.13,1212,0.00,0.00,16,7.77,11.50,5.40,-1.39,0.64,163
254543,13.02,0.13,1218,0.00,0.00,16,7.77,10.50,5.40,-1.39,0.64,163
