Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s)
0,14.95,0.23,3171,0.00,0.00,8,12.26
125,15.12,0.23,3186,0.00,0.00,8,11.64
