Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,0.78,14.59,0.10,0.00,1.77,0.00,4.35,3.60,0.00,-1.18,0.00
2824,0.00,14.70,0.11,0.00,1.69,0.00,4.50,3.31,0.00,-1.18,0.00
2996,0.78,14.93,0.10,0.00,1.70,0.00,4.50,3.55,0.00,-1.18,0.00
3168,0.78,14.93,0.11,0.00,1.68,0.00,4.64,3.31,0.00,-1.18,0.00
3340,1.56,14.93,0.11,0.00,1.66,0.00,4.64,3.62,0.00,-1.18,0.00
3516,2.34,15.16,0.11,0.00,1.70,0.00,4.64,3.55,0.00,-1.18,0.00
3691,0.78,14.93,0.11,0.00,1.70,0.00,4.64,3.62,0.00,-1.18,0.00
3863,0.00,14.47,0.11,0.00,1.73,0.00,4.50,3.58,0.00,-1.18,0.00
4035,0.78,14.47,0.11,0.00,1.71,0.00,4.50,3.78,0.00,-1.18,0.00
4207,0.78,14.70,0.11,0.00,1.73,0.00,4.64,3.69,0.00,-1.18,0.00
4379,0.00,14.59,0.10,0.00,1.51,0.00,4.50,3.45,0.00,-1.18,0.00
4551,-0.78,14.24,0.11,0.00,1.71,0.00,4.50,3.58,0.00,-1.18,0.00
4723,0.00,14.47,0.11,0.00,1.72,0.00,4.50,3.56,0.00,-1.18,0.00
4910,1.56,14.93,0.11,0.00,1.71,0.00,4.50,3.75,0.00,-1.18,0.00
5082,1.56,14.81,0.11,0.00,1.72,0.00,4.50,3.67,0.00,-1.18,0.00
5254,0.78,14.70,0.11,0.00,1.75,0.00,4.50,3.65,0.00,-1.18,0.00
5426,-0.78,14.36,0.10,0.00,1.53,0.00,4.50,3.50,0.00,-1.18,0.00
5598,-0.78,14.24,0.11,0.00,1.87,0.00,4.50,3.80,0.00,-1.18,0.00
5769,0.00,14.59,0.10,0.00,1.53,0.00,4.50,3.23,0.00,-1.18,0.00
5941,-0.78,14.47,0.11,0.00,1.69,0.00,4.50,3.72,0.00,-1.18,0.00
6129,0.00,14.59,0.11,0.00,1.72,0.00,4.50,3.67,0.00,-1.18,0.00
6301,-1.56,14.13,0.11,0.00,1.73,0.00,4.50,3.62,0.00,-1.18,0.00
