Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
0,-0.78,15.16,0.47,0.00,15.73,0.00,13.78,47.95,30.20,-1.70,16.86,190
172,0.00,14.93,0.45,0.00,16.59,0.00,13.64,48.41,30.20,-1.70,16.86,192
359,-0.78,14.81,0.44,0.00,16.30,0.00,13.49,48.55,29.80,-2.01,16.86,192
531,0.78,14.81,0.45,0.00,16.63,0.00,13.49,49.01,29.41,-1.70,17.25,192
718,0.78,14.59,0.47,0.00,18.44,0.00,13.64,53.34,28.63,-1.70,17.65,192
890,-1.56,14.13,0.49,0.00,17.99,0.00,13.93,55.14,27.45,-1.39,18.43,192
1082,-1.56,14.36,0.49,0.00,20.02,0.00,14.07,58.26,26.67,-1.08,19.22,192
1254,0.00,13.78,0.58,0.00,22.58,0.00,14.80,63.24,29.41,2.94,23.92,192
1443,0.00,12.40,0.71,0.00,31.97,0.00,18.14,84.55,20.78,7.58,34.90,192
1615,0.00,11.25,0.76,0.00,42.41,0.00,21.33,97.71,20.39,10.06,48.63,192
1803,0.00,11.14,0.76,0.00,44.97,0.00,22.35,100.51,18.43,11.60,58.82,192
1975,0.00,11.25,0.76,0.00,45.15,0.00,22.35,103.36,18.04,11.60,66.67,192
2162,0.00,11.14,0.79,0.00,46.63,0.00,22.20,109.05,17.25,14.70,74.51,192
2334,0.00,11.14,0.81,0.00,51.43,0.00,22.35,117.56,16.08,15.01,75.29,192
2522,0.00,11.14,0.79,0.00,52.44,0.00,22.49,119.34,16.08,14.08,75.29,192
2709,0.00,11.14,0.80,0.00,54.61,0.00,22.35,123.72,16.08,12.84,75.69,192
2881,0.00,11.14,0.80,0.00,59.68,0.00,22.35,131.61,16.08,12.22,74.90,192
3068,0.00,11.14,0.81,0.00,60.17,0.00,22.20,135.77,16.08,11.60,72.94,192
3240,0.00,11.14,0.83,0.00,64.76,0.00,22.20,141.21,16.08,10.67,68.63,192
3428,0.00,11.14,0.80,0.00,65.05,0.00,22.20,144.42,16.08,10.06,65.88,192
3615,0.00,11.14,0.81,0.00,67.93,0.00,22.05,147.94,16.08,9.75,63.92,192
3787,0.00,11.14,0.81,0.00,67.52,0.00,21.76,149.41,16.08,9.13,57.65,192
3975,0.00,11.14,0.40,0.00,45.78,0.00,13.06,87.52,16.08,8.51,0.00,192
4146,0.00,12.29,0.33,0.00,0.00,0.00,5.51,63.07,33.73,-8.20,0.00,192
4334,0.00,23.54,0.26,0.00,0.00,0.00,4.93,45.09,33.73,-7.89,1.57,192
4506,0.00,18.49,0.27,0.00,17.94,0.00,5.95,46.14,33.73,-7.58,12.16,192
4697,0.00,11.60,0.52,0.00,23.30,0.00,11.90,60.94,31.76,5.10,29.41,192
4880,0.00,11.60,0.67,0.00,33.81,0.00,16.83,86.88,18.04,8.51,39.61,190
5062,0.00,11.48,0.74,0.00,44.34,0.00,20.60,96.89,18.04,10.36,47.06,190
5238,0.00,11.14,0.74,0.00,46.93,0.00,21.91,107.15,17.65,11.29,50.98,190
5409,0.00,11.25,0.75,0.00,47.83,0.00,22.05,107.15,17.25,11.60,53.73,190
5601,0.00,11.25,0.78,0.00,49.94,0.00,22.05,111.72,16.47,11.60,55.69,190
5773,0.00,11.25,0.77,0.00,50.50,0.00,22.05,111.00,16.08,11.60,56.47,190
5963,0.00,11.25,0.78,0.00,50.59,0.00,22.05,113.75,16.08,11.60,56.86,190
6136,0.00,11.25,0.78,0.00,52.08,0.00,22.05,117.57,16.08,11.60,56.47,190
6323,0.00,11.25,0.78,0.00,54.08,0.00,21.91,120.10,15.69,11.60,56.08,190
6495,0.00,11.25,0.77,0.00,53.90,0.00,21.91,120.61,15.69,11.60,55.69,190
6683,0.00,11.25,0.78,0.00,55.31,0.00,22.05,120.36,15.69,11.60,55.29,189
6870,0.00,11.25,0.78,0.00,57.25,0.00,21.91,126.43,15.69,11.60,54.51,189
7042,0.00,11.25,0.79,0.00,56.77,0.00,21.91,125.89,15.69,11.60,52.94,189
7229,0.00,11.25,0.77,0.00,57.55,0.00,21.76,127.80,15.69,10.98,50.59,189
7401,0.00,11.25,0.76,0.00,57.75,0.00,21.62,129.70,15.69,10.36,49.02,189
7589,0.00,11.25,0.77,0.00,57.95,0.00,21.47,129.16,15.69,9.44,47.84,189
7761,0.00,11.37,0.79,0.00,59.18,0.00,21.33,131.61,15.69,9.13,47.45,189
7953,0.00,11.37,0.76,0.00,58.60,0.00,21.18,130.25,15.69,8.82,45.10,189
8129,0.00,11.37,0.40,0.00,43.33,0.00,14.07,88.36,15.69,7.89,0.00,189
8317,0.00,14.81,0.34,0.00,0.00,0.00,5.08,57.10,33.33,-7.89,0.00,189
8489,0.00,20.44,0.28,0.00,17.91,0.00,4.93,46.58,33.33,-7.58,2.35,189
8676,0.00,12.52,0.26,0.00,15.03,0.00,6.09,37.47,33.33,-7.58,11.37,189
8853,0.00,11.48,0.36,0.00,16.41,0.00,9.43,43.41,30.98,-5.72,15.69,189
9040,0.00,12.63,0.47,0.00,20.27,0.00,11.61,52.36,26.27,-2.01,21.57,187
9212,0.00,12.63,0.54,0.00,22.83,0.00,14.36,62.89,26.67,3.25,23.92,187
9400,0.00,12.29,0.58,0.00,26.37,0.00,15.67,70.34,25.49,3.87,24.31,187
9583,0.00,12.06,0.58,0.00,27.25,0.00,16.98,75.08,24.31,4.18,24.31,187
9760,0.00,12.17,0.60,0.00,27.91,0.00,17.27,76.98,23.92,3.25,22.35,187
9932,0.00,12.06,0.56,0.00,25.86,0.00,16.40,70.64,23.92,0.77,20.00,187
10119,0.00,12.52,0.44,0.00,20.93,0.00,14.36,56.12,24.71,-4.80,15.29,187
10307,0.00,13.09,0.35,0.00,17.07,0.00,11.90,45.53,32.16,-5.72,12.55,187
10479,0.00,12.75,0.24,0.00,11.30,0.00,7.84,23.74,33.33,-6.65,8.24,187
