Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
11282,13.08,0.25,3526,0.00,0.00,16,44.34,44.00,30.26,-3.25,1.00,183,1.57
11470,13.36,0.26,3519,0.00,0.00,16,44.34,44.00,30.83,-3.25,1.00,183,1.57
11657,12.85,0.26,3548,0.00,0.00,16,44.34,44.00,30.27,-3.25,1.00,183,1.57
11845,12.93,0.26,3536,0.00,0.00,16,44.34,44.00,31.06,-3.25,1.00,183,1.57
12032,13.05,0.25,3551,0.00,0.00,16,44.34,44.00,30.83,-3.25,1.00,183,1.57
12235,13.22,0.27,3582,0.00,0.00,16,44.34,44.00,31.05,-3.25,1.00,183,1.57
12423,13.10,0.26,3595,0.00,0.00,16,44.34,44.00,30.72,-2.63,1.00,183,2.35
12610,13.26,0.27,3592,0.00,0.00,16,44.34,44.00,31.84,-2.63,1.02,183,2.35
12813,13.19,0.28,3609,0.00,0.00,16,44.34,44.00,32.17,-2.63,1.02,183,2.35
13001,13.16,0.28,3621,0.00,0.00,16,43.98,44.00,33.71,-2.01,1.04,183,3.14
13188,13.03,0.31,3635,0.00,0.00,16,42.93,43.00,35.82,-0.77,1.08,183,4.71
13391,12.87,0.42,3682,0.00,0.00,16,38.36,39.00,45.62,1.70,1.24,183,8.24
13579,11.94,0.58,3705,0.00,0.00,16,28.16,32.50,65.98,10.36,1.58,183,13.73
13766,11.31,0.76,3761,0.00,0.00,16,16.91,19.00,89.97,13.77,1.94,183,19.22
13954,11.01,1.01,3830,0.00,0.00,16,7.77,9.00,120.43,14.08,2.30,183,20.39
14141,11.20,1.19,3974,0.00,0.00,16,6.72,6.00,152.19,15.01,2.72,183,25.88
14342,11.21,1.19,4036,0.00,0.00,16,7.07,6.00,159.34,15.62,2.88,183,19.22
14532,11.21,1.13,4116,0.00,0.00,16,7.42,6.50,153.15,16.24,2.92,183,20.00
14722,11.24,1.15,4185,0.00,0.00,16,7.42,7.00,161.63,15.93,2.94,183,22.35
14912,11.22,1.18,4290,0.00,0.00,16,8.12,7.50,171.34,15.93,2.94,183,22.75
15102,11.26,1.18,4391,0.00,0.00,16,8.48,7.50,174.16,15.62,2.96,183,21.96
15293,11.26,1.17,4504,0.00,0.00,16,8.48,8.00,176.94,15.62,2.88,183,22.75
15477,11.27,1.16,4624,0.00,0.00,16,8.83,8.00,178.70,15.01,2.64,183,22.35
15677,11.29,1.14,4714,0.00,0.00,16,9.18,8.00,181.51,14.39,2.34,183,22.35
15867,11.29,1.06,4808,0.00,0.00,16,10.23,8.50,169.59,13.77,1.44,183,19.61
16057,11.28,0.52,4883,0.00,0.00,16,36.25,29.50,77.84,1.70,1.00,183,12.16
16242,11.32,0.32,4756,0.00,0.00,16,43.63,42.50,45.04,-4.80,0.76,183,0.00
16432,11.88,0.20,4771,0.00,0.00,16,34.49,34.00,35.19,-5.10,0.64,183,0.00
16622,16.88,0.18,4762,0.00,0.00,16,9.18,15.50,29.05,-4.80,0.64,183,0.00
16812,23.98,0.16,4741,0.00,0.00,16,6.02,6.00,25.49,-4.80,0.64,183,0.00
17002,24.01,0.14,4714,0.00,0.00,16,6.02,6.00,23.63,-4.80,0.64,183,0.00
17199,23.96,0.14,4664,0.00,0.00,16,6.02,6.00,21.97,-4.80,0.64,183,0.00
