Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,13.90,0.18,3071,0.00,0.00,16,28.87,28.50,6.09,18.02,-4.18,0.86
172,14.01,0.19,3088,0.00,0.00,16,34.14,35.50,6.24,19.11,-4.18,0.86
344,13.67,0.19,3107,0.00,0.00,16,37.30,38.50,6.38,19.73,-4.18,0.88
515,13.78,0.22,3131,0.00,0.00,16,44.34,44.00,7.11,23.54,-4.18,0.94
687,14.01,0.25,3140,0.00,0.00,16,44.34,44.00,7.55,26.20,-2.63,1.02
875,13.67,0.31,3186,0.00,0.00,16,43.28,43.00,9.14,32.51,-0.77,1.10
1047,13.90,0.34,3227,0.00,0.00,16,42.23,42.00,10.30,37.79,0.46,1.12
1219,13.67,0.37,3284,0.00,0.00,16,41.17,41.50,10.74,39.89,1.70,1.14
1390,13.67,0.37,3360,0.00,0.00,16,41.52,41.00,11.03,40.72,1.08,1.12
1562,13.90,0.36,3389,0.00,0.00,16,41.52,41.50,10.88,40.72,0.46,1.12
1734,13.55,0.31,3458,0.00,0.00,16,43.28,42.50,10.01,35.44,-2.01,1.04
1906,14.01,0.29,3496,0.00,0.00,16,44.34,43.50,9.29,32.07,-2.63,1.00
2093,14.24,0.25,3551,0.00,0.00,16,44.34,44.00,8.56,29.05,-3.87,0.98
2265,14.70,0.24,3580,0.00,0.00,16,44.34,44.00,8.13,29.15,-3.87,0.98
2437,14.36,0.25,3607,0.00,0.00,16,44.34,44.00,7.98,29.82,-3.25,1.00
2609,14.47,0.27,3634,0.00,0.00,16,44.34,44.00,8.27,31.16,-2.63,1.10
2781,14.81,0.51,3755,0.00,0.00,16,32.73,34.00,13.20,62.93,3.25,1.64
2953,12.52,0.67,3824,0.00,0.00,16,21.48,22.00,17.12,87.99,13.77,2.24
3125,11.83,0.88,3947,0.00,0.00,16,11.64,14.50,20.02,110.14,14.70,2.94
3297,10.80,1.10,4139,0.00,0.00,16,7.07,7.00,25.97,150.69,17.17,3.50
3468,11.14,1.22,4298,0.00,0.00,16,7.77,7.50,30.47,174.86,20.57,3.84
3656,11.14,1.20,4488,0.00,0.00,16,8.48,8.00,31.20,180.77,20.57,3.94
3828,11.14,1.18,4741,0.00,0.00,16,9.18,9.00,30.91,187.29,20.57,3.96
4000,11.14,1.15,4963,0.00,0.00,16,9.53,9.50,30.18,191.38,20.57,3.96
4171,11.14,1.15,5179,0.00,0.00,16,10.23,10.00,29.75,196.23,20.57,3.96
4343,11.14,1.14,5267,0.00,0.00,16,10.59,10.50,29.02,200.70,20.57,3.96
4515,11.14,1.11,5446,0.00,0.00,16,10.94,10.50,28.58,203.43,24.60,3.94
4687,11.14,1.09,5635,0.00,0.00,16,11.64,11.00,28.29,205.42,18.72,3.94
4859,11.14,1.07,5800,0.00,0.00,16,11.99,11.50,27.71,207.82,16.86,3.94
5046,11.14,1.05,5928,0.00,0.00,16,13.05,13.00,27.28,208.22,15.01,3.92
5218,11.14,1.02,6097,0.00,0.00,16,13.75,13.00,26.99,211.79,15.01,3.90
5390,11.25,0.98,6250,0.00,0.00,16,21.84,14.00,26.26,210.20,-9.44,0.66
5562,11.37,0.31,5800,0.00,0.00,16,16.56,26.00,6.96,56.30,-8.20,0.64
5734,15.50,0.23,5342,0.00,0.00,16,-10.16,-0.50,5.08,43.50,-6.65,0.64
5906,22.74,0.37,4876,0.00,0.00,16,40.47,39.50,8.27,61.71,0.46,1.46
6078,14.59,0.72,4043,0.00,0.00,16,21.48,21.50,18.28,111.18,14.70,3.96
6265,11.14,0.99,4355,0.00,0.00,16,10.23,9.00,23.07,143.70,20.57,3.96
6437,11.14,1.19,4601,0.00,0.00,16,8.83,8.50,29.75,181.82,20.57,3.96
6609,11.14,1.21,4587,0.00,0.00,16,8.83,8.00,31.63,184.30,20.57,3.96
6781,11.14,1.18,4678,0.00,0.00,16,8.83,8.50,31.63,185.42,20.57,3.96
6953,11.25,1.18,4768,0.00,0.00,16,9.18,9.00,31.49,188.41,20.57,3.96
7124,11.25,1.18,4870,0.00,0.00,16,9.18,9.00,31.34,188.40,20.57,3.96
7296,11.25,1.17,4947,0.00,0.00,16,9.53,9.50,31.05,192.13,20.57,3.96
7484,11.25,1.17,5000,0.00,0.00,16,9.88,9.50,30.62,194.73,20.30,3.96
7655,11.25,1.15,5098,0.00,0.00,16,10.23,9.50,30.47,194.74,20.30,3.96
7827,11.25,1.15,5151,0.00,0.00,16,10.23,10.00,30.18,199.19,20.30,3.96
7999,11.25,1.15,5278,0.00,0.00,16,10.59,10.50,30.04,202.23,24.64,3.96
8171,11.37,1.14,5323,0.00,0.00,16,10.59,10.50,29.45,204.23,19.68,3.96
8343,11.37,1.13,5407,0.00,0.00,16,10.59,10.50,29.31,203.43,19.38,3.94
8515,11.37,1.11,5510,0.00,0.00,16,10.94,10.50,29.16,205.42,19.38,3.84
8687,11.37,0.69,5158,0.00,0.00,16,25.70,19.50,12.62,63.83,17.23,0.66
