Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
0,5.47,14.70,0.13,0.00,4.43,0.00,4.93,10.53,34.12,-3.64,4.31,187
172,5.47,14.70,0.13,0.00,3.96,0.00,4.93,9.79,34.12,-3.35,4.31,187
360,6.25,14.81,0.14,0.00,4.54,0.00,4.93,9.99,34.51,-3.35,4.31,187
547,5.47,14.59,0.13,0.00,4.40,0.00,4.93,10.23,34.51,-3.35,4.31,187
719,3.12,14.01,0.14,0.00,3.93,0.00,4.93,9.61,34.12,-3.35,4.31,187
906,2.34,14.24,0.12,0.00,3.89,0.00,4.93,9.57,34.51,-3.35,4.31,187
1094,3.91,14.70,0.14,0.00,4.38,0.00,4.93,9.94,34.51,-3.35,4.31,187
1266,1.56,14.24,0.13,0.00,4.37,0.00,4.93,9.79,34.51,-3.35,4.31,187
1454,-0.78,13.78,0.13,0.00,4.38,0.00,4.93,9.88,34.51,-3.35,4.31,187
1626,-1.56,14.01,0.13,0.00,4.33,0.00,4.93,9.97,34.51,-3.35,4.31,187
1813,-3.91,13.90,0.13,0.00,3.83,0.00,4.93,9.53,34.51,-3.35,4.71,187
2001,-1.56,14.59,0.13,0.00,3.76,0.00,4.93,9.74,34.51,-3.35,4.31,187
2188,-1.56,14.81,0.13,0.00,4.32,0.00,4.79,9.79,34.51,-3.35,4.31,187
2360,-6.25,13.90,0.11,0.00,3.84,0.00,4.79,8.86,34.51,-3.35,3.92,187
2548,-3.12,14.47,0.12,0.00,3.81,0.00,4.64,8.77,34.51,-3.35,3.92,187
2735,-4.69,14.47,0.12,0.00,3.77,0.00,4.64,8.91,34.51,-3.35,3.92,187
2927,-7.03,13.90,0.12,0.00,3.80,0.00,4.64,8.52,34.51,-3.35,3.92,187
3114,-4.69,14.70,0.12,0.00,3.75,0.00,4.64,8.74,34.51,-3.35,3.92,185
3286,-7.03,14.24,0.10,0.00,3.78,0.00,4.64,8.02,34.51,-3.35,3.92,185
3474,-5.47,14.47,0.12,0.00,3.30,0.00,4.50,8.40,34.51,-3.35,3.92,185
3661,-5.47,15.04,0.11,0.00,3.73,0.00,4.50,8.39,34.51,-3.35,3.92,185
3833,-6.25,14.59,0.12,0.00,3.78,0.00,4.50,8.39,34.51,-3.35,3.92,185
4021,-3.91,14.93,0.11,0.00,3.72,0.00,4.64,8.11,34.51,-3.35,3.92,185
4208,-3.91,14.93,0.13,0.00,3.70,0.00,4.64,8.87,34.51,-3.35,4.71,185
4380,-5.47,14.59,0.14,0.00,4.17,0.00,5.08,10.28,34.51,-3.35,5.49,185
4568,-7.03,13.78,0.17,0.00,4.65,0.00,5.66,11.87,34.51,-3.35,6.67,185
4755,-8.59,14.47,0.19,0.00,5.08,0.00,6.38,13.54,34.51,-3.04,7.45,185
4927,-6.25,14.70,0.23,0.00,5.57,0.00,7.40,15.36,34.51,-3.35,9.41,185
5114,-6.25,14.81,0.27,0.00,6.47,0.00,8.42,19.04,34.51,-3.04,11.37,185
5302,-3.91,15.04,0.31,0.00,7.42,0.00,9.72,21.80,34.51,-3.04,12.94,185
5474,-0.78,15.73,0.32,0.00,8.33,0.00,10.59,22.78,34.51,-3.35,12.94,185
5661,0.78,15.39,0.32,0.00,8.31,0.00,10.88,23.27,34.51,-3.04,13.33,185
5833,1.56,15.16,0.33,0.00,8.34,0.00,11.03,23.27,34.51,-3.35,13.33,185
6021,2.34,15.04,0.33,0.00,8.80,0.00,11.17,24.13,34.51,-3.04,13.73,185
6208,2.34,15.04,0.34,0.00,8.80,0.00,11.32,23.85,34.51,-3.04,13.73,183
6397,3.12,14.93,0.33,0.00,8.86,0.00,11.32,24.32,34.51,-3.35,12.94,183
6569,3.91,14.93,0.33,0.00,8.86,0.00,11.17,24.62,34.51,-3.35,12.94,183
6756,4.69,15.04,0.34,0.00,8.42,0.00,11.17,24.23,34.51,-3.35,12.94,183
6928,5.47,15.04,0.35,0.00,9.30,0.00,11.46,25.48,34.51,-3.35,13.33,183
7116,4.69,14.59,0.37,0.00,9.32,0.00,11.75,26.51,34.51,-3.35,14.12,183
7303,3.91,14.59,0.37,0.00,10.23,0.00,12.04,27.35,34.51,-2.42,14.51,183
7475,3.91,14.47,0.39,0.00,9.83,0.00,12.33,28.08,34.51,-2.42,14.90,183
7663,3.91,14.59,0.38,0.00,9.84,0.00,12.33,28.50,34.12,-2.42,14.90,183
7850,3.91,14.59,0.39,0.00,10.38,0.00,12.48,28.50,34.12,-2.42,14.90,183
8022,3.12,14.47,0.37,0.00,9.97,0.00,12.48,28.81,34.12,-2.42,14.12,183
8209,3.91,14.81,0.34,0.00,9.03,0.00,11.75,25.38,34.12,-3.35,12.94,183
8397,4.69,14.93,0.33,0.00,9.00,0.00,11.32,24.62,34.12,-3.35,12.16,183
8584,3.91,14.70,0.32,0.00,8.52,0.00,10.74,23.36,34.12,-3.35,11.37,183
8756,3.91,14.70,0.28,0.00,7.62,0.00,10.16,20.94,34.12,-3.35,10.98,183
8944,6.25,15.16,0.30,0.00,8.37,0.00,9.87,21.89,34.12,-3.35,10.59,183
9116,2.34,14.13,0.28,0.00,7.63,0.00,9.72,20.85,34.12,-3.35,10.59,183
9303,6.25,14.93,0.28,0.00,7.59,0.00,9.58,20.76,34.12,-3.35,10.59,183
9491,5.47,14.70,0.28,0.00,7.61,0.00,9.58,21.11,34.12,-3.35,10.59,181
9663,5.47,14.70,0.28,0.00,7.66,0.00,9.43,20.77,34.12,-3.35,10.59,181
9850,4.69,14.47,0.28,0.00,7.64,0.00,9.43,20.68,34.12,-3.35,10.20,181
10037,3.91,14.59,0.27,0.00,7.65,0.00,9.29,20.59,34.12,-3.35,10.20,181
10209,3.12,14.47,0.25,0.00,7.12,0.00,9.00,19.19,34.12,-3.35,9.41,181
10397,4.69,14.70,0.24,0.00,6.70,0.00,8.56,17.74,34.12,-3.35,9.02,181
10584,3.91,14.70,0.22,0.00,6.20,0.00,7.98,16.66,34.12,-3.35,8.24,181
10756,4.69,14.70,0.21,0.00,6.20,0.00,7.69,15.97,34.12,-3.35,7.84,181
10944,4.69,14.81,0.21,0.00,5.69,0.00,7.55,15.36,34.12,-3.35,7.84,181
11131,5.47,14.81,0.21,0.00,5.67,0.00,7.40,15.24,34.12,-3.35,7.84,181
11303,5.47,14.81,0.20,0.00,5.72,0.00,7.25,15.16,34.12,-3.35,7.84,181
11491,7.81,15.04,0.20,0.00,5.73,0.00,7.25,14.54,34.12,-3.35,7.84,181
11678,7.03,14.81,0.20,0.00,5.70,0.00,7.25,14.78,34.12,-3.35,7.84,181
11850,7.81,14.81,0.20,0.00,5.65,0.00,7.25,14.86,34.12,-3.35,7.45,181
12037,6.25,14.36,0.20,0.00,5.64,0.00,7.25,14.90,34.12,-3.35,7.84,181
12225,6.25,14.47,0.20,0.00,5.66,0.00,7.25,14.97,34.12,-3.35,7.84,181
12397,7.03,14.70,0.20,0.00,6.08,0.00,7.11,14.66,34.12,-3.35,7.84,181
12584,6.25,14.59,0.20,0.00,5.68,0.00,7.11,14.61,34.12,-3.35,7.45,181
12775,7.03,14.70,0.20,0.00,6.11,0.00,7.11,15.03,34.12,-3.35,7.84,181
