Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%),Throttle Opening Angle (%)
9795,11.14,0.81,3568,0.00,0.00,16,15.51,13.00,22.49,96.58,8.20,1.32,13.28,0.00,21.18
9991,11.14,0.71,3704,0.00,0.00,16,20.43,17.00,20.02,88.21,5.10,1.26,13.28,0.00,18.82
10189,11.37,0.56,3906,0.00,0.00,16,31.33,23.50,16.83,58.45,2.01,1.08,13.28,0.00,13.73
10392,12.06,0.36,3978,0.00,0.00,16,41.88,39.00,12.04,43.08,-2.63,1.00,13.52,0.00,10.59
10580,12.17,0.27,4015,0.00,0.00,16,44.34,43.00,8.85,32.97,-4.18,0.92,13.44,0.00,8.24
10783,11.37,0.20,4008,0.00,0.00,16,44.34,43.50,5.80,25.20,-4.18,0.78,13.52,0.00,4.31
10986,11.14,0.16,3937,0.00,0.00,16,19.73,28.50,4.06,20.23,-4.18,0.68,13.52,0.00,0.78
11189,11.94,0.14,3972,0.00,0.00,16,-1.72,-1.50,3.92,18.79,-4.18,0.64,13.60,0.00,0.00
11393,21.71,0.13,3939,0.00,0.00,16,-10.16,-10.50,3.63,16.67,-4.18,0.64,13.60,0.00,0.00
11584,23.66,0.12,3854,0.00,0.00,16,-10.16,-10.50,3.63,15.19,-4.18,0.64,13.60,0.00,0.00
11789,23.54,0.10,3818,0.00,0.00,16,-10.16,-10.50,3.63,12.74,-4.18,0.64,13.60,0.00,0.00
11992,24.00,0.11,3754,0.00,0.00,16,-10.16,-10.50,3.63,13.32,-4.18,0.64,13.52,0.00,0.00
12189,23.77,0.10,3724,0.00,0.00,16,-10.16,-10.50,3.77,11.88,-4.18,0.66,13.60,0.00,0.39
12395,23.77,0.11,3678,0.00,0.00,16,-10.16,-10.50,3.92,13.26,-4.18,0.68,13.60,0.00,0.78
12592,23.66,0.11,3640,0.00,0.00,16,-9.80,-11.00,3.92,15.33,-4.18,0.72,13.60,0.00,1.96
12791,18.83,0.12,3570,0.00,0.00,16,-6.29,-7.50,4.21,14.66,-4.18,0.74,13.52,0.00,2.75
12983,12.29,0.09,3529,0.00,0.00,16,-10.16,-10.00,3.77,11.56,-4.18,0.64,13.60,0.00,0.00
13190,14.47,0.10,3512,0.00,0.00,16,-10.16,-10.50,3.77,11.55,-4.18,0.64,13.52,0.00,0.00
13395,23.89,0.10,3450,0.00,0.00,16,-10.16,-10.50,3.77,11.55,-4.18,0.64,13.60,0.00,0.00
13590,23.66,0.10,3417,0.00,0.00,16,-10.16,-10.50,3.77,10.94,-4.18,0.64,13.60,0.00,0.00
13793,23.89,0.11,3368,0.00,0.00,16,-10.16,-10.50,4.06,12.26,-4.18,0.68,13.52,0.00,0.78
13996,23.77,0.12,3312,0.00,0.00,16,-9.45,-10.50,4.35,13.08,-4.18,0.72,13.60,0.00,1.96
