Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,-0.78,14.93,0.12,0.00,1.95,0.00,4.93,3.95,0.00,-1.08,0.00
172,-2.34,14.47,0.12,0.00,1.95,0.00,4.79,4.06,0.00,-1.08,0.00
353,-2.34,14.36,0.12,0.00,1.95,0.00,4.79,4.00,0.00,-1.08,0.00
525,-1.56,14.47,0.12,0.00,1.94,0.00,4.79,4.06,0.00,-1.08,0.00
714,-1.56,14.59,0.11,0.00,1.71,0.00,4.79,3.85,0.00,-1.08,0.00
884,-1.56,14.47,0.12,0.00,1.93,0.00,4.79,4.06,0.00,-1.08,0.00
1057,-1.56,14.70,0.12,0.00,1.93,0.00,4.93,3.95,0.00,-1.08,0.00
1229,-2.34,14.47,0.12,0.00,1.72,0.00,4.79,3.91,0.00,-1.08,0.00
1394,-2.34,14.47,0.11,0.00,1.71,0.00,4.79,3.70,0.00,-1.08,0.00
1566,-1.56,14.59,0.13,0.00,1.88,0.00,4.93,4.09,0.00,-1.08,0.00
1754,-0.78,14.81,0.11,0.00,1.93,0.00,4.93,3.75,0.00,-1.08,0.00
1916,0.00,15.04,0.12,0.00,1.89,0.00,5.08,3.95,0.00,-1.08,0.00
2088,-0.78,14.81,0.13,0.00,1.87,0.00,5.08,4.11,0.00,-1.08,0.00
