Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,0.00,14.36,0.12,0.00,1.95,0.00,4.93,4.14,0.00,-1.08,0.00
175,0.78,14.59,0.12,0.00,1.98,0.00,4.93,4.03,0.00,-1.08,0.00
347,0.78,14.70,0.12,0.00,1.99,0.00,4.93,4.06,0.00,-1.08,0.00
519,0.00,14.47,0.11,0.00,1.97,0.00,4.79,3.93,0.00,-1.08,0.00
691,0.00,14.36,0.11,0.00,1.75,0.00,4.79,3.75,0.00,-1.08,0.00
863,0.00,14.36,0.12,0.00,1.96,0.00,4.79,3.83,0.00,-1.08,0.00
1043,0.00,14.70,0.12,0.00,1.91,0.00,4.93,4.20,0.00,-1.08,0.00
1215,0.78,14.81,0.11,0.00,1.98,0.00,4.93,3.88,0.00,-1.08,0.00
1379,-2.34,14.01,0.11,0.00,1.77,0.00,4.79,3.92,0.00,-1.08,0.00
1551,-1.56,14.24,0.12,0.00,1.92,0.00,4.93,3.98,0.00,-1.08,0.00
1737,0.00,14.59,0.11,0.00,1.92,0.00,4.93,3.73,0.00,-1.08,0.00
1909,0.00,14.81,0.12,0.00,1.92,0.00,4.93,3.98,0.00,-1.08,0.00
2074,-0.78,14.70,0.12,0.00,1.95,0.00,4.93,3.95,0.00,-1.08,0.00
2246,0.00,14.81,0.12,0.00,1.75,0.00,4.93,4.00,0.00,-1.08,0.00
2423,0.00,14.81,0.12,0.00,1.93,0.00,4.93,3.91,0.00,-1.08,0.00
2595,0.00,14.81,0.12,0.00,1.98,0.00,4.93,4.00,0.00,-1.08,0.00
2767,-0.78,14.70,0.12,0.00,1.98,0.00,4.79,3.98,0.00,-1.08,0.00
2944,-1.56,14.24,0.12,0.00,1.94,0.00,4.79,4.09,0.00,-1.08,0.00
3129,-1.56,14.24,0.11,0.00,1.75,0.00,4.79,3.70,0.00,-1.08,0.00
3290,-1.56,14.36,0.12,0.00,1.72,0.00,4.79,3.95,0.00,-1.08,0.00
3466,-0.78,14.59,0.12,0.00,1.90,0.00,5.08,3.95,0.00,-1.08,0.00
3643,-0.78,14.70,0.11,0.00,1.74,0.00,4.93,3.80,0.00,-1.08,0.00
3815,-0.78,14.81,0.12,0.00,1.92,0.00,4.93,3.91,40.39,-1.08,0.00
3990,0.00,14.93,0.14,0.00,2.29,0.00,5.08,4.57,40.39,-1.08,0.00
4165,0.00,15.04,0.14,0.00,2.10,0.00,5.51,4.82,40.39,-1.08,0.00
4337,-0.78,14.70,0.13,0.00,1.95,0.00,5.51,4.57,40.39,-1.08,0.39
4512,-4.69,13.78,0.15,0.00,2.36,0.00,5.51,5.00,40.39,-1.08,1.18
4685,-2.34,14.01,0.18,0.00,2.16,0.00,5.95,6.51,40.39,-1.08,3.14
4857,-0.78,14.59,0.20,0.00,3.31,0.00,6.96,7.94,40.39,-1.08,3.92
5031,-10.16,12.98,0.19,0.00,3.36,0.00,7.40,8.60,40.39,-1.39,4.31
5206,-2.34,13.78,0.20,0.00,3.56,0.00,7.25,9.44,40.39,-1.70,4.71
5387,0.00,15.62,0.21,0.00,4.00,0.00,7.25,9.84,40.39,-1.70,5.10
5547,-1.56,15.16,0.23,0.00,3.97,0.00,7.40,10.43,40.39,-1.70,5.88
5719,-2.34,14.70,0.26,0.00,4.46,0.00,7.98,12.10,40.39,-1.70,6.67
5906,-5.47,14.24,0.29,0.00,4.89,0.00,8.85,13.07,40.39,-1.70,7.45
6079,-6.25,13.78,0.30,0.00,4.90,0.00,9.72,13.48,40.39,-1.39,7.84
6251,-2.34,14.70,0.31,0.00,5.16,0.00,10.01,14.01,40.39,-1.39,8.24
9189,3.91,14.70,0.33,0.00,8.83,0.00,11.46,24.13,40.39,-2.94,14.12
