Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Throttle Opening Angle (%)
0,14.81,0.12,804,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
183,14.70,0.12,804,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
362,14.70,0.12,806,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
547,14.70,0.12,797,0.00,0.00,16,14.10,15.00,4.79,3.13,-1.08,0.64,0.00
728,14.70,0.12,798,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
908,14.59,0.12,815,0.00,0.00,16,14.10,12.50,4.79,3.13,-1.08,0.64,0.00
1086,14.59,0.12,798,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
1273,14.70,0.12,797,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
1445,14.70,0.12,807,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
1633,14.59,0.12,798,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
1820,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2007,14.70,0.12,812,0.00,0.00,16,14.10,12.50,4.79,3.13,-1.08,0.64,0.00
2188,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2370,14.59,0.12,811,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
2553,14.70,0.12,802,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2733,14.59,0.12,800,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2922,14.70,0.12,803,0.00,0.00,16,14.10,13.50,4.79,3.14,-1.08,0.64,0.00
3100,14.70,0.12,800,0.00,0.00,16,14.10,15.00,4.79,3.14,-1.08,0.64,0.00
3285,14.70,0.12,803,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
3468,14.70,0.12,806,0.00,0.00,16,14.10,13.00,4.79,3.14,-1.08,0.64,0.00
3652,14.59,0.12,792,0.00,0.00,16,14.10,14.50,4.79,3.17,-1.08,0.64,0.00
3835,14.70,0.12,801,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
4016,14.70,0.12,813,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
4199,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
4382,14.59,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
4565,14.59,0.12,804,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
4744,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
4926,14.70,0.12,802,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
5099,14.70,0.12,809,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
5287,14.70,0.12,798,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
5474,14.70,0.12,802,0.00,0.00,16,14.10,13.50,4.79,3.14,-1.08,0.64,0.00
5646,14.70,0.12,804,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
5833,14.70,0.12,801,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
6011,14.59,0.12,804,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
6198,14.59,0.12,811,0.00,0.00,16,14.10,13.00,4.79,3.14,-1.08,0.64,0.00
6386,14.59,0.12,800,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
6558,14.59,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
6745,14.70,0.12,797,0.00,0.00,16,14.10,13.00,4.79,3.14,-1.08,0.64,0.00
6932,14.47,0.12,808,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
7121,14.47,0.12,801,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
7299,14.59,0.12,804,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
7493,14.70,0.12,800,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
7676,14.59,0.12,810,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
7860,14.70,0.12,806,0.00,0.00,16,14.10,13.50,4.79,3.14,-1.08,0.64,0.00
8039,14.70,0.12,806,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
8226,14.81,0.12,808,0.00,0.00,16,14.10,13.50,4.79,3.14,-1.08,0.64,0.00
8409,14.70,0.12,803,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
8591,14.81,0.12,808,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
8774,14.70,0.12,816,0.00,0.00,16,14.10,12.50,4.79,3.13,-1.08,0.64,0.00
8955,14.70,0.12,814,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
9138,14.70,0.12,809,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
9319,14.70,0.12,798,0.00,0.00,16,14.10,14.50,4.79,3.17,-1.08,0.64,0.00
9500,14.70,0.12,796,0.00,0.00,16,14.10,15.00,4.79,3.17,-1.08,0.64,0.00
9683,14.70,0.12,806,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
9866,14.70,0.12,809,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
10035,14.59,0.12,808,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
10222,14.47,0.12,800,0.00,0.00,16,14.10,14.50,4.79,3.13,-1.08,0.64,0.00
10410,14.59,0.12,807,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
10582,14.59,0.12,807,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
10769,14.47,0.12,800,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
10960,14.47,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.17,-1.08,0.64,0.00
11131,14.59,0.12,805,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
11319,14.70,0.12,788,0.00,0.00,16,14.10,15.50,4.79,3.13,-1.08,0.64,0.00
11506,14.70,0.12,802,0.00,0.00,16,14.10,13.50,4.79,3.14,-1.08,0.64,0.00
11678,14.59,0.12,791,0.00,0.00,16,14.10,14.50,4.79,3.13,-1.08,0.64,0.00
11865,14.59,0.12,793,0.00,0.00,16,14.10,14.00,4.93,3.13,-1.08,0.64,0.00
12053,14.59,0.12,801,0.00,0.00,16,14.10,13.50,4.93,3.14,-1.08,0.64,0.00
12225,14.70,0.12,794,0.00,0.00,16,14.10,14.00,4.79,3.17,-1.08,0.64,0.00
12412,14.70,0.12,798,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
12600,14.59,0.12,798,0.00,0.00,16,14.10,13.50,4.93,3.14,-1.08,0.64,0.00
12772,14.59,0.12,792,0.00,0.00,16,14.10,14.00,4.93,3.14,-1.08,0.64,0.00
12955,14.70,0.12,797,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,0.00
13143,14.70,0.12,794,0.00,0.00,16,14.10,14.00,4.93,3.14,-1.08,0.64,0.00
13316,14.59,0.12,802,0.00,0.00,16,14.10,13.00,4.93,3.14,-1.08,0.64,0.00
13504,14.59,0.12,800,0.00,0.00,16,14.10,13.00,4.79,3.17,-1.08,0.64,0.00
13695,14.59,0.12,794,0.00,0.00,16,14.10,14.00,4.93,3.14,-1.08,0.64,0.00
13867,14.70,0.12,788,0.00,0.00,16,14.10,14.50,4.79,3.13,-1.08,0.64,0.00
14061,14.70,0.12,794,0.00,0.00,16,14.10,14.00,4.93,3.14,-1.08,0.64,0.00
14244,14.59,0.12,789,0.00,0.00,16,14.10,14.00,4.93,3.14,-1.08,0.64,0.00
14426,14.59,0.12,790,0.00,0.00,16,14.10,13.50,4.93,3.13,-1.08,0.64,0.00
14608,14.59,0.12,796,0.00,0.00,16,14.10,13.50,4.93,3.13,-1.08,0.64,0.00
14791,14.70,0.12,788,0.00,0.00,16,14.10,14.00,4.93,3.13,-1.08,0.64,0.00
14978,14.70,0.12,798,0.00,0.00,16,14.10,13.00,4.93,3.17,-1.08,0.64,0.00
15165,14.70,0.12,796,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,0.00
15337,14.59,0.12,798,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
15524,14.70,0.12,802,0.00,0.00,16,14.10,13.00,4.93,3.13,-1.08,0.64,0.00
15712,14.70,0.12,786,0.00,0.00,16,14.10,15.00,4.79,3.14,-1.08,0.64,0.00
15884,14.59,0.12,800,0.00,0.00,16,14.10,12.50,4.93,3.14,-1.08,0.64,0.00
16079,14.59,0.12,806,0.00,0.00,16,14.10,12.50,4.79,3.14,-1.08,0.64,0.00
16261,14.59,0.12,800,0.00,0.00,16,14.10,14.50,4.93,3.17,-1.08,0.64,0.00
16445,14.70,0.12,800,0.00,0.00,16,14.10,13.50,4.93,3.17,-1.08,0.64,0.00
16628,14.81,0.12,796,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
16807,14.70,0.12,800,0.00,0.00,16,14.10,13.50,4.93,3.13,-1.08,0.64,0.00
16976,14.59,0.12,806,0.00,0.00,16,14.10,12.50,4.79,3.17,-1.08,0.64,0.00
17164,14.59,0.12,806,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
17351,14.70,0.12,796,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
17538,14.70,0.12,793,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
17713,14.59,0.12,797,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
17901,14.59,0.12,794,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
18077,14.70,0.12,801,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
18265,14.70,0.12,791,0.00,0.00,16,14.10,14.50,4.93,3.17,-1.08,0.64,0.00
18452,14.81,0.12,805,0.00,0.00,16,14.10,13.00,4.93,3.17,-1.08,0.64,0.00
18624,14.70,0.12,813,0.00,0.00,16,14.10,12.50,4.93,3.17,-1.08,0.64,0.00
18811,14.59,0.12,798,0.00,0.00,16,14.10,14.00,4.79,3.17,-1.08,0.64,0.00
19004,14.70,0.12,794,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
19185,14.59,0.12,800,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
19367,14.59,0.12,806,0.00,0.00,16,14.10,13.00,4.93,3.13,-1.08,0.64,0.00
19547,14.59,0.12,808,0.00,0.00,16,14.10,13.00,4.79,3.17,-1.08,0.64,0.00
19728,14.47,0.12,800,0.00,0.00,16,14.10,14.00,4.79,3.17,-1.08,0.64,0.00
19911,14.59,0.12,792,0.00,0.00,16,14.10,14.50,4.79,3.17,-1.08,0.64,0.00
20085,14.70,0.12,797,0.00,0.00,16,14.10,14.00,4.93,3.17,-1.08,0.64,0.00
20272,14.70,0.12,808,0.00,0.00,16,14.10,13.00,4.93,3.17,-1.08,0.64,0.00
20459,14.59,0.12,797,0.00,0.00,16,14.10,15.50,4.93,3.17,-1.08,0.64,0.00
20631,14.59,0.13,771,0.00,0.00,16,14.10,18.50,4.93,3.17,-1.08,0.64,0.00
20819,14.59,0.13,739,0.00,0.00,16,14.10,19.00,4.93,3.21,-1.08,0.64,0.00
21002,14.47,0.14,742,0.00,0.00,16,14.10,18.00,5.22,3.40,-1.08,0.64,0.00
21174,14.47,0.15,747,0.00,0.00,16,14.10,15.50,5.22,3.70,-1.08,0.68,0.78
21361,14.36,0.44,784,0.00,0.00,16,11.64,10.50,7.55,26.65,-1.08,1.38,22.75
21549,14.47,0.44,1387,0.00,0.00,16,29.22,21.00,14.07,20.26,6.34,1.30,23.53
21736,14.81,0.26,2238,0.00,0.00,16,-12.97,-14.00,8.71,17.50,-2.63,0.64,0.00
21908,13.09,0.29,2145,0.00,0.00,16,-12.62,-13.00,8.85,20.67,-2.32,0.64,0.00
22104,11.94,0.29,2132,0.00,0.00,16,-12.27,-12.50,9.00,20.84,-2.01,0.64,0.00
22288,12.06,0.30,2135,0.00,0.00,16,-12.27,-12.50,9.14,21.19,-2.01,0.64,0.00
22469,11.94,0.31,2116,0.00,0.00,16,-12.27,-12.50,9.29,20.76,-2.01,0.64,0.00
22653,11.83,0.31,2116,0.00,0.00,16,-12.27,-12.50,9.43,20.84,-2.01,0.64,0.00
22834,11.83,0.31,2125,0.00,0.00,16,-12.27,-12.50,9.43,21.45,-2.01,0.64,0.00
23017,12.17,0.30,2122,0.00,0.00,16,-12.62,-13.00,9.58,21.44,-2.01,0.64,0.00
23197,11.83,0.31,2148,0.00,0.00,16,-12.27,-13.00,9.58,21.27,-2.01,0.64,0.00
23378,11.83,0.31,2159,0.00,0.00,16,-12.62,-13.00,9.58,21.80,-2.01,0.64,0.00
23566,11.71,0.30,2157,0.00,0.00,16,-12.62,-13.00,9.58,22.06,-2.01,0.64,0.00
23745,11.71,0.30,2173,0.00,0.00,16,-12.62,-13.00,9.58,22.06,-2.32,0.64,0.00
23927,11.71,0.31,2176,0.00,0.00,16,-12.62,-13.00,9.58,22.31,-2.32,0.64,0.00
24109,11.60,0.30,2192,0.00,0.00,16,-12.97,-13.00,9.43,22.49,-2.32,0.64,0.00
24292,11.71,0.30,2210,0.00,0.00,16,-12.97,-13.00,9.43,21.98,-2.32,0.64,0.00
24473,11.83,0.30,2206,0.00,0.00,16,-12.62,-13.00,9.43,21.53,-2.32,0.64,0.00
24655,11.83,0.30,2223,0.00,0.00,16,-12.97,-13.00,9.43,22.31,-2.32,0.64,0.00
24838,11.83,0.30,2208,0.00,0.00,16,-12.97,-13.00,9.43,22.31,-2.32,0.64,0.00
25009,11.60,0.16,2237,0.00,0.00,16,14.10,14.00,5.95,7.57,-2.63,0.64,0.00
25196,14.36,0.11,1942,0.00,0.00,16,14.10,14.00,4.50,6.55,-2.01,0.64,0.00
25373,22.39,0.13,1825,0.00,0.00,16,14.10,14.00,3.92,8.61,-1.39,0.64,0.00
25560,23.31,0.16,1719,0.00,0.00,16,14.10,14.00,3.34,8.82,-1.39,0.64,0.00
25748,15.73,0.18,1486,0.00,0.00,16,14.10,14.00,3.48,8.65,-1.39,0.64,0.00
25920,14.36,0.21,1216,0.00,0.00,16,14.10,22.00,3.92,8.19,-1.39,0.64,0.00
26114,12.52,0.19,970,0.00,0.00,16,14.10,22.00,4.35,6.48,-1.08,0.64,0.00
26295,11.60,0.14,932,0.00,0.00,16,14.10,22.00,5.08,4.46,-1.08,0.64,0.00
26474,11.48,0.12,1016,0.00,0.00,16,14.10,12.50,5.22,4.35,-1.08,0.64,0.00
26659,11.25,0.13,1020,0.00,0.00,16,14.10,15.50,4.93,4.13,-1.08,0.64,0.00
26847,11.37,0.13,971,0.00,0.00,16,14.10,19.00,5.08,4.32,-1.08,0.64,0.00
27026,11.83,0.13,940,0.00,0.00,16,14.10,21.00,5.08,4.13,-1.08,0.64,0.00
27209,13.32,0.14,910,0.00,0.00,16,14.10,22.00,5.08,4.24,-1.08,0.64,0.00
27386,14.81,0.13,936,0.00,0.00,16,14.10,18.50,5.22,4.13,-1.08,0.64,0.00
27574,15.85,0.12,946,0.00,0.00,16,14.10,17.50,5.08,3.88,-1.08,0.64,0.00
27758,16.54,0.12,926,0.00,0.00,16,14.10,19.00,5.08,3.85,-1.08,0.64,0.00
27939,16.65,0.12,933,0.00,0.00,16,14.10,17.00,5.08,3.85,-1.08,0.64,0.00
28116,16.54,0.12,942,0.00,0.00,16,14.10,15.50,4.93,3.70,-1.08,0.64,0.00
28304,16.31,0.12,937,0.00,0.00,16,14.10,16.50,4.79,3.60,-1.08,0.64,0.00
28476,16.19,0.13,886,0.00,0.00,16,14.10,20.50,4.79,3.65,-1.08,0.64,0.00
28663,15.73,0.13,854,0.00,0.00,16,14.10,22.00,4.79,3.73,-1.08,0.64,0.00
28851,15.62,0.13,845,0.00,0.00,16,14.10,21.00,5.08,3.67,-1.08,0.64,0.00
29030,15.39,0.13,866,0.00,0.00,16,14.10,18.50,5.08,3.63,-1.08,0.64,0.00
29202,15.04,0.13,852,0.00,0.00,16,14.10,19.50,5.08,3.56,-1.08,0.64,0.00
29390,14.81,0.13,811,0.00,0.00,16,14.10,22.00,5.08,3.58,-1.08,0.64,0.00
29577,14.70,0.13,808,0.00,0.00,16,14.10,21.00,5.22,3.58,-1.08,0.64,0.00
29749,14.70,0.13,818,0.00,0.00,16,14.10,19.00,5.22,3.52,-1.08,0.64,0.00
29937,14.81,0.13,804,0.00,0.00,16,14.10,20.00,5.22,3.49,-1.08,0.64,0.00
30128,14.93,0.13,788,0.00,0.00,16,14.10,20.50,5.37,3.52,-1.08,0.64,0.00
30309,14.93,0.14,794,0.00,0.00,16,14.10,19.00,5.37,3.58,-1.08,0.64,0.00
30490,14.93,0.14,789,0.00,0.00,16,14.10,19.00,5.37,3.58,-1.08,0.64,0.00
30671,14.93,0.13,794,0.00,0.00,16,14.10,16.50,5.37,3.52,-1.08,0.64,0.00
30854,14.81,0.13,805,0.00,0.00,16,14.10,16.00,5.37,3.56,-1.08,0.64,0.00
31039,14.93,0.13,800,0.00,0.00,16,14.10,16.00,5.37,3.49,-1.08,0.64,0.00
31211,15.04,0.13,803,0.00,0.00,16,14.10,15.50,5.37,3.47,-1.08,0.64,0.00
31398,15.16,0.13,796,0.00,0.00,16,14.10,15.50,5.37,3.52,-1.08,0.64,0.00
31570,15.16,0.13,802,0.00,0.00,16,14.10,14.50,5.37,3.42,-1.08,0.64,0.00
31758,15.16,0.14,786,0.00,0.00,16,14.10,16.50,5.37,3.56,-1.08,0.64,0.00
31945,15.16,0.13,786,0.00,0.00,16,14.10,16.00,5.37,3.52,-1.08,0.64,0.00
34751,14.93,0.14,797,0.00,0.00,16,14.10,14.00,5.37,3.60,-1.08,0.64,0.00
34923,14.93,0.13,809,0.00,0.00,16,14.10,12.50,5.51,3.56,-1.08,0.64,0.00
35117,14.81,0.13,815,0.00,0.00,16,14.10,13.50,5.37,3.58,-1.08,0.64,0.00
35303,14.81,0.13,793,0.00,0.00,16,14.10,15.00,5.37,3.58,-1.08,0.64,0.00
35484,14.70,0.13,804,0.00,0.00,16,14.10,13.50,5.37,3.58,-1.08,0.64,0.00
35669,14.59,0.13,804,0.00,0.00,16,14.10,13.50,5.51,3.60,-1.08,0.64,0.00
35849,14.47,0.13,797,0.00,0.00,16,14.10,14.00,5.37,3.52,-1.08,0.64,0.00
36030,14.59,0.14,806,0.00,0.00,16,14.10,13.50,5.37,3.58,-1.08,0.64,0.00
36213,14.70,0.14,794,0.00,0.00,16,14.10,14.50,5.37,3.63,-1.08,0.64,0.00
36395,14.70,0.14,805,0.00,0.00,16,14.10,13.50,5.37,3.63,-1.08,0.64,0.00
36580,14.70,0.13,806,0.00,0.00,16,14.10,13.00,5.37,3.58,-1.08,0.64,0.00
36762,14.59,0.14,798,0.00,0.00,16,14.10,14.50,5.51,3.60,-1.08,0.64,0.00
36942,14.59,0.13,798,0.00,0.00,16,14.10,14.00,5.37,3.58,-1.08,0.64,0.00
37119,14.70,0.48,813,0.00,0.00,16,8.48,13.00,9.87,16.67,-1.08,1.66,30.59
37306,14.81,0.36,1381,0.00,0.00,16,26.76,26.00,14.51,10.12,0.15,0.64,0.00
37478,14.01,0.13,1916,0.00,0.00,16,21.48,20.00,6.96,3.40,-1.39,0.64,0.00
37666,13.44,0.07,1956,0.00,0.00,16,14.10,14.00,4.06,3.52,-1.39,0.64,0.00
37842,13.67,0.10,1645,0.00,0.00,16,14.10,14.00,3.34,5.40,-1.39,0.64,0.00
38038,14.70,0.11,1460,0.00,0.00,16,14.10,14.00,3.34,5.52,-1.39,0.64,0.00
38217,14.70,0.13,1312,0.00,0.00,16,14.10,22.00,3.48,5.46,-1.39,0.64,0.00
38399,14.81,0.15,1166,0.00,0.00,16,14.10,22.00,3.63,5.46,-1.08,0.64,0.00
38583,12.63,0.17,966,0.00,0.00,16,14.10,22.00,4.06,5.40,-1.08,0.64,0.00
38764,11.60,0.14,877,0.00,0.00,16,14.10,22.00,4.79,4.18,-1.08,0.64,0.00
38946,11.14,0.14,881,0.00,0.00,16,14.10,22.00,5.08,3.99,-1.08,0.64,0.00
39128,11.02,0.13,883,0.00,0.00,16,14.10,22.00,5.22,3.67,-1.08,0.64,0.00
39312,11.25,0.15,826,0.00,0.00,16,14.10,22.00,5.22,3.73,-1.08,0.64,0.00
39495,11.37,0.15,782,0.00,0.00,16,14.10,22.00,5.37,3.83,-1.08,0.64,0.00
39675,12.17,0.15,774,0.00,0.00,16,14.10,22.00,5.66,3.88,-1.08,0.64,0.00
39857,13.78,0.15,780,0.00,0.00,16,14.10,22.00,5.66,3.80,-1.08,0.64,0.00
40038,15.04,0.15,774,0.00,0.00,16,14.10,22.00,5.80,3.88,-1.08,0.64,0.00
40210,16.42,0.15,803,0.00,0.00,16,14.10,18.50,5.95,3.88,-1.08,0.64,0.00
40398,16.88,0.14,825,0.00,0.00,16,14.10,15.50,5.80,3.88,-1.08,0.64,0.00
40585,16.88,0.14,843,0.00,0.00,16,14.10,13.50,5.66,3.83,-1.08,0.64,0.00
40757,16.77,0.23,826,0.00,0.00,16,14.10,13.00,5.66,4.72,-1.08,0.80,4.71
40955,16.54,0.50,862,0.00,0.00,16,11.64,10.50,12.33,23.99,2.32,1.54,27.84
41132,15.50,0.38,1837,0.00,0.00,16,35.90,32.00,13.93,24.62,7.89,0.70,2.35
41319,14.93,0.26,2259,0.00,0.00,16,-12.97,-13.50,8.85,19.42,-2.63,0.64,0.00
41497,13.32,0.28,2144,0.00,0.00,16,-12.62,-13.00,8.85,20.05,-2.01,0.64,0.00
41678,12.52,0.29,2123,0.00,0.00,16,-12.27,-12.50,9.14,19.97,-2.01,0.64,0.00
41860,12.40,0.29,2100,0.00,0.00,16,-11.91,-12.50,9.29,19.81,-1.70,0.64,0.00
42039,12.40,0.26,2066,0.00,0.00,16,-11.91,-12.00,9.14,18.41,-1.70,0.64,0.00
42222,12.52,0.26,2028,0.00,0.00,16,-11.91,-12.00,9.00,16.58,-1.70,0.64,0.00
42406,12.29,0.16,2015,0.00,0.00,16,14.10,14.00,7.25,5.33,-1.70,0.64,0.00
42585,11.71,0.10,2054,0.00,0.00,16,14.10,14.00,4.21,5.40,-1.70,0.64,0.00
42771,11.37,0.15,1828,0.00,0.00,16,14.10,14.00,3.19,8.56,-1.39,0.64,0.00
42952,11.37,0.17,1478,0.00,0.00,16,14.10,14.00,3.34,8.19,-1.39,0.64,0.00
43139,11.37,0.21,1235,0.00,0.00,16,14.10,22.00,3.63,8.03,-1.39,0.64,0.00
43324,11.48,0.20,960,0.00,0.00,16,14.10,22.00,4.35,6.03,-1.08,0.64,0.00
43505,11.60,0.17,765,0.00,0.00,16,14.10,22.00,5.51,4.52,-1.08,0.64,0.00
43688,11.48,0.15,840,0.00,0.00,16,14.10,17.50,5.95,4.18,-1.08,0.64,0.00
43868,11.25,0.13,919,0.00,0.00,16,14.10,9.50,5.80,3.93,-1.08,0.64,0.00
44051,11.25,0.15,853,0.00,0.00,16,14.10,19.00,5.80,4.13,-1.08,0.64,0.00
44232,11.25,0.16,818,0.00,0.00,16,14.10,18.00,5.95,4.35,-1.08,0.64,0.00
44414,12.40,0.14,849,0.00,0.00,16,14.10,15.50,5.95,4.04,-1.08,0.64,0.00
44597,14.36,0.14,847,0.00,0.00,16,14.10,15.50,5.80,3.99,-1.08,0.64,0.00
44782,15.50,0.15,846,0.00,0.00,16,14.10,15.00,5.95,4.10,-1.08,0.64,0.00
44959,16.19,0.14,872,0.00,0.00,16,14.10,10.50,5.80,4.07,-1.08,0.64,0.00
45162,16.31,0.13,886,0.00,0.00,16,14.10,10.50,5.66,3.88,-1.08,0.64,0.00
45350,16.19,0.14,881,0.00,0.00,16,14.10,13.50,5.51,4.02,-1.08,0.64,0.00
45522,15.73,0.13,867,0.00,0.00,16,14.10,14.00,5.51,3.93,-1.08,0.64,0.00
45709,15.85,0.14,882,0.00,0.00,16,14.10,12.50,5.51,3.93,-1.08,0.64,0.00
45881,15.50,0.13,891,0.00,0.00,16,14.10,11.50,5.37,3.85,-1.08,0.64,0.00
46063,15.50,0.13,886,0.00,0.00,16,14.10,13.00,5.37,3.85,-1.08,0.64,0.00
46251,15.39,0.13,878,0.00,0.00,16,14.10,14.00,5.37,3.91,-1.08,0.64,0.00
46438,15.39,0.13,881,0.00,0.00,16,14.10,13.00,5.37,3.83,-1.08,0.64,0.00
46610,15.27,0.13,887,0.00,0.00,16,14.10,12.50,5.22,3.72,-1.08,0.64,0.00
46798,15.27,0.13,882,0.00,0.00,16,14.10,14.50,5.22,3.65,-1.08,0.64,0.00
46983,15.27,0.13,861,0.00,0.00,16,14.10,15.50,5.08,3.70,-1.08,0.64,0.00
47165,14.93,0.13,862,0.00,0.00,16,14.10,15.00,5.22,3.62,-1.08,0.64,0.00
47347,15.04,0.12,872,0.00,0.00,16,14.10,13.50,5.08,3.56,-1.08,0.64,0.00
47531,14.93,0.13,857,0.00,0.00,16,14.10,15.00,5.08,3.60,-1.08,0.64,0.00
47711,14.81,0.13,843,0.00,0.00,16,14.10,16.50,5.08,3.58,-1.08,0.64,0.00
47893,14.81,0.13,848,0.00,0.00,16,14.10,15.50,5.22,3.60,-1.08,0.64,0.00
48075,14.93,0.12,845,0.00,0.00,16,14.10,15.50,5.08,3.47,-1.08,0.64,0.00
48261,14.81,0.13,848,0.00,0.00,16,14.10,15.00,5.08,3.56,-1.08,0.64,0.00
48448,14.81,0.12,849,0.00,0.00,16,14.10,14.50,5.08,3.49,-1.08,0.64,0.00
48627,14.81,0.12,844,0.00,0.00,16,14.10,16.00,5.08,3.52,-1.08,0.64,0.00
48810,14.70,0.13,830,0.00,0.00,16,14.10,16.00,5.08,3.42,-1.08,0.64,0.00
48991,14.59,0.12,828,0.00,0.00,16,14.10,16.00,5.08,3.45,-1.08,0.64,0.00
49176,14.59,0.13,833,0.00,0.00,16,14.10,15.00,5.08,3.47,-1.08,0.64,0.00
49354,14.59,0.12,826,0.00,0.00,16,14.10,16.00,5.08,3.42,-1.08,0.64,0.00
49539,14.47,0.12,820,0.00,0.00,16,14.10,15.50,5.08,3.33,-1.08,0.64,0.00
49720,14.59,0.13,822,0.00,0.00,16,14.10,15.50,5.08,3.45,-1.08,0.64,0.00
49903,14.70,0.12,818,0.00,0.00,16,14.10,15.50,5.08,3.38,-1.08,0.64,0.00
50085,14.70,0.13,807,0.00,0.00,16,14.10,16.00,5.22,3.42,-1.08,0.64,0.00
50257,14.70,0.13,813,0.00,0.00,16,14.10,15.00,5.22,3.40,-1.08,0.64,0.00
50444,14.70,0.12,818,0.00,0.00,16,14.10,14.50,5.22,3.38,-1.08,0.64,0.00
