Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,14.70,183,0.62,2160,0.00,0.00,-0.049,16,22.41,-1.43,9.41
172,14.62,183,0.63,2157,0.00,0.00,-0.049,16,22.86,-1.43,9.41
344,14.27,183,0.63,2169,0.00,0.00,-0.049,16,22.42,-1.43,9.41
516,14.47,183,0.62,2161,0.00,0.00,-0.049,16,22.85,-1.45,9.41
688,14.70,183,0.62,2172,0.00,0.00,-0.049,16,22.43,-1.43,9.41
860,14.66,183,0.63,2176,0.00,0.00,-0.049,16,22.53,-1.43,9.41
1032,14.52,183,0.63,2192,0.00,0.00,-0.049,16,22.71,-1.45,9.41
1203,14.37,183,0.62,2194,0.00,0.00,-0.049,16,22.70,-1.45,9.41
1375,14.60,183,0.62,2193,0.00,0.00,-0.049,16,22.64,-1.45,9.02
1547,14.53,183,0.61,2196,0.00,0.00,-0.049,16,21.92,-1.45,8.63
1718,14.52,183,0.59,2214,0.00,0.00,-0.049,16,21.30,-1.45,8.24
1906,14.50,183,0.56,2218,0.00,0.00,-0.049,16,20.18,-1.45,8.24
2078,14.64,183,0.54,2220,0.00,0.00,-0.049,16,19.78,-1.47,7.84
2250,14.78,183,0.53,2226,0.00,0.00,-0.049,16,19.24,-1.47,7.84
2421,14.84,183,0.53,2211,0.00,0.00,-0.049,16,19.71,-1.47,7.84
2593,14.79,183,0.54,2228,0.00,0.00,-0.049,16,19.88,-1.47,7.84
2765,14.28,183,0.52,2207,0.00,0.00,-0.049,16,18.76,-1.47,7.06
2937,14.20,183,0.48,2212,0.00,0.00,-0.045,16,16.77,-1.45,6.27
3109,14.20,183,0.44,2211,0.00,0.00,-0.049,16,15.86,-1.45,5.88
3281,14.56,183,0.42,2234,0.00,0.00,-0.049,16,15.41,-1.45,5.49
3454,14.68,183,0.42,2231,0.00,0.00,-0.049,16,15.22,-1.45,5.49
3625,14.61,185,0.40,2218,0.00,0.00,-0.049,16,14.08,-1.47,5.49
3797,14.57,185,0.40,2204,0.00,0.00,-0.049,16,14.84,-1.47,5.49
3972,14.75,185,0.39,2209,0.00,0.00,-0.049,16,13.98,-1.45,3.53
4144,14.49,185,0.30,2200,0.00,0.00,-0.049,16,8.67,-1.45,2.75
4316,13.72,185,0.21,2160,0.00,0.00,-0.049,16,6.44,-1.45,1.57
4489,14.16,185,0.19,2190,0.00,0.00,-0.049,16,6.48,-1.45,1.57
4661,15.63,185,0.17,2162,0.00,0.00,-0.045,16,6.94,-1.43,1.57
4833,18.98,185,0.20,2176,0.00,0.00,-0.045,16,7.55,-1.43,1.57
5005,17.37,185,0.17,2168,0.00,0.00,-0.045,16,5.46,-1.43,1.57
5177,14.34,185,0.18,2143,0.00,0.00,-0.045,16,6.27,-1.41,1.57
5348,14.16,185,0.20,2128,0.00,0.00,-0.045,16,7.51,-1.41,1.57
5520,14.64,185,0.19,2121,0.00,0.00,-0.045,16,6.42,-1.41,1.57
5692,13.96,185,0.21,2122,0.00,0.00,-0.045,16,7.47,-1.39,1.96
5864,13.54,185,0.23,2100,0.00,0.00,-0.045,16,8.51,-1.39,3.53
6036,12.93,185,0.30,2090,0.00,0.00,-0.045,16,11.34,-1.39,4.31
6208,12.46,185,0.33,2093,0.00,0.00,-0.045,16,11.61,-1.37,5.10
6380,12.77,185,0.39,2081,0.00,0.00,-0.045,16,14.67,-1.37,6.67
6551,14.35,185,0.47,2079,0.00,0.00,-0.045,16,17.43,-1.39,7.45
6723,14.47,185,0.51,2089,0.00,0.00,-0.049,16,18.28,-1.39,7.45
6895,14.09,185,0.51,2095,0.00,0.00,-0.049,16,17.56,-1.39,7.45
7082,14.56,185,0.51,2081,0.00,0.00,-0.049,16,17.36,-1.37,7.06
7254,14.92,185,0.48,2073,0.00,0.00,-0.049,16,16.65,-1.37,6.67
7426,14.84,185,0.47,2105,0.00,0.00,-0.049,16,15.99,-1.39,5.49
7598,14.64,185,0.40,2084,0.00,0.00,-0.049,16,12.38,-1.39,3.92
7770,14.01,185,0.34,2073,0.00,0.00,-0.049,16,11.30,-1.37,2.75
7942,14.21,185,0.28,2068,0.00,0.00,-0.049,16,9.56,-1.37,1.96
8114,14.70,185,0.23,2067,0.00,0.00,-0.049,16,7.29,-1.39,1.96
8286,15.56,185,0.22,2071,0.00,0.00,-0.049,16,7.51,-1.37,1.96
8458,16.88,185,0.19,2068,0.00,0.00,-0.049,16,6.24,-1.35,1.96
8629,16.89,185,0.20,2059,0.00,0.00,-0.045,16,7.35,-1.35,1.96
8801,16.25,185,0.19,2034,0.00,0.00,-0.049,16,5.93,-1.35,0.78
8989,15.09,185,0.21,2031,0.00,0.00,-0.049,16,7.06,-1.35,0.78
9161,14.24,185,0.19,2010,0.00,0.00,-0.049,16,6.05,-1.33,0.78
9332,14.29,185,0.18,1988,0.00,0.00,-0.049,16,6.34,-1.31,0.39
9504,15.09,185,0.17,1979,0.00,0.00,-0.049,16,5.62,-1.31,0.00
9676,22.07,185,0.17,1974,0.00,0.00,-0.049,16,5.59,-1.31,0.00
9848,23.70,185,0.15,1950,0.00,0.00,-0.049,16,4.60,-1.31,0.00
10035,23.40,185,0.13,1918,0.00,0.00,-0.049,16,3.88,-1.30,0.00
10192,23.90,185,0.11,1915,0.00,0.00,-0.049,16,3.52,-1.28,0.00
10379,23.83,185,0.14,1915,0.00,0.00,-0.045,16,4.57,-1.28,0.00
10551,23.57,185,0.14,1874,0.00,0.00,-0.049,16,4.57,-1.28,0.00
10723,23.39,185,0.13,1865,0.00,0.00,-0.045,16,4.09,-1.26,0.00
10895,23.56,185,0.13,1858,0.00,0.00,-0.049,16,4.51,-1.24,0.00
11067,23.84,185,0.12,1831,0.00,0.00,-0.049,16,3.48,-1.24,0.00
11239,23.88,185,0.11,1827,0.00,0.00,-0.045,16,3.26,-1.22,0.00
11410,23.95,185,0.14,1794,0.00,0.00,-0.045,16,4.79,-1.20,0.00
11598,23.99,185,0.15,1800,0.00,0.00,-0.045,16,4.49,-1.20,0.00
11770,23.99,185,0.15,1782,0.00,0.00,-0.045,16,4.34,-1.20,0.00
11942,23.66,185,0.13,1777,0.00,0.00,-0.045,16,3.93,-1.20,0.00
12114,23.92,185,0.12,1752,0.00,0.00,-0.045,16,3.58,-1.20,0.00
12285,23.45,185,0.13,1740,0.00,0.00,-0.045,16,3.68,-1.18,0.00
12457,23.83,185,0.14,1716,0.00,0.00,-0.049,16,3.83,-1.16,0.00
12629,23.80,185,0.15,1710,0.00,0.00,-0.049,16,4.48,-1.16,0.00
12801,23.98,187,0.13,1710,0.00,0.00,-0.049,16,3.36,-1.16,0.00
12973,23.45,187,0.14,1670,0.00,0.00,-0.049,16,4.45,-1.14,0.00
13145,23.91,187,0.15,1676,0.00,0.00,-0.049,16,3.90,-1.14,0.00
13317,23.85,187,0.16,1647,0.00,0.00,-0.049,16,5.01,-1.12,0.00
13488,23.91,187,0.17,1638,0.00,0.00,-0.049,16,4.82,-1.12,0.00
13676,23.74,187,0.16,1616,0.00,0.00,-0.049,16,3.98,-1.10,0.00
13848,23.68,187,0.18,1612,0.00,0.00,-0.045,16,5.08,-1.10,0.00
14020,23.79,187,0.17,1599,0.00,0.00,-0.049,16,4.39,-1.10,0.00
14192,24.03,187,0.17,1582,0.00,0.00,-0.049,16,4.04,-1.08,0.00
14363,23.73,187,0.16,1566,0.00,0.00,-0.049,16,3.73,-1.08,0.00
14535,23.42,187,0.18,1550,0.00,0.00,-0.049,16,4.92,-1.08,0.00
14707,23.72,187,0.18,1549,0.00,0.00,-0.049,16,4.70,-1.08,0.00
14879,23.79,187,0.18,1536,0.00,0.00,-0.049,16,4.48,-1.08,0.00
15066,23.87,187,0.17,1516,0.00,0.00,-0.049,16,4.31,-1.08,0.00
15238,23.60,187,0.19,1501,0.00,0.00,-0.049,16,5.14,-1.08,0.00
15410,23.57,187,0.18,1495,0.00,0.00,-0.049,16,4.31,-1.08,0.00
15582,23.48,187,0.17,1476,0.00,0.00,-0.049,16,4.34,-1.08,0.00
15754,23.92,187,0.19,1458,0.00,0.00,-0.049,16,4.51,-1.08,0.00
15926,23.74,187,0.19,1452,0.00,0.00,-0.049,16,4.88,-1.08,0.00
16098,23.99,187,0.17,1442,0.00,0.00,-0.049,16,3.85,-1.08,0.00
16274,23.91,187,0.17,1428,0.00,0.00,-0.049,16,4.09,-1.08,0.00
16446,23.65,187,0.17,1398,0.00,0.00,-0.049,16,3.83,-1.08,0.00
16618,23.94,187,0.19,1386,0.00,0.00,-0.049,16,4.92,-1.08,0.39
16790,23.86,187,0.23,1386,0.00,0.00,-0.049,16,5.65,-1.08,0.78
16961,23.64,187,0.24,1356,0.00,0.00,-0.045,16,5.97,-1.08,0.78
17133,23.83,187,0.26,1343,0.00,0.00,-0.045,16,6.30,-1.08,0.78
17305,24.03,187,0.28,1344,0.00,0.00,-0.045,16,6.62,-1.08,0.78
17493,24.25,187,0.29,1319,0.00,0.00,-0.049,16,6.45,-1.08,1.57
17664,23.80,187,0.30,1314,0.00,0.00,-0.049,16,6.77,-1.08,1.96
17836,23.69,187,0.32,1302,0.00,0.00,-0.049,16,7.86,-1.08,2.75
18008,23.54,187,0.36,1307,0.00,0.00,-0.049,16,8.52,-1.08,2.75
18180,19.34,187,0.37,1284,0.00,0.00,-0.049,16,8.24,-1.08,2.75
18352,16.72,187,0.39,1294,0.00,0.00,-0.049,16,8.57,-1.08,2.75
18524,16.31,187,0.38,1313,0.00,0.00,-0.049,16,8.07,-1.08,1.96
18696,16.11,187,0.37,1303,0.00,0.00,-0.049,16,7.66,-1.08,1.96
18883,15.37,187,0.35,1305,0.00,0.00,-0.049,16,7.10,-1.08,1.96
19039,15.12,187,0.35,1314,0.00,0.00,-0.049,16,7.74,-1.08,1.96
