Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,13.55,0.13,832,0.00,0.00,16,14.10,22.00,4.50,3.58,-1.08,0.64
176,14.01,0.12,818,0.00,0.00,16,14.10,22.00,4.64,3.38,-1.08,0.64
364,14.36,0.13,801,0.00,0.00,16,14.10,22.00,4.79,3.40,-1.08,0.64
536,14.70,0.13,779,0.00,0.00,16,14.10,22.00,4.79,3.40,-1.08,0.64
707,15.27,0.13,774,0.00,0.00,16,14.10,22.00,4.93,3.38,-1.08,0.64
879,15.73,0.13,786,0.00,0.00,16,14.10,22.00,5.08,3.40,-1.08,0.64
1051,16.08,0.14,736,0.00,0.00,16,14.10,22.00,5.08,3.45,-1.08,0.64
1223,16.42,0.13,794,0.00,0.00,16,14.10,18.50,5.22,3.56,-1.08,0.64
1395,16.77,0.13,802,0.00,0.00,16,14.10,17.00,5.22,3.49,-1.08,0.64
1572,17.11,0.13,786,0.00,0.00,16,14.10,18.50,5.22,3.47,-1.08,0.64
1743,17.23,0.14,788,0.00,0.00,16,14.10,17.00,5.22,3.60,-1.08,0.64
1931,17.46,0.13,804,0.00,0.00,16,14.10,15.00,5.22,3.58,-1.08,0.64
2103,17.23,0.13,809,0.00,0.00,16,14.10,14.50,5.22,3.52,-1.08,0.64
2275,17.34,0.13,840,0.00,0.00,16,14.10,11.00,5.22,3.56,-1.08,0.70
2446,17.23,0.19,794,0.00,0.00,16,15.51,14.50,5.80,5.14,-1.08,0.70
2618,17.00,0.16,1007,0.00,0.00,16,16.91,15.50,6.24,5.40,-1.08,0.72
2790,15.39,0.16,1094,0.00,0.00,16,19.38,17.50,6.09,6.07,-1.08,0.74
2962,15.27,0.20,1133,0.00,0.00,16,21.48,21.00,6.53,7.37,-1.08,0.78
3149,15.39,0.21,1215,0.00,0.00,16,22.89,21.50,6.82,8.31,-1.08,0.78
3321,15.62,0.22,1239,0.00,0.00,16,25.00,23.00,7.25,9.26,-1.39,0.82
3493,15.27,0.24,1286,0.00,0.00,16,27.11,26.00,7.55,10.23,-1.39,0.82
3665,15.16,0.23,1405,0.00,0.00,16,27.46,27.00,7.69,10.94,-1.39,0.84
3841,14.93,0.23,1438,0.00,0.00,16,27.81,27.00,7.69,10.99,-1.39,0.84
4013,15.04,0.23,1441,0.00,0.00,16,27.81,27.00,7.69,11.09,-1.39,0.84
4190,15.04,0.24,1427,0.00,0.00,16,28.16,27.00,7.84,11.25,-1.39,0.84
4361,14.93,0.24,1405,0.00,0.00,16,27.81,27.00,7.98,10.94,-1.39,0.84
4533,14.81,0.23,1468,0.00,0.00,16,28.52,27.50,7.84,11.45,-1.39,0.84
4705,14.81,0.23,1551,0.00,0.00,16,28.87,28.50,7.69,11.71,-1.39,0.84
4893,15.16,0.22,1597,0.00,0.00,16,30.27,28.50,7.55,11.71,-1.39,0.84
5065,15.04,0.21,1698,0.00,0.00,16,31.33,31.00,7.40,11.71,-1.39,0.84
5236,14.81,0.22,1688,0.00,0.00,16,32.73,31.00,7.25,12.48,-1.39,0.86
5408,14.70,0.25,1788,0.00,0.00,16,34.49,33.00,7.55,14.73,-1.39,0.90
5580,14.70,0.27,1830,0.00,0.00,16,36.60,34.50,7.98,15.92,-1.39,0.96
5753,14.01,0.31,1943,0.00,0.00,16,38.71,38.00,9.29,19.65,-1.08,1.00
5925,13.44,0.30,2004,0.00,0.00,16,40.47,39.00,9.58,20.59,-0.15,1.00
6097,14.81,0.30,2136,0.00,0.00,16,41.88,41.00,9.72,21.53,-0.46,1.00
6284,14.59,0.25,2220,0.00,0.00,16,41.52,42.00,8.27,14.99,-2.01,0.84
6456,13.09,0.19,2264,0.00,0.00,16,33.09,40.50,6.24,12.04,-2.63,0.78
6628,13.32,0.14,2265,0.00,0.00,16,14.80,18.50,5.37,9.22,-2.63,0.74
6804,13.09,0.11,2218,0.00,0.00,16,9.18,9.50,4.50,8.23,-2.32,0.74
6975,13.21,0.12,2264,0.00,0.00,16,8.83,4.00,4.21,8.91,-2.63,0.74
7147,13.67,0.11,2216,0.00,0.00,16,12.34,11.50,4.21,8.65,-2.32,0.74
7319,14.01,0.13,2165,0.00,0.00,16,20.78,20.00,4.35,9.39,-2.32,0.78
7491,13.44,0.17,2198,0.00,0.00,16,32.73,21.00,5.37,10.49,-2.32,0.88
7678,13.44,0.25,2238,0.00,0.00,16,41.88,41.50,6.82,17.79,-2.32,0.94
7839,12.52,0.30,2278,0.00,0.00,16,43.63,43.00,8.71,22.50,-2.01,1.04
8027,13.21,0.34,2346,0.00,0.00,16,43.28,42.50,10.16,26.20,-0.15,1.06
8199,13.55,0.34,2480,0.00,0.00,16,43.63,43.00,10.59,28.09,0.15,1.08
8370,14.24,0.34,2603,0.00,0.00,16,42.93,42.50,10.59,29.82,-0.15,1.08
8542,14.01,0.34,2711,0.00,0.00,16,42.58,42.50,10.45,30.81,-0.77,1.08
