Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,14.45,190,0.33,3044,0.00,0.00,-0.052,16,17.11,-4.27,6.27
172,14.62,190,0.35,3050,0.00,0.00,-0.052,16,17.93,-4.29,6.27
344,15.14,190,0.37,3052,0.00,0.00,-0.052,16,18.69,-4.29,7.06
516,14.66,190,0.38,3061,0.00,0.00,-0.052,16,19.47,-4.29,7.84
688,14.66,190,0.41,3096,0.00,0.00,-0.052,16,21.14,-4.29,8.63
860,14.81,190,0.45,3098,0.00,0.00,-0.052,16,23.50,-4.31,9.80
1031,14.60,190,0.52,3117,0.00,0.00,-0.052,16,27.88,-4.31,11.37
1203,14.11,190,0.58,3131,0.00,0.00,-0.052,16,30.65,-4.31,12.16
1375,14.54,190,0.59,3182,0.00,0.00,-0.052,16,31.31,-4.33,12.16
1563,14.66,190,0.60,3220,0.00,0.00,-0.052,16,31.99,-4.35,12.16
1735,14.48,190,0.60,3241,0.00,0.00,-0.052,16,31.76,-4.37,12.16
1907,14.62,190,0.62,3295,0.00,0.00,-0.052,16,33.56,-4.31,12.55
2078,13.97,190,0.65,3350,0.00,0.00,-0.052,16,36.52,-3.42,13.33
2250,14.23,190,0.67,3381,0.00,0.00,-0.052,16,36.98,-2.84,13.73
2422,13.99,190,0.70,3409,0.00,0.00,-0.052,16,39.66,-2.40,14.51
2594,13.78,190,0.77,3475,0.00,0.00,-0.052,16,44.98,-1.04,15.69
2766,13.53,190,0.87,3524,0.00,0.00,-0.052,16,50.92,0.46,18.04
2938,12.41,190,0.97,3630,0.00,0.00,-0.052,16,58.59,2.28,19.22
3125,12.21,190,1.09,3691,0.00,0.00,-0.052,16,65.25,4.41,21.18
3297,11.82,189,1.27,3776,0.00,0.00,-0.052,16,79.05,6.42,23.92
3469,11.27,189,1.57,3954,0.00,0.00,-0.052,16,103.32,9.46,30.20
3641,11.27,189,2.01,4082,0.00,0.00,-0.052,16,130.31,13.77,39.22
3812,11.27,189,2.32,4288,0.00,0.00,-0.056,16,164.90,13.77,47.06
3984,11.27,189,2.38,4545,0.00,0.00,-0.056,16,181.19,15.26,75.69
4156,11.27,189,2.37,4735,0.00,0.00,-0.056,16,185.10,19.51,100.00
4328,11.27,189,2.39,4977,0.00,0.00,-0.056,16,201.62,20.46,100.00
4500,11.27,189,2.41,5154,0.00,0.00,-0.056,16,208.70,20.48,100.00
4687,11.27,189,2.38,5419,0.00,0.00,-0.059,16,213.56,20.36,100.00
4859,11.27,189,2.33,5597,0.00,0.00,-0.059,16,218.82,20.21,100.00
5031,11.27,189,2.26,5850,0.00,0.00,-0.059,16,220.85,19.26,100.00
5203,11.27,189,2.22,5933,0.00,0.00,-0.059,16,221.66,18.29,100.00
5375,11.27,189,2.16,6107,0.00,0.00,-0.059,16,223.28,17.87,100.00
5547,11.27,189,2.09,6399,0.00,0.00,-0.063,16,221.25,16.92,100.00
5719,11.27,189,2.05,6488,0.00,0.00,-0.063,16,222.87,16.40,100.00
5891,11.27,189,0.87,6602,0.00,0.00,-0.063,16,224.95,15.86,0.00
6078,11.85,189,0.65,6147,0.00,0.00,-0.063,16,73.42,-8.72,0.00
6250,15.50,189,0.48,5841,0.00,0.00,-0.063,16,53.59,-7.31,0.00
6422,23.87,189,0.50,5315,0.00,0.00,-0.063,16,40.49,-5.92,8.24
6594,14.10,187,0.96,5154,0.00,0.00,-0.059,16,84.06,4.29,21.96
6766,11.88,187,1.44,4532,0.00,0.00,-0.059,16,105.06,11.08,40.00
6937,11.27,187,2.06,4475,0.00,0.00,-0.059,16,152.45,13.96,53.73
7109,11.27,185,2.25,4857,0.00,0.00,-0.059,16,177.30,14.33,59.22
7281,11.27,185,2.26,4864,0.00,0.00,-0.059,16,180.48,14.50,60.39
7453,11.27,183,2.28,4902,0.00,0.00,-0.059,16,185.78,14.15,54.12
7640,11.27,183,2.24,5023,0.00,0.00,-0.059,16,186.87,13.57,43.53
7812,11.27,181,2.19,5092,0.00,0.00,-0.059,16,186.52,13.52,39.22
7984,11.27,181,0.93,5144,0.00,0.00,-0.059,16,175.53,8.93,10.59
8156,13.20,181,0.72,5013,0.00,0.00,-0.059,16,59.93,-5.72,0.00
8328,19.33,180,0.56,4604,0.00,0.00,-0.059,16,43.16,-4.89,0.00
8500,24.06,180,0.44,4322,0.00,0.00,-0.059,16,33.87,-4.72,0.00
8672,23.96,180,0.37,3866,0.00,0.00,-0.059,16,22.79,-4.60,0.00
8844,24.33,178,0.36,3480,0.00,0.00,-0.059,16,20.40,-4.45,0.00
9031,24.22,178,0.44,3255,0.00,0.00,-0.059,16,20.34,-4.33,8.24
9203,16.64,178,0.59,3506,0.00,0.00,-0.059,16,36.48,-4.47,10.59
9375,14.09,178,0.66,3772,0.00,0.00,-0.059,16,42.46,-4.56,11.76
9547,13.19,176,0.68,3750,0.00,0.00,-0.059,16,42.74,-4.52,12.55
9718,13.29,176,0.67,3832,0.00,0.00,-0.059,16,42.46,-4.37,11.76
9890,11.27,176,0.32,3738,0.00,0.00,-0.059,16,17.79,-4.54,0.00
10062,12.07,176,0.31,3838,0.00,0.00,-0.059,16,19.19,-4.58,0.00
10234,11.26,176,0.29,3702,0.00,0.00,-0.059,16,17.94,-4.54,0.00
10406,11.40,176,0.23,3386,0.00,0.00,-0.059,16,12.09,-4.41,0.00
10593,18.58,176,0.20,3144,0.00,0.00,-0.059,16,9.99,-4.31,0.00
10765,23.72,176,0.21,2780,0.00,0.00,-0.059,16,10.59,-4.08,0.00
10937,24.05,176,0.23,2460,0.00,0.00,-0.059,16,9.99,-2.67,1.96
11109,24.05,176,0.34,2375,0.00,0.00,-0.059,16,12.52,-1.55,7.45
11281,16.34,176,0.41,2854,0.00,0.00,-0.056,16,19.43,-4.22,8.63
11453,16.21,176,0.45,2811,0.00,0.00,-0.056,16,21.10,-4.12,9.02
11625,15.56,176,0.47,2776,0.00,0.00,-0.056,16,21.95,-4.06,9.02
11796,13.87,174,0.48,2788,0.00,0.00,-0.056,16,23.28,-4.12,6.27
11968,11.71,174,0.18,2762,0.00,0.00,-0.056,16,7.03,-4.10,0.00
12140,12.08,174,0.15,2770,0.00,0.00,-0.056,16,6.37,-4.04,0.00
12312,15.18,174,0.20,2763,0.00,0.00,-0.056,16,9.67,-3.94,0.00
12499,16.47,174,0.17,2753,0.00,0.00,-0.056,16,5.91,-3.85,0.00
12671,22.91,174,0.17,2749,0.00,0.00,-0.056,16,8.40,-3.85,0.00
12843,25.66,174,0.17,2708,0.00,0.00,-0.056,16,8.78,-3.73,0.00
13015,23.90,174,0.18,2700,0.00,0.00,-0.056,16,8.15,-3.65,0.00
13187,24.27,174,0.16,2682,0.00,0.00,-0.052,16,6.95,-3.60,0.00
13359,23.78,174,0.17,2674,0.00,0.00,-0.052,16,7.30,-3.65,0.00
