Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.70,0.15,1221,0.00,0.00,16,14.10,15.50,5.08,6.07,-1.39,0.64
187,14.59,0.15,1205,0.00,0.00,16,14.10,15.50,5.08,6.11,-1.39,0.64
359,14.70,0.15,1205,0.00,0.00,16,14.10,15.50,5.08,6.07,-1.39,0.64
547,14.59,0.15,1195,0.00,0.00,16,14.10,14.00,5.08,6.11,-1.39,0.64
719,14.59,0.15,1195,0.00,0.00,16,14.10,15.00,5.08,6.04,-1.08,0.64
891,14.70,0.15,1212,0.00,0.00,16,14.10,14.00,5.08,6.07,-1.39,0.64
1062,14.81,0.15,1199,0.00,0.00,16,14.10,15.50,5.22,6.11,-1.08,0.64
1234,14.81,0.16,1206,0.00,0.00,16,14.10,16.00,5.22,6.18,-1.08,0.64
1406,14.93,0.16,1192,0.00,0.00,16,14.10,16.00,5.37,6.37,-1.39,0.64
1578,15.04,0.16,1216,0.00,0.00,16,14.10,13.00,5.37,6.44,-1.39,0.64
1750,15.04,0.16,1221,0.00,0.00,16,14.10,13.00,5.37,6.40,-1.39,0.64
4553,14.13,0.16,1278,0.00,0.00,16,14.10,13.50,5.22,6.66,-1.39,0.68
4725,14.13,0.15,1233,0.00,0.00,16,15.16,14.00,5.08,5.65,-1.39,0.68
4897,14.13,0.15,1160,0.00,0.00,16,16.56,16.00,4.93,5.72,-1.39,0.70
5069,14.01,0.17,1137,0.00,0.00,16,18.67,18.00,5.37,6.44,-1.08,0.72
5241,13.67,0.20,1085,0.00,0.00,16,20.78,19.00,5.95,7.10,-1.08,0.74
5412,13.32,0.22,1114,0.00,0.00,16,23.59,23.00,6.38,7.98,-1.08,0.76
5615,13.32,0.21,1179,0.00,0.00,16,23.24,23.00,6.82,8.52,-1.08,0.76
5787,14.36,0.23,1202,0.00,0.00,16,24.65,24.50,7.11,9.09,-1.39,0.78
5959,15.27,0.23,1255,0.00,0.00,16,25.35,25.00,7.11,9.39,-1.39,0.78
