Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,13.55,0.21,2882,0.00,0.00,16,44.34,44.00,7.11,20.57,-4.25,0.88
172,13.44,0.22,2876,0.00,0.00,16,44.34,44.00,7.11,20.57,-4.25,0.88
344,13.32,0.22,2871,0.00,0.00,16,44.34,44.00,6.96,20.92,-4.25,0.86
516,12.98,0.19,2899,0.00,0.00,16,40.82,44.00,6.96,20.21,-4.25,0.86
688,13.21,0.21,2860,0.00,0.00,16,44.34,44.00,6.96,19.11,-4.25,0.86
859,13.32,0.18,2866,0.00,0.00,16,31.33,39.00,6.67,18.25,-4.25,0.78
1047,13.09,0.13,2861,0.00,0.00,16,-3.12,4.00,5.08,10.07,-4.25,0.64
1219,12.17,0.11,2849,0.00,0.00,16,-10.16,-10.50,4.21,10.23,-4.25,0.64
1391,15.16,0.12,2844,0.00,0.00,16,-10.16,-10.50,4.21,11.04,-4.25,0.64
1563,24.12,0.12,2855,0.00,0.00,16,-10.16,-10.50,4.21,11.14,-4.25,0.64
1734,24.81,0.12,2828,0.00,0.00,16,-10.16,-10.50,4.21,10.94,-4.25,0.64
1906,23.66,0.11,2814,0.00,0.00,16,-10.16,-10.50,4.21,10.98,-4.25,0.64
2078,23.89,0.12,2826,0.00,0.00,16,-10.16,-10.50,4.21,10.94,-4.25,0.64
2250,24.12,0.11,2822,0.00,0.00,16,-10.16,-10.50,4.21,10.58,-4.25,0.64
2440,24.23,0.12,2811,0.00,0.00,16,-10.16,-10.50,4.21,9.98,-4.25,0.64
2611,24.12,0.11,2787,0.00,0.00,16,-10.16,-10.50,4.21,9.83,-4.25,0.64
2783,23.89,0.11,2767,0.00,0.00,16,-10.16,-10.50,4.21,10.78,-4.25,0.64
2955,24.23,0.11,2754,0.00,0.00,16,-10.16,-10.50,4.06,10.17,-4.25,0.64
3127,24.12,0.11,2735,0.00,0.00,16,-10.16,-10.50,4.06,10.58,-4.25,0.64
3302,23.89,0.11,2737,0.00,0.00,16,-10.16,-10.50,4.06,10.33,-4.25,0.64
3474,23.89,0.11,2727,0.00,0.00,16,-10.16,-10.50,4.06,10.33,-4.25,0.64
3646,23.77,0.11,2708,0.00,0.00,16,-10.16,-10.50,4.06,7.71,-4.25,0.64
3834,23.89,0.11,2721,0.00,0.00,16,-10.16,-10.50,4.06,9.53,-3.94,0.64
4005,23.89,0.11,2719,0.00,0.00,16,-10.16,-10.50,4.06,9.99,-3.94,0.64
4177,23.77,0.10,2704,0.00,0.00,16,-10.16,-10.50,4.06,9.35,-3.94,0.64
4349,23.89,0.11,2706,0.00,0.00,16,-10.16,-10.50,4.06,10.17,-3.94,0.66
4525,23.77,0.13,2682,0.00,0.00,16,-9.45,-10.00,4.35,11.55,-3.94,0.70
4697,23.77,0.13,2681,0.00,0.00,16,-8.40,-8.50,4.50,11.82,-3.94,0.72
4869,21.13,0.15,2676,0.00,0.00,16,2.85,-4.00,4.79,12.15,-3.94,0.76
5040,15.50,0.17,2691,0.00,0.00,16,27.81,20.50,5.22,14.86,-3.94,0.82
5212,14.36,0.19,2700,0.00,0.00,16,41.17,36.00,5.80,17.26,-3.94,0.84
5384,14.01,0.23,2698,0.00,0.00,16,44.34,43.50,6.53,19.57,-3.94,0.88
5572,13.78,0.25,2691,0.00,0.00,16,44.34,44.00,7.25,21.80,-3.94,0.92
5743,14.01,0.27,2689,0.00,0.00,16,44.69,44.50,7.84,24.32,-3.94,0.96
5915,13.44,0.30,2700,0.00,0.00,16,43.63,43.50,8.56,26.41,-3.64,0.98
6087,13.67,0.31,2709,0.00,0.00,16,43.28,43.50,9.00,28.22,-3.04,1.00
6259,13.78,0.32,2737,0.00,0.00,16,43.28,43.00,9.29,28.54,-3.04,1.00
6431,13.55,0.32,2741,0.00,0.00,16,43.28,43.00,9.58,29.39,-3.04,1.00
6603,13.55,0.33,2751,0.00,0.00,16,42.93,42.50,9.58,30.40,-3.04,1.00
6778,13.44,0.32,2762,0.00,0.00,16,42.93,42.50,9.58,30.26,-3.04,1.00
6950,13.78,0.33,2767,0.00,0.00,16,42.93,42.50,9.72,29.83,-3.04,1.00
7122,13.67,0.33,2762,0.00,0.00,16,42.93,42.50,9.72,30.40,-3.04,1.00
7298,13.67,0.33,2770,0.00,0.00,16,42.93,42.50,9.72,29.51,-3.04,1.00
7485,13.78,0.33,2774,0.00,0.00,16,42.93,43.00,9.58,29.60,-3.35,1.00
7657,13.67,0.33,2786,0.00,0.00,16,42.58,42.50,9.87,31.05,-3.35,1.00
7829,13.67,0.35,2794,0.00,0.00,16,41.88,42.00,10.16,32.28,-2.73,1.02
8001,13.67,0.37,2821,0.00,0.00,16,40.82,40.50,10.59,34.58,-1.49,1.04
8173,13.78,0.38,2831,0.00,0.00,16,40.12,40.00,11.03,35.44,-1.49,1.06
8345,14.01,0.40,2821,0.00,0.00,16,39.06,38.50,11.32,37.79,-0.89,1.08
8523,14.01,0.41,2833,0.00,0.00,16,38.01,38.00,11.61,38.40,-0.89,1.08
8695,13.78,0.41,2864,0.00,0.00,16,38.71,37.50,11.75,39.20,-0.89,1.08
8867,14.01,0.42,2873,0.00,0.00,16,37.66,38.00,11.90,38.67,-0.89,1.08
9039,14.13,0.40,2864,0.00,0.00,16,39.06,38.50,11.75,38.40,-1.49,1.04
9211,14.24,0.38,2898,0.00,0.00,16,40.12,39.50,11.46,36.05,-2.11,1.04
9383,14.01,0.35,2883,0.00,0.00,16,41.88,41.50,11.03,33.15,-2.73,1.02
9570,14.47,0.35,2908,0.00,0.00,16,42.23,42.00,10.74,33.96,-2.73,1.02
9742,14.36,0.34,2904,0.00,0.00,16,42.58,42.50,10.59,32.73,-2.73,1.00
9914,14.36,0.33,2927,0.00,0.00,16,42.58,42.50,10.30,32.40,-3.35,1.00
10086,14.24,0.33,2916,0.00,0.00,16,42.93,42.50,10.16,32.06,-3.35,1.00
10261,14.47,0.33,2942,0.00,0.00,16,42.58,42.50,10.16,31.49,-3.35,1.00
10432,14.47,0.33,2928,0.00,0.00,16,42.58,42.50,10.16,31.50,-3.35,1.00
10604,14.13,0.32,2960,0.00,0.00,16,42.93,42.50,10.01,32.40,-2.73,1.00
10780,14.24,0.32,2946,0.00,0.00,16,43.28,42.50,10.01,32.29,-3.35,1.00
10952,14.01,0.31,2970,0.00,0.00,16,43.28,42.50,9.72,31.28,-3.35,0.98
11123,14.01,0.30,2975,0.00,0.00,16,43.63,43.50,9.43,29.71,-4.25,0.96
11295,14.13,0.28,2969,0.00,0.00,16,44.34,43.50,9.14,28.31,-4.25,0.94
11467,13.78,0.25,2984,0.00,0.00,16,44.34,44.00,8.56,25.59,-4.25,0.92
11654,13.67,0.25,2995,0.00,0.00,16,44.34,44.00,8.27,24.41,-4.25,0.92
11828,13.67,0.24,2978,0.00,0.00,16,44.34,44.00,7.98,24.51,-4.25,0.90
12000,13.21,0.23,2986,0.00,0.00,16,44.34,44.00,7.84,22.96,-4.25,0.90
12172,13.44,0.22,3010,0.00,0.00,16,44.34,44.00,7.69,21.00,-4.25,0.90
12344,13.44,0.22,2993,0.00,0.00,16,44.34,44.00,7.69,23.14,-4.25,0.90
12516,13.67,0.23,2997,0.00,0.00,16,44.34,44.00,7.69,22.14,-4.25,0.90
12687,13.90,0.22,2997,0.00,0.00,16,44.34,44.00,7.69,24.44,-4.25,0.90
12859,13.78,0.24,3024,0.00,0.00,16,44.34,44.00,7.69,23.25,-4.25,0.90
13047,13.55,0.23,3026,0.00,0.00,16,44.34,44.00,7.69,23.15,-4.25,0.90
13218,14.01,0.23,3013,0.00,0.00,16,44.34,44.00,7.69,22.96,-4.25,0.90
13390,13.55,0.23,3010,0.00,0.00,16,44.34,44.00,7.69,22.86,-4.25,0.90
13562,13.44,0.23,3035,0.00,0.00,16,44.34,44.00,7.69,23.34,-4.25,0.90
13734,13.32,0.23,3042,0.00,0.00,16,44.34,44.00,7.69,23.63,-4.25,0.92
13906,13.32,0.26,3044,0.00,0.00,16,44.34,44.00,7.84,25.40,-4.25,0.96
14078,13.32,0.31,3031,0.00,0.00,16,43.28,43.00,9.00,30.83,-2.73,1.04
14250,13.32,0.35,3045,0.00,0.00,16,41.88,42.00,9.87,35.31,-1.49,1.10
14426,13.55,0.39,3047,0.00,0.00,16,39.41,39.50,11.03,39.61,0.35,1.12
14598,13.67,0.43,3062,0.00,0.00,16,37.30,37.00,11.90,43.51,1.57,1.16
14770,13.44,0.46,3072,0.00,0.00,16,35.20,36.50,12.48,45.34,1.88,1.18
14957,13.44,0.47,3080,0.00,0.00,16,35.20,34.00,13.20,48.37,1.88,1.18
