Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.47,0.15,1352,0.00,0.00,16,14.10,16.50,5.22,6.88,-1.49,0.64
172,14.24,0.15,1361,0.00,0.00,16,14.10,15.50,5.22,6.84,-1.49,0.64
344,14.36,0.15,1367,0.00,0.00,16,14.10,15.50,5.22,6.81,-1.49,0.64
520,14.36,0.15,1366,0.00,0.00,16,14.10,15.50,5.08,6.84,-1.49,0.64
692,14.13,0.15,1351,0.00,0.00,16,14.10,16.50,5.22,6.84,-1.49,0.64
867,14.24,0.15,1366,0.00,0.00,16,14.10,15.50,5.22,6.84,-1.49,0.64
1044,14.36,0.15,1359,0.00,0.00,16,14.10,16.50,5.22,6.88,-1.49,0.64
1205,14.01,0.15,1356,0.00,0.00,16,14.10,16.50,5.08,6.88,-1.49,0.64
1392,14.13,0.15,1378,0.00,0.00,16,14.10,14.00,5.08,6.92,-1.49,0.64
1564,14.24,0.15,1359,0.00,0.00,16,14.10,16.50,5.22,6.84,-1.49,0.64
1736,14.13,0.15,1359,0.00,0.00,16,14.10,15.50,5.08,6.70,-1.49,0.64
1908,14.24,0.15,1348,0.00,0.00,16,14.10,19.00,5.08,6.70,-1.49,0.64
2079,14.36,0.15,1357,0.00,0.00,16,14.10,16.50,5.22,6.73,-1.49,0.64
2252,14.47,0.15,1368,0.00,0.00,16,14.10,17.00,5.08,6.77,-1.49,0.64
2424,14.36,0.15,1352,0.00,0.00,16,14.10,17.00,5.08,6.70,-1.49,0.64
2596,14.47,0.15,1359,0.00,0.00,16,14.10,16.50,5.08,6.84,-1.49,0.64
2768,14.47,0.15,1365,0.00,0.00,16,14.10,15.50,5.08,6.88,-1.49,0.64
2939,14.24,0.15,1349,0.00,0.00,16,14.10,17.00,5.22,6.84,-1.49,0.64
3119,14.36,0.15,1354,0.00,0.00,16,14.10,15.00,5.22,6.77,-1.49,0.64
3284,14.24,0.15,1359,0.00,0.00,16,14.10,16.00,5.08,6.77,-1.49,0.64
3503,14.01,0.15,1340,0.00,0.00,16,14.10,17.50,5.22,6.73,-1.49,0.64
3675,14.24,0.15,1361,0.00,0.00,16,14.10,17.00,5.22,6.70,-1.49,0.64
9619,14.47,0.15,1282,0.00,0.00,16,14.10,15.50,5.08,6.55,-1.49,0.64
9791,14.47,0.15,1339,0.00,0.00,16,14.10,16.50,5.08,6.62,-1.49,0.64
9963,14.36,0.15,1342,0.00,0.00,16,14.10,15.50,5.08,6.66,-1.49,0.64
10135,14.24,0.15,1403,0.00,0.00,16,14.10,16.00,5.08,6.62,-1.49,0.64
10307,14.36,0.15,1331,0.00,0.00,16,14.10,17.00,5.08,6.62,-1.49,0.64
10478,14.36,0.15,1347,0.00,0.00,16,14.10,15.50,5.08,6.59,-1.49,0.64
10651,14.24,0.15,1357,0.00,0.00,16,14.10,17.50,5.08,6.66,-1.49,0.64
10823,14.24,0.15,1335,0.00,0.00,16,14.10,16.50,5.08,6.66,-1.49,0.64
10997,14.24,0.15,1338,0.00,0.00,16,14.10,16.00,5.08,6.66,-1.49,0.64
11169,14.13,0.15,1341,0.00,0.00,16,14.10,16.00,5.08,6.70,-1.49,0.64
11340,14.24,0.15,1341,0.00,0.00,16,14.10,15.50,5.08,6.70,-1.49,0.64
11512,14.36,0.15,1331,0.00,0.00,16,14.10,16.50,5.08,6.55,-1.49,0.64
11688,14.13,0.15,1335,0.00,0.00,16,14.10,16.50,5.08,6.59,-1.49,0.64
17617,14.36,0.15,1326,0.00,0.00,16,14.10,16.00,5.08,6.48,-1.49,0.64
17804,14.36,0.15,1332,0.00,0.00,16,14.10,15.50,5.08,6.48,-1.49,0.64
17965,14.47,0.15,1334,0.00,0.00,16,14.10,15.50,5.08,6.48,-1.49,0.64
18137,14.36,0.15,1320,0.00,0.00,16,14.10,16.50,5.08,6.48,-1.49,0.64
18324,14.47,0.14,1326,0.00,0.00,16,14.10,15.50,5.08,6.40,-1.49,0.64
18496,14.47,0.15,1318,0.00,0.00,16,14.10,16.50,5.08,6.51,-1.49,0.64
18668,14.47,0.14,1323,0.00,0.00,16,14.10,16.00,5.08,6.48,-1.49,0.64
18840,14.36,0.15,1336,0.00,0.00,16,14.10,16.50,5.08,6.55,-1.49,0.64
19017,14.47,0.15,1334,0.00,0.00,16,14.10,14.00,5.08,6.51,-1.49,0.64
19193,14.36,0.15,1323,0.00,0.00,16,14.10,16.50,5.08,6.48,-1.49,0.64
19350,14.13,0.15,1322,0.00,0.00,16,14.10,16.00,5.08,6.48,-1.49,0.64
19538,14.13,0.15,1326,0.00,0.00,16,14.10,15.50,5.08,6.51,-1.49,0.64
24110,14.36,0.15,1327,0.00,0.00,16,14.10,15.00,5.08,6.48,-1.49,0.64
24282,14.36,0.15,1320,0.00,0.00,16,14.10,15.50,5.08,6.40,-1.49,0.64
24458,14.36,0.15,1328,0.00,0.00,16,14.10,16.50,5.08,6.48,-1.49,0.64
24634,14.24,0.15,1316,0.00,0.00,16,14.10,16.00,5.08,6.40,-1.49,0.64
24806,14.01,0.15,1312,0.00,0.00,16,14.10,16.50,5.08,6.44,-1.49,0.64
24990,14.01,0.15,1308,0.00,0.00,16,14.10,16.50,5.08,6.44,-1.49,0.64
25162,14.13,0.15,1312,0.00,0.00,16,14.10,16.50,5.08,6.44,-1.49,0.64
25334,14.36,0.15,1323,0.00,0.00,16,14.10,15.00,5.08,6.40,-1.49,0.64
25506,14.36,0.15,1312,0.00,0.00,16,14.10,16.50,5.08,6.48,-1.49,0.64
25678,14.24,0.15,1300,0.00,0.00,16,14.10,17.00,5.08,6.40,-1.49,0.64
25849,14.36,0.15,1304,0.00,0.00,16,14.10,16.50,5.08,6.33,-1.49,0.64
26021,14.47,0.15,1294,0.00,0.00,16,14.10,17.00,5.08,6.40,-1.49,0.64
26210,14.59,0.15,1297,0.00,0.00,16,14.10,16.50,5.08,6.40,-1.49,0.64
26381,14.59,0.15,1300,0.00,0.00,16,14.10,15.50,5.08,6.44,-1.49,0.64
26553,14.59,0.15,1319,0.00,0.00,16,14.10,14.00,5.08,6.40,-1.49,0.64
26725,14.36,0.15,1309,0.00,0.00,16,14.10,15.50,5.08,6.44,-1.49,0.64
26897,14.47,0.15,1304,0.00,0.00,16,14.10,15.50,5.08,6.40,-1.49,0.64
27069,14.36,0.14,1306,0.00,0.00,16,14.10,15.50,5.08,6.33,-1.49,0.64
27241,14.36,0.14,1304,0.00,0.00,16,14.10,16.00,5.08,6.33,-1.49,0.64
30225,14.24,0.15,1310,0.00,0.00,16,14.10,16.00,5.08,6.33,-1.49,0.64
30397,14.36,0.15,1319,0.00,0.00,16,14.10,14.00,5.08,6.44,-1.49,0.64
30569,14.36,0.15,1302,0.00,0.00,16,14.10,16.50,4.93,6.40,-1.49,0.64
30756,14.13,0.14,1305,0.00,0.00,16,14.10,16.00,5.08,6.29,-1.49,0.64
30916,14.13,0.15,1308,0.00,0.00,16,14.10,15.50,4.93,6.26,-1.49,0.64
31103,14.36,0.15,1317,0.00,0.00,16,14.10,14.50,4.93,6.33,-1.49,0.64
31275,14.47,0.15,1314,0.00,0.00,16,14.10,14.00,4.93,6.40,-1.49,0.64
31447,14.47,0.15,1310,0.00,0.00,16,14.10,15.50,4.93,6.33,-1.49,0.64
31619,14.36,0.15,1306,0.00,0.00,16,14.10,16.00,4.93,6.37,-1.49,0.64
31790,14.24,0.15,1311,0.00,0.00,16,14.10,15.50,4.93,6.33,-1.49,0.64
31962,14.36,0.15,1300,0.00,0.00,16,14.10,16.50,4.93,6.40,-1.49,0.64
32134,14.24,0.15,1302,0.00,0.00,16,14.10,15.50,4.93,6.29,-1.49,0.64
32322,14.36,0.14,1310,0.00,0.00,16,14.10,15.50,4.93,6.29,-1.49,0.64
32493,14.47,0.15,1310,0.00,0.00,16,14.10,15.50,4.93,6.33,-1.49,0.64
32666,14.47,0.14,1308,0.00,0.00,16,14.10,15.00,4.93,6.26,-1.49,0.64
32837,14.47,0.14,1315,0.00,0.00,16,14.10,15.00,4.93,6.26,-1.49,0.64
33009,14.24,0.14,1304,0.00,0.00,16,14.10,16.00,4.93,6.29,-1.49,0.64
33181,14.47,0.14,1305,0.00,0.00,16,14.10,16.50,4.93,6.26,-1.49,0.64
33353,14.47,0.15,1297,0.00,0.00,16,14.10,16.50,4.93,6.37,-1.49,0.64
33525,14.36,0.15,1307,0.00,0.00,16,14.10,15.50,4.93,6.29,-1.49,0.64
33713,14.24,0.15,1289,0.00,0.00,16,14.10,15.50,4.93,6.29,-1.49,0.64
33874,14.24,0.15,1304,0.00,0.00,16,14.10,15.50,4.93,6.29,-1.49,0.64
34062,14.24,0.14,1314,0.00,0.00,16,14.10,14.00,4.93,6.26,-1.49,0.64
34233,14.36,0.15,1304,0.00,0.00,16,14.10,15.50,4.93,6.33,-1.49,0.64
34405,14.13,0.14,1302,0.00,0.00,16,14.10,15.50,4.93,6.33,-1.49,0.64
34579,14.13,0.15,1288,0.00,0.00,16,14.10,17.50,4.93,6.29,-1.49,0.64
34751,14.36,0.14,1289,0.00,0.00,16,14.10,15.50,4.93,6.22,-1.49,0.64
34923,14.47,0.15,1294,0.00,0.00,16,14.10,16.00,4.93,6.29,-1.49,0.64
35095,14.36,0.14,1305,0.00,0.00,16,14.10,15.00,4.93,6.22,-1.49,0.64
37934,14.24,0.14,1283,0.00,0.00,16,14.10,16.50,4.93,6.07,-1.49,0.64
38107,14.47,0.14,1301,0.00,0.00,16,14.10,14.00,4.93,6.18,-1.49,0.64
38279,14.47,0.14,1287,0.00,0.00,16,14.10,15.00,4.93,6.26,-1.49,0.64
38451,14.59,0.14,1294,0.00,0.00,16,14.10,15.50,4.93,6.22,-1.49,0.64
38623,14.47,0.14,1300,0.00,0.00,16,14.10,14.50,4.93,6.11,-1.49,0.64
38810,14.36,0.15,1290,0.00,0.00,16,14.10,16.00,4.93,6.15,-1.49,0.64
38982,14.47,0.14,1291,0.00,0.00,16,14.10,15.00,4.93,6.18,-1.49,0.64
39154,14.47,0.15,1290,0.00,0.00,16,14.10,16.50,4.93,6.18,-1.49,0.64
39330,14.36,0.14,1279,0.00,0.00,16,14.10,16.50,4.93,6.18,-1.49,0.64
39502,14.24,0.15,1288,0.00,0.00,16,14.10,15.50,4.93,6.26,-1.49,0.64
39674,14.36,0.14,1287,0.00,0.00,16,14.10,15.50,4.93,6.26,-1.49,0.64
39846,14.36,0.14,1293,0.00,0.00,16,14.10,15.50,4.93,6.22,-1.49,0.64
40018,14.24,0.14,1296,0.00,0.00,16,14.10,15.00,4.93,6.22,-1.49,0.64
40190,14.13,0.15,1287,0.00,0.00,16,14.10,15.50,4.93,6.26,-1.49,0.64
40362,14.24,0.14,1311,0.00,0.00,16,14.10,13.50,4.93,6.22,-1.49,0.64
40534,14.24,0.14,1296,0.00,0.00,16,14.10,15.50,4.93,6.22,-1.49,0.64
40721,14.24,0.15,1282,0.00,0.00,16,14.10,16.50,4.93,6.22,-1.49,0.64
40893,14.36,0.15,1289,0.00,0.00,16,14.10,15.50,4.93,6.29,-1.49,0.64
41065,14.24,0.14,1291,0.00,0.00,16,14.10,15.50,4.93,6.22,-1.49,0.64
41237,14.24,0.14,1298,0.00,0.00,16,14.10,16.50,4.93,6.26,-1.49,0.64
41409,14.24,0.15,1286,0.00,0.00,16,14.10,16.00,4.93,6.26,-1.49,0.64
41585,14.24,0.15,1218,0.00,0.00,16,14.10,16.50,4.93,6.29,-1.49,0.64
41757,14.24,0.14,1282,0.00,0.00,16,14.10,15.50,4.93,6.07,-1.49,0.64
41929,14.13,0.15,1268,0.00,0.00,16,14.10,17.50,4.93,6.29,-1.49,0.64
42101,14.47,0.14,1298,0.00,0.00,16,14.10,14.00,4.93,6.18,-1.49,0.64
42273,14.47,0.15,1282,0.00,0.00,16,14.10,15.50,4.93,6.22,-1.49,0.64
42445,14.36,0.14,1283,0.00,0.00,16,14.10,15.50,4.93,6.18,-1.49,0.64
42618,14.24,0.14,1277,0.00,0.00,16,14.10,16.50,4.93,6.11,-1.49,0.64
42790,14.36,0.14,1288,0.00,0.00,16,14.10,15.50,4.93,6.18,-1.49,0.64
42966,14.36,0.14,1297,0.00,0.00,16,14.10,14.00,4.93,6.18,-1.49,0.64
45654,14.24,0.15,1262,0.00,0.00,16,14.10,16.00,4.93,6.26,-1.49,0.64
45841,14.24,0.15,1270,0.00,0.00,16,14.10,17.50,4.93,6.18,-1.49,0.64
46013,14.36,0.15,1272,0.00,0.00,16,14.10,13.50,4.93,6.22,-1.49,0.64
46185,14.36,0.15,1257,0.00,0.00,16,14.10,16.50,4.93,6.11,-1.49,0.64
46357,14.36,0.15,1255,0.00,0.00,16,14.10,15.50,4.93,6.18,-1.49,0.64
46529,14.24,0.15,1254,0.00,0.00,16,14.10,16.50,4.93,6.15,-1.49,0.64
