Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,14.52,192,0.62,2652,0.00,0.00,-0.049,16,27.09,-3.46,10.98
172,14.57,192,0.63,2672,0.00,0.00,-0.049,16,28.58,-3.71,11.76
344,15.12,192,0.68,2750,0.00,0.00,-0.049,16,31.84,-3.94,12.16
516,14.11,192,0.71,2804,0.00,-0.70,-0.049,16,33.78,-3.54,12.94
703,13.94,192,0.72,2840,0.00,-0.70,-0.049,16,35.12,-3.25,13.33
875,13.82,192,0.73,2925,0.00,-0.70,-0.049,16,34.49,-3.29,13.33
1047,13.78,192,0.74,2978,0.00,-0.70,-0.049,16,37.23,-3.00,13.73
1218,13.78,192,0.74,3036,0.00,-0.70,-0.049,16,37.23,-2.88,13.73
1390,13.63,192,0.75,3110,0.00,-0.70,-0.049,16,38.85,-2.75,13.73
1562,13.50,192,0.74,3163,0.00,-0.70,-0.049,16,39.25,-2.92,13.73
1734,13.63,192,0.73,3212,0.00,-0.70,-0.049,16,38.85,-3.25,13.33
1910,13.34,192,0.70,3301,0.00,-0.70,-0.049,16,39.25,-3.71,11.37
2086,12.83,192,0.56,3366,0.00,0.00,-0.049,16,30.85,-4.41,10.20
2258,14.46,192,0.49,3366,0.00,0.00,-0.052,16,27.31,-4.43,9.41
2435,15.04,192,0.45,3404,0.00,0.00,-0.049,16,25.73,-4.43,8.63
2606,14.76,192,0.42,3453,0.00,0.00,-0.049,16,24.49,-4.43,8.24
2778,14.49,192,0.41,3462,0.00,0.00,-0.049,16,23.86,-4.45,8.63
2954,14.66,192,0.44,3518,0.00,0.00,-0.049,16,26.64,-4.45,9.80
3125,15.07,192,0.50,3519,0.00,0.00,-0.049,16,28.85,-4.47,10.98
3297,14.14,192,0.52,3575,0.00,0.00,-0.049,16,30.83,-4.49,11.37
3469,14.64,192,0.53,3616,0.00,0.00,-0.049,16,31.57,-4.51,11.37
3641,14.30,192,0.53,3646,0.00,0.00,-0.049,16,32.46,-4.52,11.37
3813,14.52,192,0.54,3691,0.00,0.00,-0.049,16,32.81,-4.52,11.37
3985,13.87,192,0.55,3716,0.00,0.00,-0.052,16,34.45,-4.54,11.76
4157,14.11,192,0.54,3702,0.00,0.00,-0.049,16,33.24,-4.56,12.16
4329,14.45,192,0.59,3792,0.00,0.00,-0.049,16,36.98,-4.04,12.94
4516,14.21,192,0.68,3832,0.00,0.00,-0.052,16,43.72,-2.38,14.90
4688,13.65,192,0.85,3868,0.00,0.00,-0.052,16,52.78,2.40,18.82
4860,12.42,192,1.12,3962,0.00,0.00,-0.052,16,73.04,8.14,27.84
5032,11.55,192,1.51,4054,0.00,0.00,-0.052,16,96.66,13.77,39.61
5204,11.27,192,2.03,4242,0.00,0.00,-0.052,16,137.19,13.77,45.88
5375,11.27,190,2.36,4430,0.00,0.00,-0.052,16,176.94,13.77,47.84
5547,11.27,192,2.34,4641,0.00,0.00,-0.052,16,181.19,13.92,52.94
5719,11.27,190,2.32,4886,0.00,0.00,-0.052,16,188.00,14.31,59.22
5891,11.27,190,2.32,5067,0.00,0.00,-0.056,16,195.19,14.85,68.24
6078,11.27,190,2.31,5282,0.00,0.00,-0.056,16,205.46,15.12,73.73
6250,11.27,190,2.27,5494,0.00,0.00,-0.056,16,211.53,14.83,73.73
6422,11.27,190,2.24,5686,0.00,0.00,-0.056,16,212.75,14.62,73.73
6594,11.27,190,2.21,5928,0.00,0.00,-0.056,16,217.20,14.27,73.33
6766,11.27,190,2.17,6132,0.00,0.00,-0.059,16,220.44,13.88,72.94
6938,11.27,190,2.11,6214,0.00,0.00,-0.059,16,219.63,13.59,72.55
7110,11.27,190,2.05,6443,0.00,0.00,-0.059,16,221.66,13.21,71.37
7281,11.27,190,2.00,6590,0.00,0.00,-0.059,16,219.63,12.94,61.96
7453,11.32,190,0.61,6465,0.00,0.00,-0.059,16,162.12,-9.38,0.00
7641,14.46,190,0.53,5901,0.00,0.00,-0.059,16,53.25,-8.04,0.00
7813,24.04,190,0.45,5293,0.00,0.00,-0.059,16,39.51,-6.75,0.00
7985,23.82,189,0.43,4879,0.00,0.00,-0.059,16,33.39,-5.18,4.71
8156,17.34,189,0.98,4826,0.00,0.00,-0.056,16,64.34,8.20,25.49
8328,11.51,189,1.47,4446,0.00,0.00,-0.056,16,109.54,10.71,35.69
8500,11.27,187,2.01,4578,0.00,0.00,-0.056,16,148.14,13.77,43.92
8672,11.27,187,2.17,4738,0.00,0.00,-0.056,16,172.70,13.77,48.63
8844,11.27,185,2.23,4783,0.00,0.00,-0.056,16,175.88,13.79,52.16
9016,11.27,185,2.26,4924,0.00,0.00,-0.056,16,185.78,13.86,53.33
9203,11.27,183,2.28,4967,0.00,0.00,-0.056,16,188.38,13.81,53.33
9375,11.27,183,2.28,5054,0.00,0.00,-0.056,16,193.68,13.67,51.76
9563,11.27,181,2.04,5123,0.00,0.00,-0.056,16,191.03,13.48,27.45
9734,11.27,181,0.84,5208,0.00,0.00,-0.056,16,103.32,-5.99,1.96
9906,11.99,180,0.54,5151,0.00,0.00,-0.056,16,49.22,-6.32,0.00
10078,11.29,180,0.47,5126,0.00,0.00,-0.056,16,40.21,-6.19,0.00
10250,13.96,180,0.42,5074,0.00,0.00,-0.056,16,35.36,-5.80,0.00
10422,20.77,180,0.37,5047,0.00,0.00,-0.056,16,31.98,-5.70,0.00
10594,23.74,178,0.32,4977,0.00,0.00,-0.052,16,28.33,-5.55,0.00
10781,23.63,178,0.30,4963,0.00,0.00,-0.052,16,24.72,-5.53,0.00
10953,23.92,178,0.28,4889,0.00,0.00,-0.052,16,23.54,-5.28,0.00
11125,24.29,176,0.27,4851,0.00,0.00,-0.052,16,22.07,-4.95,0.00
11297,23.69,176,0.21,4394,0.00,0.00,-0.052,16,20.22,-4.80,0.00
11469,24.02,176,0.27,4105,0.00,0.00,-0.052,16,18.96,-4.62,0.00
11641,23.52,176,0.22,3678,0.00,0.00,-0.052,16,13.76,-4.52,0.00
11812,24.24,176,0.21,3304,0.00,0.00,-0.052,16,12.09,-4.39,0.00
11984,23.57,176,0.21,3060,0.00,0.00,-0.052,16,10.05,-4.25,0.00
12156,24.28,176,0.18,2696,0.00,0.00,-0.049,16,8.16,-3.67,0.00
12344,24.27,174,0.19,2377,0.00,0.00,-0.049,16,8.15,-1.55,0.00
12516,23.69,174,0.22,2162,0.00,0.00,-0.049,16,7.62,-1.37,0.39
12687,23.95,174,0.36,1878,0.00,0.00,-0.049,16,12.48,-1.26,7.84
12859,20.38,174,0.52,2020,0.00,0.00,-0.052,16,18.57,-1.33,8.24
13031,16.09,174,0.52,2286,0.00,0.00,-0.052,16,19.90,-2.94,8.63
13203,15.95,174,0.51,2597,0.00,0.00,-0.049,16,21.89,-3.17,9.02
13375,15.35,174,0.51,2622,0.00,0.00,-0.049,16,22.65,-3.35,9.02
13547,14.16,174,0.52,2630,0.00,0.00,-0.052,16,22.88,-3.38,9.02
13719,13.48,174,0.52,2614,0.00,0.00,-0.052,16,22.94,-3.27,8.24
13890,13.09,174,0.37,2616,0.00,0.00,-0.052,16,14.03,-3.27,3.14
14062,12.30,174,0.25,2612,0.00,0.00,-0.052,16,10.06,-3.17,2.75
14250,14.23,174,0.24,2586,0.00,0.00,-0.052,16,10.30,-3.13,2.35
14422,14.78,174,0.22,2584,0.00,0.00,-0.052,16,9.08,-3.11,2.35
14594,15.34,174,0.24,2572,0.00,0.00,-0.052,16,10.75,-3.06,2.35
14765,14.79,174,0.25,2591,0.00,0.00,-0.052,16,10.68,-3.15,2.35
14937,13.34,174,0.22,2578,0.00,0.00,-0.052,16,10.51,-2.96,2.35
15109,13.63,174,0.23,2583,0.00,0.00,-0.052,16,9.39,-3.11,2.35
15281,15.69,174,0.23,2515,0.00,0.00,-0.052,16,9.96,-2.84,2.35
15453,16.16,174,0.24,2539,0.00,0.00,-0.052,16,10.49,-2.98,2.35
15625,14.51,174,0.23,2547,0.00,0.00,-0.052,16,9.89,-2.94,2.35
15812,13.08,174,0.24,2536,0.00,0.00,-0.052,16,10.87,-2.90,2.35
15984,13.73,174,0.22,2531,0.00,0.00,-0.052,16,9.54,-2.90,2.75
16156,14.84,174,0.22,2512,0.00,0.00,-0.052,16,9.53,-2.82,2.35
16328,15.99,174,0.23,2540,0.00,0.00,-0.052,16,9.26,-2.86,2.75
16500,15.41,174,0.24,2507,0.00,0.00,-0.052,16,10.13,-2.92,2.75
16672,13.82,174,0.23,2505,0.00,0.00,-0.052,16,9.74,-2.80,2.75
16843,13.09,174,0.24,2515,0.00,0.00,-0.052,16,10.51,-2.78,2.75
17015,14.60,174,0.23,2499,0.00,0.00,-0.052,16,9.15,-2.86,2.75
17187,14.74,174,0.25,2494,0.00,0.00,-0.052,16,10.49,-2.78,2.75
17374,15.28,174,0.23,2482,0.00,0.00,-0.052,16,9.77,-2.75,2.75
17546,14.66,174,0.24,2502,0.00,0.00,-0.052,16,10.35,-2.73,2.75
17718,14.66,174,0.23,2486,0.00,0.00,-0.052,16,10.08,-2.75,2.75
17890,14.62,174,0.24,2473,0.00,0.00,-0.052,16,9.19,-2.75,3.14
18062,14.74,174,0.24,2486,0.00,0.00,-0.052,16,9.38,-2.69,3.14
18234,14.15,174,0.23,2491,0.00,0.00,-0.052,16,9.53,-2.77,3.14
18405,14.48,174,0.23,2465,0.00,0.00,-0.049,16,9.94,-2.80,3.14
18581,15.23,174,0.24,2478,0.00,0.00,-0.049,16,9.44,-2.73,3.14
18752,15.27,174,0.25,2466,0.00,0.00,-0.049,16,10.49,-2.69,3.14
18924,14.69,174,0.24,2478,0.00,0.00,-0.049,16,9.40,-2.71,3.53
19100,14.17,174,0.25,2491,0.00,0.00,-0.045,16,10.04,-2.77,3.53
19276,13.80,174,0.24,2463,0.00,0.00,-0.045,16,9.94,-2.73,3.53
19448,14.52,174,0.23,2470,0.00,0.00,-0.045,16,9.40,-2.71,3.53
19620,14.80,174,0.22,2486,0.00,0.00,-0.045,16,8.11,-2.67,3.53
