Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,14.95,77,0.26,1416,0.00,0.00,-0.052,16,6.04,-1.08,0.00
172,14.92,77,0.25,1427,0.00,0.00,-0.052,16,6.01,-1.08,0.00
344,14.81,77,0.25,1428,0.00,0.00,-0.052,16,5.91,-1.08,0.00
516,14.62,77,0.24,1440,0.00,0.00,-0.052,16,5.78,-1.08,0.00
688,14.46,77,0.24,1430,0.00,0.00,-0.052,16,5.69,-1.08,0.00
860,14.39,77,0.24,1424,0.00,0.00,-0.052,16,5.59,-1.08,0.00
1032,14.50,77,0.24,1405,0.00,0.00,-0.052,16,5.62,-1.08,0.00
1207,14.49,77,0.25,1391,0.00,0.00,-0.052,16,5.78,-1.08,0.00
1379,14.46,77,0.25,1393,0.00,0.00,-0.052,16,5.94,-1.08,0.00
1550,14.73,77,0.26,1392,0.00,0.00,-0.052,16,6.15,-1.08,0.00
1738,14.84,77,0.26,1402,0.00,0.00,-0.052,16,6.23,-1.08,0.00
1910,14.98,77,0.26,1412,0.00,0.00,-0.052,16,6.19,-1.08,0.00
2082,14.93,77,0.26,1424,0.00,0.00,-0.052,16,6.08,-1.08,0.00
2254,14.84,77,0.25,1435,0.00,0.00,-0.052,16,6.04,-1.08,0.00
2425,14.79,77,0.25,1438,0.00,0.00,-0.052,16,5.94,-1.08,0.00
2597,14.68,77,0.25,1424,0.00,0.00,-0.052,16,5.81,-1.08,0.00
2769,14.60,77,0.25,1420,0.00,0.00,-0.052,16,5.85,-1.08,0.00
2941,14.42,77,0.24,1414,0.00,0.00,-0.052,16,5.78,-1.08,0.00
3113,14.42,77,0.24,1413,0.00,0.00,-0.052,16,5.69,-1.08,0.00
