Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Engine Speed (rpm),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
3974,0.00,0.00,16,1118,-9.57,-1.08,0.64
4014,0.00,0.00,16,1118,-9.59,-1.08,0.64
4054,0.00,0.00,16,1118,-9.59,-1.08,0.64
4096,0.00,0.00,16,1110,-9.57,-1.08,0.64
4131,0.00,0.00,16,1120,-9.61,-1.08,0.64
4173,0.00,0.00,16,1120,-9.57,-1.08,0.64
4205,0.00,0.00,16,1128,-9.59,-1.08,0.64
4246,0.00,0.00,16,1128,-9.63,-1.08,0.64
4286,0.00,0.00,16,1106,-9.59,-1.08,0.64
4326,0.00,0.00,16,1108,-9.59,-1.08,0.64
4366,0.00,0.00,16,1108,-9.63,-1.08,0.64
4406,0.00,0.00,16,1102,-9.59,-1.08,0.64
4438,0.00,0.00,16,1102,-9.61,-1.08,0.64
4486,0.00,0.00,16,1114,-9.61,-1.08,0.64
4518,0.00,0.00,16,1121,-9.57,-1.08,0.64
4558,0.00,0.00,16,1121,-9.57,-1.08,0.64
4592,0.00,0.00,16,1102,-9.57,-1.08,0.64
4633,0.00,0.00,16,1102,-9.57,-1.08,0.64
4673,0.00,0.00,16,1102,-9.59,-1.08,0.64
4709,0.00,0.00,16,1102,-9.57,-1.08,0.64
4749,0.00,0.00,16,1108,-9.57,-1.08,0.64
4789,0.00,0.00,16,1116,-9.59,-1.08,0.64
4829,0.00,0.00,16,1116,-9.57,-1.08,0.64
4869,0.00,0.00,16,1117,-9.61,-1.08,0.64
4901,0.00,0.00,16,1117,-9.61,-1.08,0.64
4945,0.00,0.00,16,1104,-9.57,-1.08,0.64
4985,0.00,0.00,16,1108,-9.59,-1.08,0.64
5025,0.00,0.00,16,1108,-9.59,-1.08,0.64
5057,0.00,0.00,16,1104,-9.57,-1.08,0.64
5097,0.00,0.00,16,1104,-9.57,-1.08,0.64
