Time (msec),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Turbo Dynamics Proportional* (absolute %)
5451,1269,0.00,0.00,16,14.10,14.00,0.64,14.36,109,0.15,4.93,-9.75,6.18,1.48,0.00,0.00
5523,1266,0.00,0.00,16,14.10,14.00,0.64,14.36,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
5587,1262,0.00,0.00,16,14.10,15.00,0.64,14.47,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
5643,1264,0.00,0.00,16,14.10,14.50,0.64,14.36,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
5711,1262,0.00,0.00,16,14.10,15.00,0.64,14.36,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
5772,1264,0.00,0.00,16,14.10,15.00,0.64,14.36,109,0.15,4.93,-9.77,6.18,1.50,0.00,0.00
5838,1260,0.00,0.00,16,14.10,15.50,0.64,14.47,109,0.15,4.93,-9.77,6.22,1.50,0.00,0.00
5902,1256,0.00,0.00,16,14.10,15.50,0.64,14.36,109,0.15,4.93,-9.77,6.26,1.48,0.00,0.00
5966,1266,0.00,0.00,16,14.10,14.50,0.64,14.36,109,0.15,4.93,-9.77,6.22,1.48,0.00,0.00
6031,1266,0.00,0.00,16,14.10,14.50,0.64,14.47,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
6089,1252,0.00,0.00,16,14.10,16.00,0.64,14.36,109,0.15,4.93,-9.77,6.15,1.48,0.00,0.00
6161,1266,0.00,0.00,16,14.10,14.50,0.64,14.36,109,0.15,4.93,-9.77,6.11,1.48,0.00,0.00
6217,1264,0.00,0.00,16,14.10,15.00,0.64,14.47,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
6281,1259,0.00,0.00,16,14.10,15.50,0.64,14.47,109,0.15,4.93,-9.77,6.18,1.50,0.00,0.00
6353,1256,0.00,0.00,16,14.10,15.50,0.64,14.36,109,0.15,4.93,-9.78,6.18,1.50,0.00,0.00
6417,1244,0.00,0.00,16,14.10,16.50,0.64,14.36,109,0.15,4.93,-9.77,6.22,1.50,0.00,0.00
6473,1258,0.00,0.00,16,14.10,16.50,0.64,14.36,109,0.15,4.93,-9.75,6.18,1.48,0.00,0.00
6537,1263,0.00,0.00,16,14.10,15.50,0.64,14.13,109,0.15,4.93,-9.75,6.18,1.48,0.00,0.00
6601,1259,0.00,0.00,16,14.10,14.50,0.64,14.24,109,0.15,4.93,-9.77,6.11,1.48,0.00,0.00
6665,1259,0.00,0.00,16,14.10,15.50,0.64,14.36,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
6729,1244,0.00,0.00,16,14.10,15.00,0.64,14.24,111,0.15,4.93,-9.75,6.11,1.48,0.00,0.00
6793,1252,0.00,0.00,16,14.10,16.50,0.64,14.24,111,0.15,4.93,-9.75,6.18,1.48,0.00,0.00
