Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees)
4038,0.15,1325,0.00,0.00,16,14.10,17.00
4078,0.15,1325,0.00,0.00,16,14.10,17.00
4114,0.15,1325,0.00,0.00,16,14.10,17.00
4147,0.15,1335,0.00,0.00,16,14.10,15.50
4187,0.15,1335,0.00,0.00,16,14.10,15.50
4219,0.15,1323,0.00,0.00,16,14.10,17.00
4261,0.15,1323,0.00,0.00,16,14.10,17.00
4295,0.15,1338,0.00,0.00,16,14.10,15.50
4329,0.15,1331,0.00,0.00,16,14.10,15.50
4369,0.15,1331,0.00,0.00,16,14.10,16.00
4401,0.15,1330,0.00,0.00,16,14.10,16.00
4441,0.15,1330,0.00,0.00,16,14.10,16.00
4483,0.15,1324,0.00,0.00,16,14.10,16.50
4512,0.15,1324,0.00,0.00,16,14.10,16.50
4552,0.15,1331,0.00,0.00,16,14.10,16.00
4584,0.15,1331,0.00,0.00,16,14.10,16.00
4626,0.15,1324,0.00,0.00,16,14.10,16.50
4658,0.15,1333,0.00,0.00,16,14.10,16.50
4700,0.15,1333,0.00,0.00,16,14.10,17.00
4734,0.15,1336,0.00,0.00,16,14.10,17.00
4766,0.15,1336,0.00,0.00,16,14.10,15.50
4806,0.15,1335,0.00,0.00,16,14.10,15.50
4838,0.15,1335,0.00,0.00,16,14.10,15.50
4878,0.15,1338,0.00,0.00,16,14.10,15.00
4918,0.15,1338,0.00,0.00,16,14.10,15.00
4952,0.15,1323,0.00,0.00,16,14.10,16.50
4984,0.15,1328,0.00,0.00,16,14.10,16.50
5024,0.15,1328,0.00,0.00,16,14.10,16.00
5064,0.15,1321,0.00,0.00,16,14.10,16.00
5096,0.15,1321,0.00,0.00,16,14.10,16.50
5136,0.15,1339,0.00,0.00,16,14.10,14.50
5168,0.15,1339,0.00,0.00,16,14.10,14.50
5208,0.15,1333,0.00,0.00,16,14.10,15.50
